player_name,batx_dollars,steamer_dollars,steamer-experimental_dollars,zips_dollars
A.J. Minter,6.3243147601753416,3.618794779703286,3.8150005848560022,
,,,,6.110389324509325
A.J. Puk,8.79078283169401,8.851802828634483,9.45979599478547,
,,,,16.820274895068653
AJ Smith-Shawver,-3.744271383482441,-4.0271592510559024,-9.817692420943992,
,,,,-9.11856346747215
Aaron Ashby,-4.744259402585498,-6.804070687386994,-6.762380226909088,
Aaron Bummer,4.620033879477308,3.170485895626334,3.4358956764757993,
,,,,5.410245348889197
Aaron Civale,-8.011433171663516,-8.093531124790314,-9.897185313538758,
,,,,-13.167983049473094
Aaron Hicks,-26.49269504695036,,,
Aaron Judge,62.92711902338922,58.6944738211614,60.076538079204994,68.1124527353068
Aaron Nola,3.840975024011493,6.555602531335045,8.34943103454501,
,,,,7.983944876050927
Aaron Schunk,-24.64644860662711,,,-19.969651617488164
,,,,-12.0220424937987
Abner Uribe,-1.0796849336731862,-0.7978024592996562,-0.7789481591265182,
,,,,-3.4062593568702244
Abraham Toro,-24.22213188600055,,,-16.881481447457556
Adael Amador,-26.161534762497094,-27.099061798449256,-21.006028012902,-9.744373074991795
,,,,-13.488942760865658
Adam Duvall,-16.600004627944756,-21.965664802334185,-17.32219487708753,
Adam Frazier,-22.740241613797085,-22.292787391882538,-19.161062249812357,
,,,,-11.528364367262611
Adam Mazur,-8.437599695006456,-8.825959916701672,-16.965942245796676,
Adam Oller,-11.124689324031124,,,
Adam Ottavino,-3.3482321232170165,-7.15754369130115,-7.638542791017267,
,,,,-4.157317742768059
,,,,-5.055006351310701
Addison Barger,-22.004221718267477,-24.13587322407875,-18.882726787430745,-5.3341717560687645
Adley Rutschman,20.44314022655666,24.289440185116373,21.602772859430974,16.19527721777404
Adolis García,12.5990500929712,13.007836437274385,11.754546831926548,15.887334120697544
Adrian Del Castillo,-8.54883694532864,-10.708928328977263,-6.391881334212505,3.4416981955469157
Adrian Houser,-8.377025301874923,,,
Adrian Morejon,0.3028758676605114,1.0761063532345854,1.1871722324419247,
,,,,-1.4455529521322266
Agustin Ramirez,-3.8293066116401135,-4.034286828422697,-2.9275375554912877,9.951594674684245
,,,,-18.29490184716363
Akil Baddoo,-25.244573419514165,,,-9.281353188546294
Alan Roden,-22.48662200495593,-22.86450549038215,-17.654945269263354,-3.931445339067672
Albert Suárez,-17.83294167304395,-2.5217559133515106,-0.7951911966847751,
Alec Bohm,4.484764761329963,7.096969179118124,5.45273326651071,7.508504382959882
Alec Burleson,-0.4317580097250764,1.8830191915005636,2.283471102030882,2.9819315776152626
Alec Marsh,-9.573765262246546,-10.45666005419412,-14.596991081154204,
Aledmys Díaz,-23.49733718639692,-31.260941034262608,-23.64785491047433,
Alejandro Kirk,3.5351534737890526,7.519386374086513,7.122267860342185,-5.207244575813973
,,,,-6.935366595227681
,,,,-14.051214079831157
,,,,-18.60224094206104
,,,,-8.22494054723244
,,,,-8.113076521470482
Alek Thomas,-11.68159457902386,-11.943640008891403,-9.113843043174777,-10.020437389557788
,,,,-19.937622285534985
Alex Bregman,15.176482606040944,18.07520435712991,16.977437107789136,11.134073692304815
Alex Call,-16.202100591178567,-16.8372490925551,-13.608664074147626,-11.51377969569114
Alex Cobb,-7.57765999325094,-3.674570619668252,-7.78335884119044,
Alex Faedo,-7.475123139553782,-5.642377980168868,-5.985699624068442,
,,,,-7.925373227859435
,,,,-3.293924833000964
Alex Jackson,-11.166596823760838,-10.373971004014006,-6.797390288110893,
,,,,-16.506003626714513
Alex Lange,-3.330688220310829,-2.8056814825657392,-3.0328642851775456,
,,,,-2.9967769695531157
,,,,-15.440592614296476
,,,,-10.02686890127119
Alex Verdugo,-4.803397187791447,-13.298217284979652,-11.648934249368162,-5.596933503467557
Alex Vesia,6.617367436819586,1.3712210115826924,1.5077154391645653,
,,,,8.45346399386417
Alex Wood,-12.822740952045258,-12.31920627825639,-18.866695621815975,
,,,,-14.235194248431709
Alexander Canario,-25.037748493024296,-26.738294695156213,-20.37613831981479,-16.074010899233162
Alexis Díaz,1.6608129758214358,0.1161437233040927,0.1039318161143133,
,,,,8.477023352583045
