Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY","OF/DH",3.3299999237060547,638.714,9.385930704854347,6.772117095906139,-1.4658962705959677,11.497810461632573,11.433548966058712,12.237678424008045,49.86118938186385,12.065929641525365,62.92711902338922,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD","DH",1.5299999713897705,643.051,7.672858677119803,9.008041192033417,6.184058297632124,8.976915589687465,8.147760316619097,11.236825216598033,51.22645928968995,9.793977361918731,62.02043665160867,"Shohei Ohtani","19755",660271
"Bobby Witt Jr.","KCR","SS",1.559999942779541,667.287,5.435963488731123,7.679025772146214,8.008517735879733,4.700322561805808,4.059143318440943,8.484681718947892,38.36765459595171,12.044211123935762,51.41186571988748,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM","OF",7.510000228881836,673.715,4.603186920804048,6.715679662574498,-0.9830571461823925,5.6030834731146735,13.08170300982341,6.083485599895449,35.10408152002968,12.065929641525365,48.17001116155504,"Juan Soto","20123",665742
"Yordan Alvarez","HOU","OF/DH",17.649999618530273,590.786,6.192405270222859,3.958315658800292,-2.5797220012057984,7.075901353823041,7.990785791343548,9.889651227420917,32.52733730040486,12.065929641525365,45.593266941930224,"Yordan Alvarez","19556",670541
"Vladimir Guerrero Jr.","TOR","1B/DH",13.600000381469727,666.642,6.499671728986938,5.222402414265231,-1.600040585175469,5.290875957952391,7.6256906644344316,7.441149915606659,30.47975009607018,12.16676348494805,43.64651358101823,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr.","ATL","OF",30.579999923706055,519.512,0.020228551252919363,4.161340591749072,7.339197155400633,1.5989946757605695,7.295469177663674,5.600733047457296,26.015963199284165,12.065929641525365,39.08189284080953,"Ronald Acuna Jr.","18401",660670
"Fernando Tatis Jr.","SDP","OF",10.850000381469727,631.967,3.8608313792069033,5.350826480260704,3.881432187258625,4.449935562776341,2.815990140886517,5.169778255407232,25.52879400579632,12.065929641525365,38.594723647321686,"Fernando Tatis Jr.","19709",665487
"Gunnar Henderson","BAL","SS",6.380000114440918,664.302,4.250802284023622,5.6266955271026635,1.4119643263443145,4.279024274488847,4.160756097756283,5.159538865362828,24.888781375078562,12.044211123935762,37.932992499014325,"Gunnar Henderson","26289",683002
"Kyle Tucker","CHC","OF",8.25,640.255,3.93911106631232,3.7707996823823247,2.5952716860606215,2.5635712793785865,5.275269542698731,3.4434637686219394,21.58748702545452,12.065929641525365,34.653416666979886,"Kyle Tucker","18345",663656
"Mookie Betts","LAD","SS/OF",12.420000076293945,651.713,3.776406274987968,4.873135141111124,0.5721556581551689,2.6113729599740663,5.799235965112426,3.9332576812071918,21.565563680547946,12.044211123935762,34.60977480448371,"Mookie Betts","13611",605141
"Elly De La Cruz","CIN","SS",4.639999866485596,647.528,1.2388517206918146,5.707518550268932,11.078648764696025,1.713561291744162,0.07641673461592843,1.4309907569005613,21.245987818917428,12.044211123935762,34.29019894285319,"Elly De La Cruz","26668",682829
"José Ramírez","CLE","3B/DH",5,660.954,3.8524611247028964,4.513013146185501,5.702035281370836,2.815271966385803,1.8771666558776847,3.667392290240614,22.427340464763336,10.002312032610261,33.429652497373596,"Jose Ramirez","13510",608070
"Julio Rodríguez","SEA","OF",13.84000015258789,640.69,2.8372698753149086,3.7711015033926545,5.0995650264987615,2.6680054537565683,1.5251490138360129,3.059105113563253,18.96019598636216,12.065929641525365,32.026125627887524,"Julio Rodriguez","23697",677594
"William Contreras","MIL","C/DH",24.729999542236328,619.495,3.5973053994163147,0.7939406052956265,-1.7825988029947522,1.337728346428227,2.663418764006829,0.9998690337296602,7.609663345881906,23.193597732216396,31.803261078098295,"William Contreras","20503",661388
"Austin Riley","ATL","3B",29.639999389648438,648.822,5.530634863172001,4.151583260215115,-2.7078872661022864,5.244311588126651,2.582586349221706,5.617402065945083,20.41863086057827,10.002312032610261,31.42094289318853,"Austin Riley","18360",663586
"Corey Seager","TEX","SS",48.27000045776367,549.301,3.601615838655728,1.2475141240197434,-2.872013791440952,4.597051732901391,4.240375656776241,6.907021314608235,17.721564875520386,12.044211123935762,30.765775999456142,"Corey Seager","13624",608369
"Corbin Carroll","ARI","OF",9.350000381469727,652.523,0.5088383106264941,5.407819573811362,8.436912486745914,-0.2137299195576825,2.1950650898200537,0.300913129824966,16.635818671271107,12.065929641525365,29.701748312796468,"Corbin Carroll","25878",682998
"Bryce Harper","PHI","1B",22.889999389648438,624.028,3.019225812307294,3.05177845457293,-0.40866930932153495,1.882263268793679,5.827512640325377,3.11329851528303,16.485409381960775,12.16676348494805,29.652172866908824,"Bryce Harper","11579",547180
"Rafael Devers","BOS","3B",35.93000030517578,628.509,5.449063354736519,2.574328572231615,-2.2585924976351808,4.811844541086993,3.010707874132035,4.9730597804059125,18.560411624957894,10.002312032610261,29.562723657568156,"Rafael Devers","17350",646240
"Francisco Lindor","NYM","SS",14.779999732971191,670.709,2.97510133636654,4.307725329559271,3.0122098406826736,3.279660666520025,0.7587315684332672,1.904205484863902,16.23763422642568,12.044211123935762,29.281845350361444,"Francisco Lindor","12916",596019
