Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mK9,mIP,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET","SP",14.039999961853027,183.92,5.232393782193895,-1.826711766093302,9.700190942197189,11.278127028729019,3.15696529667248,4.676432913099499,32.21739819679878,8.194337476023797,41.41173567282258,"Tarik Skubal","22267",669373
"Paul Skenes","PIT","SP",11.449999809265137,173.366,4.626446672948889,-1.826711766093302,10.120977273933029,7.079441391616581,4.5098335732808446,4.027729341447766,28.537716487133807,8.194337476023797,37.732053963157604,"Paul Skenes","33677",694973
"Garrett Crochet","BOS","SP",25.15999984741211,152.771,3.47715971126565,-1.826711766093302,4.30410414033616,3.4949905530274257,7.5359242447712385,2.761853865953999,19.74732074926117,8.194337476023797,28.941658225284968,"Garrett Crochet","27463",676979
"Logan Gilbert","SEA","SP",25.780000686645508,194.103,4.92623500052385,-1.826711766093302,1.9263687218657182,7.439767088430206,-1.2623904110551052,5.302332767585111,16.505601401256477,8.194337476023797,25.699938877280275,"Logan Gilbert","22250",669302
"Chris Sale","ATL","SP",36.33000183105469,154.434,4.024771841499435,-1.826711766093302,3.4871141247257342,2.87872062720846,4.629404467861382,2.8640710545196058,16.057370349721314,8.194337476023797,25.251707825745115,"Chris Sale","10603",519242
"Zack Wheeler","PHI","SP",21.450000762939453,192.092,5.375771583465212,-1.826711766093302,3.2603168446390347,4.217633454798394,-1.115661089875767,5.178726191272091,15.090075218205662,8.194337476023797,24.28441269422946,"Zack Wheeler","10310",554430
"Jacob deGrom","TEX","SP",46.689998626708984,110.458,1.4975818697479693,-1.826711766093302,3.4230696263120772,7.683708416407696,4.1284874974301875,0.16107791823961998,15.067213562044246,8.194337476023797,24.261551038068045,"Jacob deGrom","10954",594798
"Mason Miller","OAK","RP",44.90999984741211,75.27,-2.344481975260105,6.2203998995572825,4.0761722693931,4.617930738944533,4.5807702103703525,-2.001759084564042,15.149032058441126,8.105470934778365,24.254502993219486,"Mason Miller","31757",695243
"Edwin Díaz","NYM","RP",40.02000045776367,76.9075,-2.4220073777937903,7.944780970768123,2.223033302021727,3.1823285613169285,5.219248865014893,-1.901109569488736,14.246274751839147,8.105470934778365,23.35174568661751,"Edwin Diaz","14710",621242
"Tyler Glasnow","LAD","SP",97.51000213623047,132.904,3.0301233780556682,-1.826711766093302,2.4389751546322547,3.888977397715971,3.9718048152407244,1.5407257849536455,13.043894764504959,8.194337476023797,22.238232240528756,"Tyler Glasnow","14374",607192
"George Kirby","SEA","SP",45.18000030517578,180.713,4.396945270750916,-1.826711766093302,2.812169063683754,8.937799814524228,-5.785111259178339,4.479314032961613,13.014405156648868,8.194337476023797,22.208742632672667,"George Kirby","25436",669923
"Josh Hader","HOU","RP",40.689998626708984,76.4025,-2.4095596068839864,7.657384125566317,2.099571466438828,2.639143677014162,4.584783106910845,-1.9321497859619607,12.639172983084208,8.105470934778365,21.744643917862575,"Josh Hader","14212",623352
"Emmanuel Clase","CLE","RP",35.150001525878906,80.63,-2.3101796317049037,8.806971506373543,5.497825816399592,4.785738502988099,-3.359984126830861,-1.67230567746956,11.74806638975591,8.105470934778365,20.853537324534276,"Emmanuel Clase","21032",661403
"Joe Ryan","MIN","SP",91.75,160.939,3.028805580732237,-1.826711766093302,-0.772426045389181,6.235115441111,0.7185265214423964,3.2639014184583544,10.647211150261503,8.194337476023797,19.8415486262853,"Joe Ryan","21390",657746
"Dylan Cease","SDP","SP",47.04999923706055,182.059,4.3149196497774325,-1.826711766093302,0.40406327909042944,-0.7445879921324403,3.830970165972358,4.562046676650762,10.54070001326524,8.194337476023797,19.735037489289038,"Dylan Cease","18525",656302
"Spencer Strider","ATL","SP",110.69000244140625,111.394,2.2562719881965903,-1.826711766093302,2.513997483585374,2.3070858565612724,5.000825662552028,0.21860914372887244,10.470078368530835,8.194337476023797,19.664415844554632,"Spencer Strider","27498",675911
"Félix Bautista","BAL","RP",63.599998474121094,64.8275,-2.2426388876740138,5.933003054355477,3.1928230158445357,1.4493160979107433,4.359702805000277,-2.6436090672056807,10.048597018231339,8.105470934778365,19.154067953009704,"Felix Bautista","20666",642585
"Cole Ragans","KCR","SP",48.18000030517578,178.457,4.392972732426725,-1.826711766093302,2.023965705471361,-1.9802004615307984,3.0028271853571162,4.340648787453099,9.9535021830842,8.194337476023797,19.147839659108,"Cole Ragans","21846",666142
