Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mK9,mIP,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT","SP",11.430000305175781,188.104,5.337615518155627,-1.8850437282908965,11.414988469142623,8.586681498638159,7.402262124780179,4.5628650154505594,35.419368897876254,10.321332754670292,46.74070165254655,"Paul Skenes","33677",694973
"Jacob deGrom","TEX","SP",46.33000183105469,152.018,5.1443690601170875,-1.8850437282908965,6.3769786123070435,11.883285702174545,8.528408439558206,2.7278375191765316,32.775835605042516,10.321332754670292,44.0971683597128,"Jacob deGrom","10954",594798
"Tarik Skubal","DET","SP",14.020000457763672,196.234,5.372571967406993,-1.8850437282908965,10.00119456662834,11.538315359705578,2.595782977451049,5.028952859596258,32.65177400249732,10.321332754670292,43.97310675716761,"Tarik Skubal","22267",669373
"Chris Sale","ATL","SP",36.16999816894531,186.772,6.036557417460798,-1.8850437282908965,7.123087835848415,9.017509440645524,5.253336808389239,4.486480921378629,30.031928695431706,10.321332754670292,41.353261450102,"Chris Sale","10603",519242
"Garrett Crochet","BOS","SP",25,170.138,5.488437627527124,-1.8850437282908965,6.043937129955428,5.999881064557814,7.2331707929500055,3.532822261305796,26.41320514800527,10.321332754670292,37.73453790267556,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI","SP",21.31999969482422,198.518,5.524532979020813,-1.8850437282908965,3.556255111983714,5.73586910006603,-1.5047697061696452,5.159900395170816,16.58674415178083,10.321332754670292,27.90807690645112,"Zack Wheeler","10310",554430
"Mason Miller","OAK","RP",45.16999816894531,67,-2.161681670730247,6.9738172315524825,5.3246658525734984,4.811460324907956,5.48714747126092,-2.3803226366156207,18.05508657294899,8.465045403512244,27.52013197646123,"Mason Miller","31757",695243
"Logan Gilbert","SEA","SP",25.780000686645508,198.742,4.470360240070455,-1.8850437282908965,1.8816644114991916,7.061240449412845,-2.535082331001502,5.172731390289044,14.165870431979139,10.321332754670292,25.48720318664943,"Logan Gilbert","22250",669302
"Tyler Glasnow","LAD","SP",96.2699966430664,143.689,4.946952987396846,-1.8850437282908965,1.4425999077793845,2.6331235315392263,4.4541192963022205,2.343201058619909,13.934953053346687,10.321332754670292,25.25628580801698,"Tyler Glasnow","14374",607192
"Roki Sasaki","LAD","SP",97.27999877929688,138.51,4.860823526659092,-1.8850437282908965,0.09606372282692373,1.3180128659661836,5.896774165738034,2.046300037402208,12.332930590301546,10.321332754670292,23.654263344971834,"Roki Sasaki","sa3025686",808963
"Edwin Díaz","NYM","RP",39.650001525878906,65,-2.308540093422382,8.790433935208425,3.2387613944460645,2.744996510951994,4.007787077434241,-2.494987134613607,13.978451690004734,8.465045403512244,23.443497093516978,"Edwin Diaz","14710",621242
"Dylan Cease","SDP","SP",46.68000030517578,188.994,4.819854983446926,-1.8850437282908965,0.9639904565549969,-0.16365370797948992,3.439848121253463,4.61384519139075,11.788841316375748,10.321332754670292,23.11017407104604,"Dylan Cease","18525",656302
"Blake Snell","LAD","SP",44.41999816894531,169.982,5.133578420394792,-1.8850437282908965,-0.5115104018513154,-3.429570537295356,7.332540147214442,3.5720371924381675,10.212031092609834,10.321332754670292,21.533363847280125,"Blake Snell","13543",605483
"Félix Bautista","BAL","RP",63.52000045776367,60,-2.4993022951063844,5.68691148668182,3.901852389383924,2.9665565803955602,4.664002320584312,-2.7816483796085714,11.93837210233066,8.465045403512244,21.403417505842906,"Felix Bautista","20666",642585
