Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD","DH",1.5399999618530273,680,15.40419559402217,12.746026645458318,10.512090609257935,13.039947692058568,8.105013969407462,14.679770825412993,74.48704533561745,9.387427378497652,84.8744727141151,"Shohei Ohtani","19755",660271
"Aaron Judge","NYY","OF/DH",3.3499999046325684,635,11.777308469203344,6.876145953470937,-0.8730177639088089,13.585171985803177,12.158928018219244,13.499681450552876,57.024218113340766,10.088234621966034,68.1124527353068,"Aaron Judge","15640",592450
"Juan Soto","NYM","OF",7.650000095367432,672,5.974289069493224,8.28491731954791,-1.2078738925313601,6.497256167123268,15.478679309736421,6.8085648110936,41.83583278446306,10.088234621966034,52.924067406429096,"Juan Soto","20123",665742
"Yordan Alvarez","HOU","OF/DH",17.670000076293945,613,7.425043919420754,4.762988904355479,-2.5472984070215654,8.132929048357093,9.092285912598186,11.654973598562043,38.52092297627199,10.088234621966034,49.60915759823803,"Yordan Alvarez","19556",670541
"Ronald Acuña Jr.","ATL","OF",31.06999969482422,547,0.41306214477102493,7.580531636509423,8.502953837522627,2.6806861109110094,8.315532407110256,6.393537566546361,33.88630370337069,10.088234621966034,44.97453832533674,"Ronald Acuna Jr.","18401",660670
"Bobby Witt Jr.","KCR","SS",1.5700000524520874,668,6.457874019469067,7.345736408829927,5.8241048085422165,4.316358992144835,2.0785042768253916,7.467273058204777,33.48985156401621,9.387427378497652,43.87727894251386,"Bobby Witt Jr.","25764",677951
"Elly De La Cruz","CIN","SS",4.590000152587891,664,3.0727793696381633,7.345736408829927,14.53036415272855,2.135461817166401,0.7908241465683106,2.843597239596141,30.718763134527496,9.387427378497652,41.10619051302515,"Elly De La Cruz","26668",682829
"José Ramírez","CLE","3B/DH",5.090000152587891,650,5.974289069493224,5.23257935971447,5.489248679919665,4.316358992144835,1.8229056698150448,5.004320854731532,27.83970262581877,10.025000607396532,38.8647032332153,"Jose Ramirez","13510",608070
"Gunnar Henderson","BAL","SS",6.21999979019165,660,5.248911644529459,8.050122091868413,1.8058312650716013,3.7711346984002265,4.638928010654209,4.911038060446788,28.4259657709707,9.387427378497652,38.813393149468354,"Gunnar Henderson","26289",683002
"Vladimir Guerrero Jr.","TOR","1B/DH",13.930000305175781,665,5.732496594505303,4.293398448996489,-2.2124422783990143,4.861583285889442,6.648594381886304,5.750583209009515,25.07421364188804,9.892440878244738,35.96665452013278,"Vladimir Guerrero Jr.","19611",665489
"Brent Rooker","OAK","DH",66.80999755859375,590,6.2160815444811455,0.7714700338040605,-0.8730177639088089,8.678153342101702,2.2544414081806035,7.926526170731092,24.973654735389797,9.387427378497652,35.36108211388744,"Brent Rooker","19627",667670
"Corbin Carroll","ARI","OF",9.260000228881836,658,2.58919441966232,8.519712547227403,7.833241580277523,-0.04543535781203262,2.3885995590970976,0.4927276064425467,21.778040354894863,10.088234621966034,32.8662749768609,"Corbin Carroll","25878",682998
"Kyle Schwarber","PHI","DH",75.95999908447266,647,5.007119169541537,5.467374587393966,-2.2124422783990143,8.678153342101702,2.5424024896758413,2.39168652886885,21.87429383918288,9.387427378497652,32.261721217680524,"Kyle Schwarber","16478",656941
"Mookie Betts","LAD","SS/OF",12.569999694824219,586,2.58919441966232,5.23257935971447,0.8012628792039477,1.5902375234217925,7.144584479970119,4.271129589370513,21.62898825134316,9.387427378497652,32.01641562984081,"Mookie Betts","13611",605141
"Julio Rodríguez","SEA","OF",13.720000267028809,650,3.798156794601929,4.5281936766759845,5.489248679919665,3.2259104046556177,1.3415815091650305,2.4892658384920545,20.87235690351028,10.088234621966034,31.960591525476314,"Julio Rodriguez","23697",677594
"Freddie Freeman","LAD","1B",25.6299991607666,625,2.8309868946502417,4.997784132034975,-0.20330550666370628,0.49978893593257573,8.139595275755044,4.3303932610341755,20.595242992743305,9.892440878244738,31.487683870988043,"Freddie Freeman","5361",518692
"Rafael Devers","BOS","3B",35.650001525878906,625,4.7653266945536155,3.589012765958003,-2.5472984070215654,4.861583285889442,2.8450295086048842,5.5987528289508495,19.11240667693523,10.025000607396532,30.13740728433176,"Rafael Devers","17350",646240
"Francisco Lindor","NYM","SS",14.739999771118164,656,4.281741744577772,5.702169815073461,3.480111908184358,3.2259104046556177,1.1852891574720614,1.7610871743592207,19.63631020432249,9.387427378497652,30.023737582820143,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP","OF",10.829999923706055,520,1.6220245197106333,2.4150366275605273,1.8058312650716013,4.316358992144835,2.035913528632064,6.486820360831111,18.68198529395077,10.088234621966034,29.770219915916808,"Fernando Tatis Jr.","19709",665487
"Bryce Harper","PHI","1B",22.6299991607666,564,1.8638169946985548,1.9454461722015368,-0.8730177639088089,2.6806861109110094,6.804616144327734,6.040638337221755,18.46218599545178,9.892440878244738,29.354626873696517,"Bryce Harper","11579",547180
"Matt Olson","ATL","1B",38.369998931884766,655,6.2160815444811455,2.8846270829195175,-3.2170106642666676,5.95203187337866,2.3885995590970976,3.735961286814858,17.96029068242461,9.892440878244738,28.852731560669348,"Matt Olson","14344",621566
"Pete Alonso","NYM","1B",51.349998474121094,649,6.2160815444811455,2.4150366275605273,-2.2124422783990143,6.497256167123268,1.1803103152436172,2.430718252718132,16.52696062872768,9.892440878244738,27.419401506972417,"Pete Alonso","19251",624413
"Anthony Santander","TOR","OF/DH",102.69999694824219,631,5.732496594505303,1.7106509445220415,-2.882154535644117,7.587704754612486,-1.4819090950168026,4.8915221985221455,15.558310861501056,10.088234621966034,26.64654548346709,"Anthony Santander","14551",623993
"William Contreras","MIL","C/DH",24.239999771118164,567,-0.07052280520481852,0.7714700338040605,-1.5427300211539114,-0.590659651556641,3.1177834741632546,0.5057986953595077,2.191139725411452,22.39192163958037,25.58306136499182,"William Contreras","20503",661388
"Wyatt Langford","TEX","OF/DH",43.279998779296875,593,2.8309868946502417,2.8846270829195175,2.8103996509392553,1.0450132296771841,1.7756066686448075,2.8009850862981542,14.147618613129161,10.088234621966034,25.235853235095195,"Wyatt Langford","33333",694671
"Austin Riley","ATL","3B",29.90999984741211,604,3.0727793696381633,2.8846270829195175,-3.2170106642666676,4.316358992144835,1.8649552395052966,4.982656735137666,13.904366755078811,10.025000607396532,24.929367362475343,"Austin Riley","18360",663586
"Teoscar Hernández","LAD","OF",60.56999969482422,612,5.974289069493224,1.241060489163051,-0.5381616352862576,3.7711346984002265,-0.6954684943235195,2.3186356823984817,12.071489809845207,10.088234621966034,23.15972443181124,"Teoscar Hernandez","13066",606192
"Cal Raleigh","SEA","C",86.93000030517578,529,1.3802320447227117,-1.811277470670387,-2.5472984070215654,3.7711346984002265,-2.5291977342004044,1.304879948293475,-0.4315269204759436,22.39192163958037,22.960394719104425,"Cal Raleigh","21534",663728
"Corey Seager","TEX","SS",48.349998474121094,552,2.105609469686477,0.5366748061245653,-3.2170106642666676,3.7711346984002265,3.8273226095671626,5.500457433437904,12.524188352949668,9.387427378497652,22.91161573144732,"Corey Seager","13624",608369
"Will Smith","LAD","C",104.62999725341797,551,-0.31231528019274024,0.30187957844507013,-2.882154535644117,-0.590659651556641,1.5000926927206837,-0.8384760625864999,-2.821633258814244,22.39192163958037,20.570288380766122,"Will Smith","19197",669257
"Ketel Marte","ARI","2B/DH",32.47999954223633,574,1.6220245197106333,1.7106509445220415,-1.5427300211539114,1.5902375234217925,2.8027093496630977,3.3021342662327227,9.485026582396376,9.808325998126353,20.293352580522733,"Ketel Marte","13613",606466
"Jazz Chisholm Jr.","NYY","3B/OF",22.739999771118164,552,1.8638169946985548,-0.16771087691392042,7.163529323032422,1.5902375234217925,-1.6285143515044107,0.31923310679001393,9.140591719524453,10.025000607396532,20.165592326920986,"Jazz Chisholm Jr.","20454",665862
"Trea Turner","PHI","SS",25.219999313354492,594,-0.07052280520481852,3.8238079936374985,3.480111908184358,-0.04543535781203262,0.7335674609411845,1.6468563463703505,9.568385546116541,9.387427378497652,19.95581292461419,"Trea Turner","16252",607208
"Kyle Tucker","CHC","OF",8.199999809265137,524,0.17126966978310318,-0.16771087691392042,2.1406873936941526,1.0450132296771841,3.1623224649677253,2.1610766152218797,8.512658496430126,10.088234621966034,19.600893118396158,"Kyle Tucker","18345",663656
"Jarren Duran","BOS","OF",21.6299991607666,637,0.6548546197589465,3.8238079936374985,5.154392551297114,-1.6811082390458576,-0.9162152057347429,1.0900239242208296,8.125755644133788,10.088234621966034,19.213990266099824,"Jarren Duran","24617",680776
"James Wood","WSN","OF",56.349998474121094,590,0.17126966978310318,1.9454461722015368,2.475543522316704,-0.590659651556641,2.9764276491556254,1.010528304742786,7.988555666643116,10.088234621966034,19.07679028860915,"James Wood","29518",695578
"Shea Langeliers","OAK","C",124.19999694824219,517,0.6548546197589465,-2.750458381388368,-2.5472984070215654,3.2259104046556177,-4.2237899809323505,0.9693483232242794,-4.67143342170344,22.39192163958037,18.720488217876927,"Shea Langeliers","25816",669127
"Manny Machado","SDP","3B/DH",37.88999938964844,606,4.281741744577772,0.7714700338040605,-0.8730177639088089,2.6806861109110094,-0.9411094168769709,1.6656561224052464,7.585426830912308,10.025000607396532,18.61042743830884,"Manny Machado","11493",592518
