Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mK9,mIP,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",14.039999961853027,170.7,6.235876075782541,-1.9779732375786487,11.35026483529388,12.953618514098066,2.7868188464461943,5.273620029854278,36.622225063896316,10.164143275696334,47.78636833959265,"Tarik Skubal","22267",669373
"Emmanuel Clase ","CLE","RP",35.150001525878906,71,-0.966560791746295,8.59339206330194,8.887524091572274,6.742939549508039,-1.6550905299750638,-1.6768921857278438,19.92531219693305,10.111585826944834,31.03689802387788,"Emmanuel Clase","21032",661403
"Chris Sale ","ATL","SP",36.33000183105469,138.7,4.178036970774302,-1.9779732375786487,5.848547912714124,2.587032062927251,4.888044734510297,3.04276348314754,18.566451926494864,10.164143275696334,29.730595202191203,"Chris Sale","10603",519242
"Corbin Burnes ","ARI","SP",36.599998474121094,181.7,7.26479562828666,-1.9779732375786487,7.896666783563762,3.2606713856351055,-4.270029988131087,6.04047696778472,18.21460753956051,10.164143275696334,29.37875081525684,"Corbin Burnes","19361",669203
"Josh Hader ","HOU","RP",40.689998626708984,62.3,1.091278313261944,8.1195821005816,2.3226111404356518,3.249194263565215,5.527010965466998,-2.2834063625515033,18.026270420759907,10.111585826944834,29.13785624770474,"Josh Hader","14212",623352
"Garrett Crochet ","BOS","SP",25.15999984741211,135,5.206956523278422,-1.9779732375786487,6.3882718469627635,-0.5375414492433018,5.62097198675827,2.7848209076856327,17.485506577863138,10.164143275696334,28.64964985355947,"Garrett Crochet","27463",676979
"Spencer Strider ","ATL","SP",110.69000244140625,125.7,3.149117418270183,-1.9779732375786487,1.4192889233286312,4.128410243256417,8.321280671075709,2.136478011047928,17.17660202940022,10.164143275696334,28.340745305096554,"Spencer Strider","27498",675911
"Yoshinobu Yamamoto ","LAD","SP",57.45000076293945,145.7,4.178036970774302,-1.9779732375786487,1.03210094117309,12.108258234225294,-1.8450949369692755,3.530763352739639,17.0260913243644,10.164143275696334,28.190234600060734,"Yoshinobu Yamamoto","33825",808967
"Edwin Díaz ","NYM","RP",40.02000045776367,55,-0.966560791746295,9.148382653993062,2.535949339677328,3.560621602572131,5.256891414667141,-2.7923204590812136,16.74296376008215,10.111585826944834,27.854549587026987,"Edwin Diaz","14710",621242
"Jhoan Duran ","MIN","RP",66.44000244140625,61,2.1201978657660634,4.945209247838436,6.3805808646962445,2.5028936441924134,2.4512024406124024,-2.3740348565737,16.02604920653186,10.111585826944834,27.137635033476695,"Jhoan Duran","21029",661395
