Rank,Name,Org,Pos
1,Roman Anthony,BOS,OF
2,Dylan Crews ,WAS,OF
3,Kristian Campbell,BOS,IF/OF
4,Jackson Jobe,DET,RHP
5,Walker Jenkins,MIN,OF
6,Kevin McGonigle,DET,SS
7,Carson Williams,TBR,SS
8,Zyhir Hope,LAD,OF
9,Josue De Paula,LAD,OF
10,Sebastian Walcott,TEX,SS
11,Samuel Basallo,BAL,C/1B
12,Travis Bazzana,CLE,2B
13,JJ Wetherholt,STL,SS/2B
14,Coby Mayo,BAL,3B
15,Bryce Eldridge,SFG,1B
16,Chase Burns,CIN,RHP
17,Emmanuel Rodriguez,MIN,OF
18,Chase Dollander,COL,RHP
19,Andrew Painter,PHI,RHP
20,Cam Smith,HOU,3B
21,Bubba Chandler,PIT,RHP
22,Dalton Rushing ,LAD,C/OF
23,Leodalis de Vries,SDP,SS
24,Jasson Dominguez,NYY,OF
25,Marcelo Mayer,BOS,SS
26,Matt Shaw,CHC,IF
27,Quinn Mathews,STL,LHP
28,Aidan Miller,PHI,SS
29,Jordan Lawlar,ARZ,SS
30,Noah Schultz,CHW,LHP
31,Max Clark,DET,OF
32,Colt Emerson,SEA,SS
33,Nick Kurtz,OAK,1B
34,Jac Caglianone,KCR,1B/LHP
35,Jesus Made,MIL,SS
36,Hagen Smith,CHW,LHP
37,Drake Baldwin,ATL,C
38,Tink Hence,STL,RHP
39,Brandon Sproat,NYM,RHP
40,Ethan Salas,SDP,C
41,Kumar Rocker,TEX,RHP
42,Charlie Condon,COL,3B/OF
43,Colson Montgomery,CHW,IF
44,Luke Keaschall,MIN,2B
45,Kyle Teel,CHW,C
46,Enrique Bradfield,BAL,OF
47,Jarlin Susana,WAS,RHP
48,Jett Williams,NYM,SS
49,Robert Calaz,COL,OF
50,Rhett Lowder,CIN,RHP
51,Thomas White,MIA,LHP
52,Jackson Ferris,LAD,LHP
53,Lazaro Montes,SEA,OF
54,Cole Young,SEA,IF
55,Agustin Ramirez,MIA,C
56,Bryce Rainer,DET,SS
57,Brody Hopkins,TBR,RHP
58,Thayron Liranzo,DET,C
59,Travis Sykora,WAS,RHP
60,Jackson Baumeister,TBR,RHP
61,Jeferson Quero,MIL,C
62,Chase DeLauter ,CLE,OF
63,Cooper Pratt,MIL,SS
64,Josue Briceno,DET,C/1B
65,Jacob Misiorowski,MIL,RHP
66,Jacob Wilson,OAK,SS
67,Xavier Isaac,TBR,1B
68,Brice Matthews,HOU,SS
69,Dominic Keegan,TBR,C
70,Brayden Taylor,TBR,SS
71,Carson Benge,NYM,OF
72,Alejandro Rosario,TEX,RHP
73,Moises Ballesteros,CHC,C
74,Nolan McLean,NYM,RHP
75,Jonah Tong,NYM,RHP
76,Edgar Quero,CHW,C
77,Owen Caissie,CHC,OF
78,Angel Genao,CLE,IF
79,Adael Amador,COL,SS
80,Christian Moore,LAA,IF
81,Thomas Harrington,PIT,RHP
82,Alex Freeland,LAD,IF
83,Jaison Chourio,CLE,OF
84,Demetrio Crisantes      ,ARZ,IF
85,Cade Horton,CHC,RHP
86,Konnor Griffin,PIT,OF
87,Theo Gillen,TBR,SS
88,Jimmy Crooks,STL,C
89,Trevor Harrison,TBR,RHP
90,Grant Taylor,CHW,RHP
91,Jurrangelo Cjintje,SEA,RHP
92,Noble Meyer,MIA,RHP
93,Hurston Waldrep,ATL,RHP
94,Ty Johnson,TBR,RHP
95,Michael Arroyo,SEA,SS
96,Tommy Troy,ARZ,SS
97,Jace Jung,DET,2B
98,Jonny Farmelo,SEA,OF
99,Braden Montgomery,CHW,OF
100,George Lombard,NYY,IF
101,Moisés Chace,PHI,RHP
