Date,Team,Opp,GS,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
2025-04-20,NYM,STL,0,109,81,,,90,,90,,,97,111,109
2025-04-16,NYM,@MIN,0,109,76,,,96,,72,,,85,89,78
2025-04-12,NYM,@ATH,0,112,105,,,95,,101,,,102,111,113
2025-04-07,NYM,MIA,0,113,82,,,96,,70,,,96,83,77
2025-04-05,NYM,TOR,0,98,108,,,89,,78,,,95,95,96
2025-04-02,NYM,@MIA,0,96,116,,,101,,91,,,100,102,105
2025-03-29,NYM,@HOU,0,96,112,,,99,,62,,,99,58,60
2024-09-27,NYM,@MIL,0,134,103,,,109,,,,,122,105,123
2024-09-22,NYM,PHI,0,105,102,,,60,,96,,,96,94,102
2024-09-16,NYM,WSN,0,99,117,,,96,,,,,99,83,86
2024-09-09,NYM,@TOR,0,147,114,,,88,,83,,,112,61,83
2024-09-06,NYM,CIN,0,123,136,,,98,,81,,,109,99,113
2024-09-03,NYM,BOS,0,103,111,,,89,,90,,,101,15,20
2024-08-31,NYM,@CHW,0,132,,,,100,,115,,,117,124,134
2024-08-29,NYM,@ARI,0,92,80,,,81,,78,,,83,84,80
2024-08-25,NYM,@SDP,0,119,97,,,100,,91,,,98,102,106
2024-08-21,NYM,BAL,0,67,80,,,92,,69,,,77,119,112
2024-08-19,NYM,BAL,0,97,78,,,127,,85,,,89,60,50
2024-08-16,NYM,MIA,0,119,87,,,90,,107,,,106,56,65
2024-08-13,NYM,OAK,0,90,109,,,88,,97,,,98,67,72
Date,Team,Opp,GS,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
2024-08-07,NYM,@COL,0,84,97,,,38,,83,,,84,88,82
2024-08-02,NYM,@LAA,0,137,120,,,93,,101,,,116,120,125
2024-07-29,NYM,MIN,0,91,81,,,88,,80,,,84,75,68
2024-07-25,NYM,ATL,0,111,110,,,88,,87,,,101,83,94
2024-07-22,NYM,@MIA,0,110,109,,,82,,101,,,102,79,79
2024-07-20,NYM,@MIA,0,93,75,,,90,,92,,,90,81,78
2024-07-13,NYM,COL,0,116,81,,,105,,90,,,102,80,77
2024-07-10,NYM,WSN,0,105,92,,,94,,84,,,95,109,99
2024-07-06,NYM,@PIT,0,86,85,,,103,,35,,,89,81,78
2024-07-02,NYM,@WSN,0,81,83,,,103,,80,,,84,91,85
2024-05-14,NYM,PHI,1,100,72,,,95,,72,,,91,85,78
2024-05-07,NYM,@STL,1,88,81,,,103,,88,,,89,86,77
2024-05-01,NYM,CHC,1,95,81,,,94,,90,,,90,87,80
2024-04-26,NYM,STL,1,102,76,,,93,,79,,,89,83,73
2024-04-20,NYM,@LAD,1,84,79,,,90,,83,,,85,84,75
2024-04-14,NYM,KCR,1,93,80,,,99,,80,,,90,91,87
2024-04-04,NYM,DET,1,95,85,,,87,,72,,,85,96,88
