RK	OVERALL PLAYER	POS RK	BYE	FPS	VORP
1	Christian McCaffrey	RB1	14	311.1	139.63
2	Ja'Marr Chase	WR1	10	261.0	118.27
3	Jahmyr Gibbs	RB2	8	283.1	117.22
4	Lamar Jackson	QB1	7	382.6	111.57
5	Bijan Robinson	RB3	5	275.0	110.72
6	CeeDee Lamb	WR2	10	248.1	105.40
7	Saquon Barkley	RB4	9	265.4	103.05
8	Derrick Henry	RB5	7	264.1	101.97
9	Bucky Irving	RB6	9	262.7	100.87
10	Justin Jefferson	WR3	6	240.7	97.99
11	Puka Nacua	WR4	8	235.4	92.72
12	Amon-Ra St. Brown	WR5	8	233.8	91.09
13	Josh Jacobs	RB7	5	250.1	90.79
14	De'Von Achane	RB8	12	249.4	90.21
15	Josh Allen	QB2	7	370.5	89.37
16	Jayden Daniels	QB3	12	368.3	84.25
17	Jonathan Taylor	RB9	11	239.6	82.43
18	Kyren Williams	RB10	8	238.9	81.87
19	Brian Thomas	WR6	8	224.5	81.80
20	Drake London	WR7	5	224.3	81.58
21	Alvin Kamara	RB11	11	237.1	80.44
22	Malik Nabers	WR8	14	222.0	79.26
23	Chase Brown	RB12	10	232.3	76.57
24	Brock Bowers	TE1	8	211.4	75.95
25	Nico Collins	WR9	6	217.6	74.86
26	Jaxon Smith-Njigba	WR10	8	217.3	74.59
27	Jalen Hurts	QB4	9	361.8	74.34
28	Tyreek Hill	WR11	12	216.1	73.38
29	Ashton Jeanty	RB13	8	227.2	72.47
30	Davante Adams	WR12	8	215.0	72.30
31	Tee Higgins	WR13	10	214.1	71.39
32	Omarion Hampton	RB14	12	225.6	71.24
33	Jameson Williams	WR14	8	209.4	66.69
34	George Kittle	TE2	14	199.4	63.92
35	James Conner	RB15	8	216.0	63.55
36	Mike Evans	WR15	9	205.5	62.77
37	Terry McLaurin	WR16	12	205.1	62.45
38	Chuba Hubbard	RB16	14	210.9	59.47
39	Ladd McConkey	WR17	12	202.1	59.44
40	Xavier Worthy	WR18	10	201.4	58.68
41	Trey McBride	TE3	8	193.7	58.26
42	Calvin Ridley	WR19	10	200.3	57.61
43	DK Metcalf	WR20	5	196.5	53.78
44	Kenneth Walker	RB17	8	203.2	53.31
45	TreVeyon Henderson	RB18	14	202.6	52.83
46	Ricky Pearsall	WR21	14	193.8	51.10
47	Joe Burrow	QB5	10	339.0	50.99
48	A.J. Brown	WR22	9	192.5	49.82
49	George Pickens	WR23	10	192.0	49.33
50	Courtland Sutton	WR24	12	190.1	47.42
51	James Cook	RB19	7	195.2	46.88
52	Emeka Egbuka	WR25	9	189.3	46.64
53	Isiah Pacheco	RB20	10	193.8	45.74
54	Tetairoa McMillan	WR26	14	188.1	45.44
55	Justin Fields	QB6	9	333.9	45.39
56	Travis Kelce	TE4	10	180.7	45.23
57	D'Andre Swift	RB21	5	191.8	44.14
58	Jaylen Waddle	WR27	12	185.5	42.82
59	Cooper Kupp	WR28	8	183.2	40.52
60	Garrett Wilson	WR29	9	182.8	40.08
61	Rome Odunze	WR30	5	182.8	40.06
62	Baker Mayfield	QB7	9	332.3	39.29
63	Jakobi Meyers	WR31	8	181.2	38.47
64	Aaron Jones	RB22	6	183.4	37.42
65	Jerry Jeudy	WR32	9	179.0	36.34
66	DeVonta Smith	WR33	9	179.0	36.34
67	DJ Moore	WR34	5	178.8	36.06
68	Breece Hall	RB23	9	181.6	35.98
69	Marvin Harrison	WR35	8	176.3	33.56
70	RJ Harvey	RB24	12	176.2	31.66
71	Patrick Mahomes	QB8	10	322.2	28.92
72	Matthew Golden	WR36	5	171.4	28.71
73	Tony Pollard	RB25	10	172.4	28.67
74	Travis Hunter	WR37	8	170.0	27.34
75	Jaylen Warren	RB26	5	170.4	27.08
76	Zay Flowers	WR38	7	168.8	26.06
77	Javonte Williams	RB27	10	168.2	25.26
78	Tyrone Tracy	RB28	14	167.6	24.77
79	David Montgomery	RB29	8	164.5	22.36
80	Chris Olave	WR39	11	165.0	22.32
81	J.K. Dobbins	RB30	12	159.9	18.68
82	Darnell Mooney	WR40	5	160.0	17.35
83	Jayden Higgins	WR41	6	159.4	16.74
84	Caleb Williams	QB9	5	313.4	16.61
85	Jacory Croskey-Merritt	RB31	12	156.6	15.98
86	David Njoku	TE5	9	150.8	15.38
87	Mark Andrews	TE6	7	149.3	13.83
88	Deebo Samuel	WR42	12	156.0	13.26
89	Marvin Mims	WR43	12	155.5	12.77
90	Brock Purdy	QB10	14	307.6	10.63
91	Travis Etienne	RB32	8	149.5	10.31
92	Sam LaPorta	TE7	8	144.7	9.28
93	Bo Nix	QB11	12	306.6	8.99
94	Kaleb Johnson	RB33	5	147.2	8.51
95	Chris Godwin	WR44	9	150.8	8.11
96	Jake Ferguson	TE8	10	142.7	7.31
97	Austin Ekeler	RB34	12	145.3	7.00
98	Kyler Murray	QB12	8	305.5	6.10
99	Joshua Palmer	WR45	7	147.9	5.19
100	Cam Skattebo	RB35	14	142.0	4.37
101	Khalil Shakir	WR46	7	146.9	4.15
102	Josh Downs	WR47	11	145.9	3.25
103	Dak Prescott	QB13	10	304.3	3.05
