"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Ja'Marr Chase",CIN,"WR1","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","+4.1","56% (9/16)"
"2",1,"Bijan Robinson",ATL,"RB1","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0","+0.7","56% (9/16)"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1","+2.9","68% (11/16)"
"4",2,"CeeDee Lamb",DAL,"WR2","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2","-0.4","46% (7/15)"
"5",2,"Saquon Barkley",PHI,"RB3","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2","+3.8","50% (8/16)"
"6",2,"Justin Jefferson",MIN,"WR3","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1","+0.7","50% (8/16)"
"7",2,"Malik Nabers",NYG,"WR4","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4","+1.8","42% (6/14)"
"8",2,"Nico Collins",HOU,"WR5","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4","+0.9","63% (7/11)"
"9",2,"Christian McCaffrey",SF,"RB4","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2","-8.2","0% (0/4)"
"10",3,"Puka Nacua",LAR,"WR6","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4","+1.4","54% (6/11)"
"11",3,"Derrick Henry",BAL,"RB5","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3","+2.8","56% (9/16)"
"12",3,"Brian Thomas Jr.",JAC,"WR7","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3","+3.7","75% (12/16)"
"13",3,"Amon-Ra St. Brown",DET,"WR8","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4","+1.0","62% (10/16)"
"14",3,"Ashton Jeanty",LV,"RB6","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4","-","-"
"15",3,"Drake London",ATL,"WR9","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","-0.3","56% (9/16)"
"16",3,"De'Von Achane",MIA,"RB7","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0","-0.2","50% (8/16)"
"17",3,"Jonathan Taylor",IND,"RB8","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1","+1.3","46% (6/13)"
"18",3,"Brock Bowers",LV,"TE1","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3","+1.4","56% (9/16)"
"19",4,"Josh Jacobs",GB,"RB9","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6","+1.9","50% (8/16)"
"20",4,"Chase Brown",CIN,"RB10","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","+2.3","62% (10/16)"
"21",4,"Bucky Irving",TB,"RB11","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2","+2.8","75% (12/16)"
"22",4,"A.J. Brown",PHI,"WR10","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2","+0.8","53% (7/13)"
"23",4,"Trey McBride",ARI,"TE2","8","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+4","+1.3","53% (8/15)"
"24",4,"Ladd McConkey",LAC,"WR11","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","+2.0","53% (8/15)"
"25",4,"Kyren Williams",LAR,"RB12","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","-0.1","43% (7/16)"
"26",4,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3","+2.0","56% (9/16)"
"27",4,"Lamar Jackson",BAL,"QB2","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3","+3.6","75% (12/16)"
