Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	18775	Chase, Ja'Marr	CIN	WR	1.10	1	3		29		
2	20271	Robinson, Bijan	ATL	RB	2.52	2	5		29		
3	20272	Gibbs, Jahmyr	DET	RB	3.52	2	6		29		
4	17965	Lamb, CeeDee	DAL	WR	3.97	1	7		29		
5	16062	Barkley, Saquon	PHI	RB	4.93	1	8		29		
6	17972	Jefferson, Justin	MIN	WR	5.72	4	9		29		
7	15222	McCaffrey, Christian	SF	RB	6.97	3	10		29		
8	21122	Nabers, Malik	NYG	WR	8.76	6	12		29		
9	21131	Thomas, Brian	JAX	WR	9.97	6	13		29		
10	18827	St. Brown, Amon-Ra	DET	WR	10.72	7	16		29		
11	18836	Collins, Nico	HOU	WR	11.14	7	15		29		
12	22055	Jeanty, Ashton	LV	RB	11.59	7	15		29		
13	19433	London, Drake	ATL	WR	12.72	10	16		29		
14	20336	Nacua, Puka	LA	WR	13.48	6	18		29		
15	15055	Henry, Derrick	BAL	RB	15.55	9	20		29		
16	20292	Brown, Chase	CIN	RB	16.24	13	24		29		
17	20284	Achane, De'Von	MIA	RB	18.14	13	23		29		
18	21136	Irving, Bucky	TB	RB	19.66	15	24		29		
19	17962	Taylor, Jonathan	IND	RB	19.79	16	23		29		
20	21123	Bowers, Brock	LV	TE	19.93	14	28		29		
21	17004	Brown, A.J.	PHI	WR	20.10	15	24		29		
22	16998	Jacobs, Josh	GB	RB	21.10	14	27		29		
23	21139	McConkey, Ladd	LAC	WR	21.76	16	26		29		
24	17971	Higgins, Tee	CIN	WR	25.31	18	33		29		
25	20273	Smith-Njigba, Jaxon	SEA	WR	25.79	13	34		29		
26	19439	McBride, Trey	ARZ	TE	27.97	22	35		29		
27	19450	Williams, Kyren	LA	RB	28.97	19	45		29		
28	16081	Jackson, Lamar	BAL	QB	30.86	22	41		29		
29	19431	Wilson, Garrett	NYJ	WR	31.38	25	40		29		
30	22069	Hampton, Omarion	LAC	RB	31.41	21	43		29		
31	21121	Harrison, Marvin	ARZ	WR	31.69	25	40		29		
32	22072	Henderson, TreVeyon	NE	RB	31.90	22	46		29		
33	16074	Allen, Josh	BUF	QB	32.28	5	44		29		
34	22059	McMillan, Tetairoa	CAR	WR	33.03	26	45		29		
35	14725	Hill, Tyreek	MIA	WR	34.86	27	43		29		
36	12686	Evans, Mike	TB	WR	36.97	27	49		29		
37	21128	Worthy, Xavier	KC	WR	37.72	29	48		29		
38	17062	McLaurin, Terry	WAS	WR	37.93	28	48		29		
39	17968	Burrow, Joe	CIN	QB	39.17	27	56		29		
40	19467	Cook, James	BUF	RB	41.45	32	56		29		
41	16066	Sutton, Courtland	DEN	WR	41.72	30	48		29		
