name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
ja'marr chase,,1,1.0,1.1,1.1,1,WR1,
ceedee lamb,,2,3.0,4.16,3.97,1,WR2, WR1 potential
justin jefferson,,3,5.0,5.79,5.72,1,WR3, nervous about JJ as QB. No rookie QBs have ever produced a top2 PPR WR season
bijan robinson,,4,2.0,2.43,2.52,1,RB1,
malik nabers,,5,7.0,9.38,8.76,2,WR4, Giants are ass but he was still good last year?
amon-ra st. brown,,6,10.0,10.2,10.72,2,WR5,
jahmyr gibbs,,7,4.0,3.65,3.52,2,RB2, worth first rounder for sure
nico collins,,8,9.0,11.36,11.14,2,WR6, WR1 potential. MB love list. ESPN ADP is lower than it should be
puka nacua,,9,11.0,14.58,13.48,2,WR7, WR1 potential... but also Stafford back scares me. stay away
saquon barkley,,10,6.0,4.9,4.93,2,RB3, alot of touches last year
christian mccaffrey,,11,8.0,7.18,6.97,2,RB4,
drake london,,12,12.0,14.18,12.72,2,WR8, WR1 potential. MB love list
brian thomas,,13,13.0,11.29,9.97,2,WR9, 2nd year wr that had amazing year. fits my system
a.j. brown,,14,19.0,20.79,20.1,3,WR10,
brock bowers,,15,16.0,20.53,19.93,3,TE1, interested in rounds 3-5. might be worth 2nd rounder honestly
ladd mcconkey,,16,15.0,22.65,21.76,3,WR11,
ashton jeanty,,17,14.0,10.92,11.59,3,RB5, Chip Kelly loves using his RBs... MB love list
jaxon smith-njigba,,18,20.0,27.68,25.79,3,WR12,
de'von achane,,19,18.0,18.34,18.14,3,RB6, MB love list
trey mcbride,,20,21.0,27.99,27.97,3,TE2, interested in rounds 3-5
tee higgins,,21,23.0,27.86,25.31,4,WR13, elite PPG last year... just got hurt a bit
derrick henry,,22,17.0,12.82,15.55,4,RB7,
chase brown,,23,22.0,16.62,16.24,4,RB8, MB love list
josh allen,,24,25.0,29.28,32.28,4,QB1,
lamar jackson,,25,27.0,27.42,30.86,4,QB2,
garrett wilson,,26,33.0,32.43,31.38,4,WR14, do we trust justin fields... there are no other pass catchers
bucky irving,,27,28.0,20.12,19.66,4,RB9, MB love list
josh jacobs,,28,29.0,19.37,21.1,4,RB10,
tyreek hill,,29,39.0,34.88,34.86,4,WR15, was still elite last year with Tua... huge discount
george kittle,,30,30.0,41.6,43.93,4,TE3, interested in rounds 3-5. MB love list.
jonathan taylor,,31,24.0,19.75,19.79,4,RB11,
mike evans,,32,36.0,38.47,36.97,4,WR16,
davante adams,,33,26.0,39.42,42.03,4,WR17,
jayden daniels,,34,34.0,39.11,44.83,4,QB3, nervous about sophomore slump
terry mclaurin,,35,41.0,38.86,37.93,4,WR18,
marvin harrison,,36,35.0,35.51,31.69,5,WR19,
jalen hurts,,37,31.0,46.88,51.48,5,QB4, might love in like the 4th round...
kyren williams,,38,32.0,27.04,28.97,5,RB12, coach said that they might split carries more
dj moore,,39,44.0,48.55,49.31,5,WR20,
alvin kamara,,40,38.0,46.87,51.34,5,RB13, A day may come when the courage of Men fails and alvin kamara is washed up... but it is not this day. MB love HM
courtland sutton,,41,45.0,43.9,41.72,5,WR21,
tetairoa mcmillan,,42,51.0,42.26,33.03,5,WR22, MB love list someone has to get the ball
james cook,,43,37.0,36.16,41.45,5,RB14, MB hate. got lucky w alot of TDs last year. bad other metrics
dk metcalf,,44,46.0,49.45,48.83,5,WR23, MB hate
kenneth walker,,45,40.0,42.1,44.28,5,RB15,
