Rank,Relievers
1,Mason Miller
2,Ryan Helsley
3,Josh Hader
4,Emmanuel Clase
5,Devin Williams
6,Edwin Díaz
7,Raisel Iglesias
8,Robert Suarez
9,Andrés Muñoz
10,Jeff Hoffman
11,Ryan Walker
12,Tanner Scott
13,Félix Bautista
14,Jhoan Durán
15,Kenley Jansen
16,Pete Fairbanks
17,Carlos Estévez
18,Trevor Megill
19,Aroldis Chapman
20,Kyle Finnegan
21,José Alvarado
22,Jordan Romano
23,Justin Martinez
24,A.J. Puk
25,Blake Treinen
26,Luke Jackson
27,David Bednar
28,Griffin Jax
29,Ryan Pressly
30,Porter Hodge
31,Chris Martin
32,Seth Halvorsen
33,Victor Vodnik
34,Lucas Erceg
35,Jason Adam
36,Bryan Abreu
37,Edwin Uceta
38,Emilio Pagán
39,Calvin Faucher
40,Justin Slaten
,Mike Clevinger
,Jordan Leasure
,Camilo Doval
,Ben Joyce
,Yennier Cano
,Beau Brieske
