Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mK9,mIP,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT","SP",11.449999809265137,188.104,4.899884408969863,-1.7216335586107867,10.797879999890304,8.199591896536743,7.004744674193406,4.2293051417670995,33.40977256274663,8.012156919411257,42.421929482157886,"Paul Skenes","33677",694973
"Jacob deGrom","TEX","SP",46.689998626708984,152.018,3.3888123465232765,-1.7216335586107867,7.827054666523332,13.363874589423114,7.919303804885188,2.2595051867209386,33.036917035465066,8.012156919411257,42.04907395487631,"Jacob deGrom","10954",594798
"Tarik Skubal","DET","SP",14.039999961853027,196.234,5.00300867748925,-1.7216335586107867,9.394723029140298,10.867330435725142,2.5205275999884846,4.6730582003831564,30.737014384115543,8.012156919411257,39.7491713035268,"Tarik Skubal","22267",669373
"Chris Sale","ATL","SP",36.33000183105469,186.772,5.517934808581937,-1.7216335586107867,6.86698506148802,8.681004131877561,4.990280033132338,4.156581349890131,28.491151826359197,8.012156919411257,37.50330874577045,"Chris Sale","10603",519242
"Garrett Crochet","BOS","SP",25.15999984741211,170.138,4.3837219367397235,-1.7216335586107867,6.6493657649986275,6.789977280613813,6.777736110709795,3.248621718248843,26.127789252700016,8.012156919411257,35.139946172111266,"Garrett Crochet","27463",676979
"Mason Miller","OAK","RP",44.90999984741211,67,-2.1874758114730866,6.612741269392023,4.985234449521322,4.530182211916158,5.162920141856181,-2.381167102573344,16.722435158639254,8.05685776559286,25.779292924232113,"Mason Miller","31757",695243
"Tyler Glasnow","LAD","SP",97.51000213623047,143.689,2.8942176500690486,-1.7216335586107867,3.631130420761921,5.1429025286485155,4.0775022817026345,1.80487279409777,15.828992116669104,8.012156919411257,24.841149036080363,"Tyler Glasnow","14374",607192
"Zack Wheeler","PHI","SP",21.450000762939453,198.518,5.147954746870573,-1.7216335586107867,3.397438543589391,5.411601270129592,-1.3128714243541282,4.797730770499104,15.720220348123748,8.012156919411257,24.732377267535004,"Zack Wheeler","10310",554430
"Roki Sasaki","LAD","SP",97.0199966430664,138.51,2.6216416595690797,-1.7216335586107867,2.624436189358795,4.2024746066203615,5.406524985048333,1.5221991781121949,14.65564306009798,8.012156919411257,23.667799979509233,"Roki Sasaki","sa3025686",808963
"Logan Gilbert","SEA","SP",25.780000686645508,198.742,4.141990335332649,-1.7216335586107867,1.8389989886902227,6.657793139898302,-2.2762247410717755,4.809946908294411,13.450871072533022,8.012156919411257,22.463027991944276,"Logan Gilbert","22250",669302
"Spencer Strider","ATL","SP",110.69000244140625,119.396,1.6661571230244314,-1.7216335586107867,3.248834641643608,4.229809996813411,5.420867887098873,0.47887462829828226,13.322910718267819,8.012156919411257,22.335067637679074,"Spencer Strider","27498",675911
"Edwin Díaz","NYM","RP",40.02000045776367,65,-2.3188162304717586,8.336315894750678,3.0617342529266645,2.6348517416474513,3.813960112815085,-2.4903369132440023,13.03770885842412,8.05685776559286,22.094566624016977,"Edwin Diaz","14710",621242
"Dylan Cease","SDP","SP",47.04999923706055,188.994,4.438453439246235,-1.7216335586107867,1.0289711671236619,-0.07860442228329084,3.302997621579092,4.2778423634226215,11.248026610477533,8.012156919411257,20.26018352988879,"Dylan Cease","18525",656302
"Félix Bautista","BAL","RP",63.599998474121094,60,-2.5096810934318428,5.402026382378842,3.6579832428918406,2.79483320453763,4.389862018149624,-2.763261439920648,10.971762314605444,8.05685776559286,20.028620080198305,"Felix Bautista","20666",642585
"Blake Snell","LAD","SP",44.81999969482422,169.982,4.038943476365697,-1.7216335586107867,0.5607525493445229,-2.0617830284522825,6.870058331123522,3.2401061531831017,10.926443922953775,8.012156919411257,19.93860084236503,"Blake Snell","13543",605483
"Josh Hader","HOU","RP",40.689998626708984,68,-2.307297873377965,7.406305740065516,1.9786040531221982,1.7231631355314692,3.9408045750528884,-2.3265821972380154,10.414997433156094,8.05685776559286,19.47185519874895,"Josh Hader","14212",623352
"Ryan Helsley","STL","RP",51.93000030517578,66,-2.4045469411760325,7.937301573732181,2.4891890933176195,1.2561651820624375,2.1679110802262134,-2.4357520079086736,9.010267980253746,8.05685776559286,18.067125745846603,"Ryan Helsley","18138",664854
"Sonny Gray","STL","SP",111.93000030517578,184.766,4.125061234832144,-1.7216335586107867,2.0199142919449447,1.5748905981601549,-1.3033210555959591,4.047051726611063,8.741963237341558,8.012156919411257,17.754120156752816,"Sonny Gray","12768",543243
"Andrés Muñoz","SEA","RP",61.849998474121094,64,-2.5180300822788184,5.646457327436664,3.5548081134530416,1.2286591779743625,2.575349745257978,-2.544921818579332,7.942322463263897,8.05685776559286,16.99918022885676,"Andres Munoz","20373",662253
"Jhoan Duran","MIN","RP",66.44000244140625,65,-2.3897818062829876,4.536751502347935,3.7861866051765385,1.5899690894159355,1.91949419584444,-2.4903369132440023,6.95228267325786,8.05685776559286,16.009140438850718,"Jhoan Duran","21029",661395
"Ryan Walker","SFG","RP",84.08999633789062,68,-2.3787271692699687,6.095417891892316,2.623144493197317,1.6556890677248226,1.159037624666777,-2.3265821972380154,6.827979710973248,8.05685776559286,15.884837476566107,"Ryan Walker","20423",676254
"Shane McClanahan","TBR","SP",119.4000015258789,159.051,2.77972965925228,-1.7216335586107867,1.3881119480197013,0.9598025298179726,-0.12767367790631645,2.6434010858089696,5.921737986381821,8.012156919411257,14.933894905793078,"Shane McClanahan","21483",663556
"Joe Ryan","MIN","SP",91.75,159.709,2.4923109399983736,-1.7216335586107867,-2.623735645744517,4.697684314642152,0.2666155238977522,2.6793340384758517,5.7905756126588255,8.012156919411257,14.802732532070081,"Joe Ryan","21390",657746
"Pablo López","MIN","SP",68.30999755859375,193.107,4.083007205312903,-1.7216335586107867,-1.1158596246390882,1.7683749071387131,-2.11105916822632,4.502355436276777,5.405185197252198,8.012156919411257,14.417342116663454,"Pablo Lopez","17085",641154
"Emmanuel Clase","CLE","RP",35.150001525878906,66,-2.4778316703165073,7.83461818144178,2.31506117388572,0.9129661042304938,-1.0423766674888755,-2.4357520079086736,5.106685113843938,8.05685776559286,14.163542879436797,"Emmanuel Clase","21032",661403
"Cole Ragans","KCR","SP",48.18000030517578,182.633,4.026420085249463,-1.7216335586107867,0.6527288827853006,-3.017393053776211,1.1968715088571709,3.930627360803217,5.067621225308153,8.012156919411257,14.079778144719409,"Cole Ragans","21846",666142
"George Kirby","SEA","SP",45.18000030517578,158.935,2.375194710567996,-1.7216335586107867,0.42940783439575825,6.173000652764833,-5.025543421520077,2.6371176915546712,4.867543909152395,8.012156919411257,13.879700828563653,"George Kirby","25436",669923
"Devin Williams","NYY","RP",41.400001525878906,63,-2.5639490601660375,6.838477299394312,1.4525283878822344,-0.6423793845679306,2.2869651658999324,-2.5995067239146605,4.772135684527849,8.05685776559286,13.82899345012071,"Devin Williams","15816",642207
"Jeff Hoffman","TOR","RP",103.5999984741211,65,-2.5094492333914555,5.596789961657414,1.3361443146083003,1.1081657480069873,1.5352004221981272,-2.4903369132440023,4.576514299835371,8.05685776559286,13.63337206542823,"Jeff Hoffman","17432",656546
"Shota Imanaga","CHC","SP",76.3499984741211,179.749,3.5305116381053474,-1.7216335586107867,-1.3534990957560267,3.5034701693235473,-3.2562439297587957,3.7732484909023007,4.475853714205586,8.012156919411257,13.488010633616843,"Shota Imanaga","33829",684007
"Raisel Iglesias","ATL","RP",51.4900016784668,68,-2.334277129794423,7.2453049847174835,0.5047862401071933,0.7637970864259966,0.057928962053215696,-2.3265821972380154,3.91095794627145,8.05685776559286,12.967815711864308,"Raisel Iglesias","17130",628452
"Shohei Ohtani","LAD","SP",1.5299999713897705,120.781,1.4007706368610442,-1.7216335586107867,0.567574853366725,1.2843988883157953,1.6308444112994767,0.5544802526407682,3.7164354838730227,8.012156919411257,12.728592403284278,"Shohei Ohtani","19755",660271
"Trevor Megill","MIL","RP",134.91000366210938,64,-2.6419493212089793,6.0624922331447495,0.4353069974909287,0.6000870364705433,1.7054312928122854,-2.544921818579332,3.6164464201301945,8.05685776559286,12.673304185723055,"Trevor Megill","17722",656730
"Freddy Peralta","MIL","SP",99.2699966430664,177.958,3.373119587160225,-1.7216335586107867,-2.9208081965299413,-0.7740788036888738,1.9299629313260813,3.675448592077538,3.562010551734242,8.012156919411257,12.574167471145499,"Freddy Peralta","18679",642547
"Tanner Scott","LAD","RP",112.58000183105469,66,-2.325773690459495,5.184940349654933,2.0924011734812065,-1.0527823605821587,2.005508871727373,-2.4357520079086736,3.468542335913186,8.05685776559286,12.525400101506044,"Tanner Scott","17586",656945
"Yoshinobu Yamamoto","LAD","SP",57.45000076293945,158.592,3.3311429671934185,-1.7216335586107867,-0.3004699701123496,0.4224733841171233,-1.6613776886472809,2.618395775323477,2.688530909263602,8.012156919411257,11.700687828674859,"Yoshinobu Yamamoto","33825",808967
"Yusei Kikuchi","LAA","SP",160.08999633789062,176.11,3.3118171195027757,-1.7216335586107867,-2.9244375533740357,-0.7309954137234028,0.3516866895368223,3.5745702964919204,1.8610075798232926,8.012156919411257,10.87316449923455,"Yusei Kikuchi","20633",579328
"Luis Castillo","SEA","SP",97.3499984741211,184.327,3.2611050158521957,-1.7216335586107867,-1.1815737054861661,0.40665212972066855,-3.2693274616700108,4.023110861758788,1.5183332815646884,8.012156919411257,10.530490200975944,"Luis Castillo","15689",622491
"Aroldis Chapman","BOS","RP",282.92999267578125,63,-2.5350371452571325,1.6803116993768725,2.0072655476254684,-1.718840182401211,4.118711918381949,-2.5995067239146605,0.9529051138112863,8.05685776559286,10.009762879404144,"Aroldis Chapman","10233",547973
"Carlos Rodón","NYY","SP",132.39999389648438,178.703,3.482273691197341,-1.7216335586107867,-5.743248961803287,0.10381827167253319,1.1519910861873968,3.7161465631072037,0.989347091750401,8.012156919411257,10.001504011161657,"Carlos Rodon","16137",607074
"Nick Pivetta","SDP","SP",187.36000061035156,152.706,2.323864067731774,-1.7216335586107867,-3.8181115127902086,0.13211766345480438,1.3719800446096286,2.2970706225185773,0.585287326913789,8.012156919411257,9.597444246325045,"Nick Pivetta","15454",601713
"Brandon Woodruff","MIL","SP",243.5500030517578,156.678,2.1814695646454574,-1.7216335586107867,-2.6404168456533306,1.3505489191507516,-1.1887905532186598,2.5138868705710395,0.49506439688447146,8.012156919411257,9.507221316295729,"Brandon Woodruff","16162",605540
"Griffin Jax","MIN","RP",296.6199951171875,70,-2.3225267283517845,0.520101077221281,1.806502211712153,1.4775098724683604,1.0126782321511414,-2.217412386567357,0.27685227863379414,8.05685776559286,9.333710044226653,"Griffin Jax","20253",643377
"Michael King","SDP","SP",63.470001220703125,179.519,3.714960170710904,-1.7216335586107867,-1.3218233108453044,-2.915964489734771,-1.3361985954680184,3.760688365590156,0.18002858164217933,8.012156919411257,9.192185501053435,"Michael King","19853",650633
"Cade Smith","CLE","RP",367.79998779296875,68,-2.3768719203299558,-1.0846059380264563,2.3127919338601464,1.4508576324878537,2.1301630003319327,-2.3265821972380154,0.1057525110855061,8.05685776559286,9.162610276678365,"Cade Smith","27867",671922
"Justin Martinez","ARI","RP",187.75,67,-2.3394565660861226,3.029146866872311,2.2653351088609672,-2.703889395788257,2.0119365625850985,-2.381167102573344,-0.11809452612934762,8.05685776559286,8.938763239463512,"Justin Martinez","24453",679885
"Robert Suarez","SDP","RP",90.19999694824219,65,-2.6051523218423314,5.967901082816924,0.012972645458788592,-0.44473176802212555,-0.5905796868739909,-2.4903369132440023,-0.1499269617067377,8.05685776559286,8.906930803886121,"Robert Suarez","30115",663158
"A.J. Puk","ARI","RP",243.8000030517578,64,-2.5421490557328217,3.134620632369538,0.8644285307617591,0.053729930722818106,0.8292368434996614,-2.544921818579332,-0.20505493695837665,8.05685776559286,8.851802828634483,"A.J. Puk","19343",640462
"Chris Martin","TEX","RP",306.6499938964844,58,-2.826707307715816,3.7267242023006593,0.936944327197308,1.439639081816676,-0.8064276896481974,-2.8724312505913057,-0.40225863664067557,8.05685776559286,8.654599128952183,"Chris Martin","11847",455119
"Ryan Pressly","CHC","RP",157.0500030517578,61,-2.7422907163183456,5.295436574040738,0.6916689444188386,-0.4712379945700787,-0.6201966659092447,-2.7086765345853183,-0.5552963929234113,8.05685776559286,8.501561372669446,"Ryan Pressly","7005",519151
"Matt Strahm","PHI","RP",480.45001220703125,67,-2.392873949285829,-0.8488247906685357,1.3025981410487981,2.509444217693535,1.123318809646912,-2.381167102573344,-0.6875046741384643,8.05685776559286,8.369353091454395,"Matt Strahm","13799",621381
"Max Fried","NYY","SP",97.44000244140625,175.84,3.8578965406642616,-1.7216335586107867,1.8297721244435763,-2.7222418846561593,-5.502226151302928,3.559875449616444,-0.6985574798455926,8.012156919411257,8.313599439565664,"Max Fried","13743",608331
"Corbin Burnes","ARI","SP",36.599998474121094,189.849,4.22084117991008,-1.7216335586107867,-1.9539052526907141,-2.276848960668755,-3.4327895425660224,4.324512224272452,-0.839823910353748,8.012156919411257,8.17233300905751,"Corbin Burnes","19361",669203
"Liam Hendriks","BOS","RP",239.39999389648438,61,-2.7906060727787874,4.5668867878886745,-0.7414396488094398,0.3158071554155859,0.313366892048204,-2.7086765345853183,-1.044661420821081,8.05685776559286,8.012196344771777,"Liam Hendriks","3548",521230
"Justin Steele","CHC","SP",120.83999633789062,169.848,3.2880840879601956,-1.7216335586107867,-0.2126806941298735,-1.3050527059635133,-4.4349975121067455,3.232803289871636,-1.1534770929790876,8.012156919411257,7.8586798264321684,"Justin Steele","17312",657006
"Bryan Abreu","HOU","RP",452.4200134277344,72,-2.1989167590144447,-1.1130670927797237,1.3616305246790577,0.19490632326095417,2.4433219533477777,-2.108242575896699,-1.4203676264030787,8.05685776559286,7.636490139189781,"Bryan Abreu","16609",650556
"Jeremiah Estrada","SDP","RP",440.3500061035156,63,-2.581651703265513,-0.8111556172164511,1.4491393608355998,0.15100557586728505,2.678172109388413,-2.5995067239146605,-1.7139969983053271,8.05685776559286,7.342860767287531,"Jeremiah Estrada","22210",669093
"Pete Fairbanks","TBR","RP",142.85000610351562,60,-2.8310363447814852,4.52196247113083,-0.004118384767947444,-0.9451320209096106,0.3064260101488464,-2.763261439920648,-1.7151597091000146,8.05685776559286,7.341698056492844,"Pete Fairbanks","17998",664126
"Kenley Jansen","LAA","RP",143.39999389648438,60,-2.9317640504191917,5.521730359358829,-1.7458988754192617,-0.7131173595646862,0.81202276599963,-2.763261439920648,-1.820288599965328,8.05685776559286,7.2365691656275315,"Kenley Jansen","3096",445276
"Grayson Rodriguez","BAL","SP",106.19999694824219,149.959,2.364449527456257,-1.7216335586107867,-1.6181466343994064,-2.090359907415414,-1.1731161499796803,2.1471420391506277,-2.0916646837984025,8.012156919411257,6.920492235612854,"Grayson Rodriguez","24492",680570
"Framber Valdez","HOU","SP",61.869998931884766,184.592,4.0711023533823125,-1.7216335586107867,1.7753109243762257,-4.79175999696021,-5.469667804779424,4.037603314042032,-2.0990447685498506,8.012156919411257,6.913112150861406,"Framber Valdez","17295",664285
"Camilo Doval","SFG","RP",377.0199890136719,62,-2.68044693471923,0.9584584363747017,1.8813980610467351,-1.0043487193732161,1.286969800002927,-2.6540916292499896,-2.2120609859180718,8.05685776559286,6.8447967796747875,"Camilo Doval","21992",666808
"Jack Flaherty","DET","SP",137.39999389648438,169.521,2.627671495086809,-1.7216335586107867,-2.4988403118136597,-2.18590749543904,-1.7748654915804742,3.2149267666902985,-2.338648595666852,8.012156919411257,6.673508323744405,"Jack Flaherty","17479",656427
"MacKenzie Gore","WSN","SP",206.55999755859375,174.386,2.9705943379039064,-1.7216335586107867,-2.5661539698499958,-3.6176107443383105,-0.8976037877206355,3.4804876283878534,-2.3519200942279688,8.012156919411257,6.660236825183288,"MacKenzie Gore","22201",669022
"Aaron Nola","PHI","SP",88,187.668,3.81391022126949,-1.7216335586107867,-4.261178392873229,-0.044966128000337655,-4.44814908892384,4.205462559062492,-2.4565543880762117,8.012156919411257,6.555602531335045,"Aaron Nola","16149",605400
"Orion Kerkering","PHI","RP",304.9800109863281,63,-2.553126283193406,-0.26676620504073,1.6885505739447328,0.6227744074176247,0.597111812950251,-2.5995067239146605,-2.510962417836188,8.05685776559286,6.545895347756671,"Orion Kerkering","31776",689147
"David Bednar","PIT","RP",131.97999572753906,64,-2.7924613217188003,6.184428828015759,-1.29934321243362,-1.7699168788818913,-0.41360200192351515,-2.544921818579332,-2.6358164055213997,8.05685776559286,6.4210413600714595,"David Bednar","19569",670280
"Logan Webb","SFG","SP",99.83999633789062,201.109,4.32991787439476,-1.7216335586107867,1.9302755223622345,-2.4960480751981637,-9.651934476828208,4.939176271884016,-2.670246441996146,8.012156919411257,6.3419104774151105,"Logan Webb","17995",657277
"Tanner Bibee","CLE","SP",90.88999938964844,173.454,2.811811126716461,-1.7216335586107867,-4.175592232186675,-0.7391557360515871,-2.650355645420108,3.429614123476326,-3.0453119220763702,8.012156919411257,5.966844997334887,"Tanner Bibee","30134",676440
"Fernando Cruz","NYY","RP",711.72998046875,61,-2.6716342257914802,-1.7216335586107867,0.9061815602223338,0.33789672546210864,2.7424554618573507,-2.7086765345853183,-3.1154105714457923,8.05685776559286,5.941447194147067,"Fernando Cruz","7048",518585
"Max Scherzer","TOR","SP",296.6400146484375,124.49,0.778314159247784,-1.7216335586107867,-3.442514629818744,1.7254726356927983,-1.2033678875960376,0.7569356465399142,-3.1067936345450726,8.012156919411257,5.905363284866184,"Max Scherzer","3137",453286
"Robbie Ray","SFG","SP",158.52999877929688,160.564,2.142739722477904,-1.7216335586107867,-4.400558939379833,-1.3125187179032665,-0.7272219328090351,2.726025554714151,-3.2931678715108665,8.012156919411257,5.71898904790039,"Robbie Ray","11486",592662
"Brock Stewart","MIN","RP",750.5800170898438,60,-2.7569784416589567,-1.4414865150724125,1.2504284548891789,0.2857992561922502,2.0728813653678175,-2.763261439920648,-3.35261732020277,8.05685776559286,5.70424044539009,"Brock Stewart","16727",592779
"Jason Adam","SDP","RP",336.20001220703125,67,-2.4824699769749983,-0.8111556172164511,0.6089451716162776,0.7881170679732257,0.8179309050867574,-2.381167102573344,-3.459799552088533,8.05685776559286,5.597058213504327,"Jason Adam","11861",592094
"Hunter Greene","CIN","SP",95.04000091552734,172.061,2.6769917012612336,-1.7216335586107867,-8.190839330413274,-2.8410100149741853,3.1717005691676015,3.35355040437776,-3.5512402291916514,8.012156919411257,5.460916690219605,"Hunter Greene","22182",668881
"Matt Brash","SEA","RP",680.3800048828125,48,-3.224748516493137,-1.7216335586107867,2.3492811964620213,0.6325833168965271,1.7519951007366381,-3.4182803039445964,-3.630802764953334,8.05685776559286,5.426055000639526,"Matt Brash","25756",666374
"Ben Joyce","LAA","RP",293.8500061035156,62,-2.7034064236628397,0.3621694396856595,0.901549738691203,-1.5286956232408042,1.9090577835210454,-2.6540916292499896,-3.713416714255726,8.05685776559286,5.343441051337133,"Ben Joyce","31461",690829
"Hunter Brown","HOU","SP",97.11000061035156,167.533,3.1831049391177126,-1.7216335586107867,-1.9286623288397293,-4.304750212452713,-2.043536482724994,3.1064066176737164,-3.7090710258367943,8.012156919411257,5.303085893574463,"Hunter Brown","25880",686613
"Lucas Erceg","KCR","RP",210.1999969482422,67,-2.485484894733863,1.2271653090063477,0.7261297852996418,-1.4258230707143922,0.5537473760558019,-2.381167102573344,-3.785432597659808,8.05685776559286,5.271425167933051,"Lucas Erceg","19360",668674
"Keegan Akin","BAL","RP",690.7100219726562,70,-2.2977119904681618,-1.1591071862738094,0.9515505513524128,0.7626422813459244,0.130190522664376,-2.217412386567357,-3.829848207946615,8.05685776559286,5.227009557646244,"Keegan Akin","19362",669211
"Spencer Schwellenbach","ATL","SP",84.23999786376953,171.934,3.6843472730414804,-1.7216335586107867,-3.1970378932367973,-1.1209590975865948,-4.816882434542253,3.3466231787662806,-3.8255425321686722,8.012156919411257,5.186614387242584,"Spencer Schwellenbach","31846",680885
"Robert Garcia","TEX","RP",527.3099975585938,64,-2.5957210737289387,0.5329363682052636,0.6954402179369784,-0.752566821042143,0.389998671175868,-2.544921818579332,-4.274834456032304,8.05685776559286,4.7820233095605555,"Robert Garcia","23363",676395
"Jordan Romano","PHI","RP",176.47000122070312,59,-2.918081174792564,4.776438866175081,-1.536756619115225,-1.6564859582150044,-0.41455350703994054,-2.8178463452559765,-4.56728473824363,8.05685776559286,4.48957302734923,"Jordan Romano","16122",605447
"Bailey Ober","MIN","SP",81.06999969482422,171.04,2.598836805421881,-1.7216335586107867,-6.433775667336237,0.2151961489828213,-2.559170428533552,3.297857742632275,-4.602688957443599,8.012156919411257,4.409467961967657,"Bailey Ober","21224",641927
"Nick Lodolo","CIN","SP",242,138.372,1.464160213498894,-1.7216335586107867,-3.872828098113443,-2.132377331795312,-0.23165440019619893,1.5146397817373254,-4.97969339347952,8.012156919411257,4.032463525931736,"Nick Lodolo","26378",666157
