player_name,team,position,2025,last30
Aaron Judge,NYY,OF/DH,55.849382795537096,
Shohei Ohtani,LAD,DH,49.96236570652434,
Juan Soto,NYM,OF,49.952531715970814,
Cal Raleigh,SEA,C/DH,49.100860307204684,
Kyle Schwarber,PHI,DH,43.20142620861427,
Jose Ramirez,CLE,3B/DH,37.91533548602671,
Geraldo Perdomo,ARI,SS,35.77071686351595,
Francisco Lindor,NYM,SS,35.52695992025094,
George Springer,TOR,OF/DH,35.235119721056414,
Fernando Tatis Jr.,SDP,OF,33.72246431358103,
Corbin Carroll,ARI,OF,33.50607272599153,
Bobby Witt Jr.,KCR,SS,33.46537885757069,
Julio Rodriguez,SEA,OF,32.39851382870619,
Rafael Devers,SFG,1B/3B/DH,31.668142098107765,
Elly De La Cruz,CIN,SS,31.305453933126547,
Pete Alonso,NYM,1B,29.577686625127903,
Byron Buxton,MIN,OF,29.156580533790635,
Kyle Tucker,CHC,OF/DH,28.74304513777864,
Randy Arozarena,SEA,OF,28.527131120831392,
Christian Yelich,MIL,OF/DH,28.39265297697661,
James Wood,WSN,OF/DH,28.30148434093668,
Junior Caminero,TBR,3B,28.088626626781192,
Eugenio Suarez,SEA,3B,27.740056606692498,
Trea Turner,PHI,SS,27.707008803564836,
Josh Naylor,SEA,1B/DH,27.524090901133935,
Pete Crow-Armstrong,CHC,OF,27.40959730549358,
Trevor Story,BOS,SS,27.0145016687017,
Matt Olson,ATL,1B,26.838867368954734,
Nick Kurtz,OAK,1B,26.78822613170435,
Brice Turang,MIL,2B,26.42728311280207,
Vladimir Guerrero Jr.,TOR,1B/DH,26.251258868753983,
Cody Bellinger,NYY,1B/OF/DH,25.996915270987735,
Jazz Chisholm Jr.,NYY,2B/3B/OF,25.887426207179523,
Manny Machado,SDP,3B/DH,25.323356479298084,
Gunnar Henderson,BAL,SS,24.57110567161365,
William Contreras,MIL,C/DH,24.35822812953248,
Taylor Ward,LAA,OF,23.789688442747824,
Brent Rooker,OAK,OF/DH,23.765257662235786,
Riley Greene,DET,OF/DH,23.586880504955918,
Willy Adames,SFG,SS,23.49363169700842,
Freddie Freeman,LAD,1B,23.272242010875996,
Hunter Goodman,COL,C/OF/DH,23.216530494797436,
Jarren Duran,BOS,OF,22.924374250846068,
Maikel Garcia,KCR,2B/3B/SS,22.912401468490405,
Shea Langeliers,OAK,C,22.657496005974217,
Trent Grisham,NYY,OF,22.55690910313455,
Michael Busch,CHC,1B,22.519685722410152,
Seiya Suzuki,CHC,OF/DH,22.449020954688432,
Ketel Marte,ARI,2B/DH,22.253845305483125,
Tyler Soderstrom,OAK,1B/OF,22.17926395223548,
Brandon Nimmo,NYM,OF,21.8545027853602,
Zach Neto,LAA,SS,21.650575969506228,
CJ Abrams,WSN,SS,21.60376154556758,
Yandy Diaz,TBR,1B/DH,21.55966220154913,
Willson Contreras,STL,C/1B/DH,21.357963059647748,
Bryce Harper,PHI,1B,21.33721536817185,
Vinnie Pasquantino,KCR,1B/DH,21.109749607270064,
Bo Bichette,TOR,SS,20.785708876752857,
Wyatt Langford,TEX,OF/DH,20.523507161023453,
Will Smith,LAD,C,20.516336585319547,
Ian Happ,CHC,OF,20.515408478803565,
Jackson Chourio,MIL,OF,20.42271766067198,
