"Name"
"Kyle Higashioka"
"Bo Naylor"
"Ryan O'Hearn"
"Nico Hoerner"
"Matt Chapman"
"Kristian Campbell"
"Miguel Vargas"
"Jonathan India"
"Ian Happ"
"Anthony Santander"
"George Springer"
"Jorge Soler"
"Michael Busch"
"Trevor Story"
"Matt Vierling"
"Alfredo Duno"
"Thayron Liranzo"
"Cooper Pratt"
"Roman Anthony"
"Luis Matos"
"Osvaldo Bido"
"Aaron Civale"
"Dennis Santana"
"Jonathon Cannon"
"Chris Sale"
"Kodai Senga"
"Drew Rasmussen"
"Hayden Wesneski"
"Kenley Jansen"
"Matt Strahm"
"Mike Clevinger"
"Kyle Hart"
"Zack Thompson"
"Chase Burns"
"Daniel Espino"
"Quinn Mathews"
"Nolan McLean"
"Brandon Sproat"
"Ricky Tiedemann"
