Rank,player_name
1,Josh Hader
2,Edwin Díaz
3,Andrés Muñoz
4,Robert Suarez
5,Tanner Scott
6,Félix Bautista
7,Aroldis Chapman
8,Devin Williams
9,Emmanuel Clase
10,David Bednar
11,Mason Miller
12,Trevor Megill
13,Jhoan Durán
14,Carlos Estévez
15,Emilio Pagán
16,Ryan Helsley
17,Pete Fairbanks
18,Kenley Jansen
19,Daniel Palencia
20,Camilo Doval
21,Will Vest
22,Jeff Hoffman
23,Shelby Miller
24,Orion Kerkering
25,Kyle Finnegan
26,Luke Weaver
27,Robert Garcia
28,Seth Halvorsen
29,Calvin Faucher
30,Dylan Lee
31,Grant Taylor
32,Kirby Yates
33,Matt Strahm
34,Tommy Kahnle
35,Reid Detmers
36,Yariel Rodríguez
37,Chris Martin
38,Garrett Whitlock
39,Alex Vesia
40,Michael Kopech
stash,Abner Uribe
stash,Juan Morillo
stash,Yariel Rodríguez
stash,Andre Granillo
