Rank,Player
1,Tarik Skubal
2,Paul Skenes
3,Zack Wheeler
4,Garrett Crochet
5,Chris Sale
6,Max Fried
7,Yoshinobu Yamamoto
8,Logan Webb
9,Hunter Brown
10,Hunter Greene
11,Cole Ragans
12,Logan Gilbert
13,Dylan Cease
14,Jacob deGrom
15,George Kirby
16,Bryan Woo
17,Freddy Peralta
18,Joe Ryan
19,Framber Valdez
20,Cristopher Sánchez
21,Spencer Schwellenbach
22,Drew Rasmussen
23,Pablo López
24,Spencer Strider
25,Michael King
26,Kodai Senga
27,Carlos Rodón
28,Luis Castillo
29,Robbie Ray
30,Nick Pivetta
31,Sonny Gray
32,Jesús Luzardo
33,MacKenzie Gore
34,Kevin Gausman
35,Jack Flaherty
36,Ryan Pepiot
37,Clay Holmes
38,Bryce Miller
39,Tanner Bibee
40,Eury Pérez
41,Gavin Williams
42,Tylor Megill
43,Nathan Eovaldi
44,Kris Bubic
45,Shota Imanaga
46,Clarke Schmidt
47,Aaron Nola
48,Reese Olson
49,Seth Lugo
50,Bailey Ober
51,Zac Gallen
52,Zach Eflin
53,Shane McClanahan
54,Tyler Glasnow
55,Corbin Burnes
56,Blake Snell
57,Edward Cabrera
58,Nick Lodolo
59,Ryan Weathers
60,Landen Roupp
61,Matthew Boyd
62,Ranger Suárez
63,Taj Bradley
64,Max Meyer
65,Matthew Liberatore
66,Casey Mize
67,Dustin May
68,Kyle Harrison
69,Hayden Birdsong
70,Zebby Matthews
71,David Peterson
72,Sandy Alcantara
73,Will Warren
74,Mitch Keller
75,Luis Severino
76,Yusei Kikuchi
77,Shane Baz
78,Jameson Taillon
79,Chris Bassitt
80,Merrill Kelly
81,Shane Bieber
82,Luis Gil
83,Grayson Rodriguez
84,Shohei Ohtani
85,Sean Manaea
86,Tyler Mahle
87,Andrew Abbott
88,Lance McCullers
89,Chad Patrick
90,Cade Horton
91,Luis L. Ortiz
92,Ryne Nelson
93,José Soriano
94,Ben Brown
95,Bowden Francis
96,Michael Wacha
97,Brandon Pfaadt
98,Clayton Kershaw
99,Griffin Canning
100,Kumar Rocker
101,Grant Holmes
102,Quinn Priester
103,Eduardo Rodriguez
104,Bubba Chandler
105,Max Scherzer
106,Justin Verlander
107,Frankie Montas Jr.
108,Andre Pallante
109,Sawyer Gipson-Long
110,Slade Cecconi
111,José Berríos
112,Spencer Arrighetti
113,Yu Darvish
114,Brayan Bello
115,Ryan Yarbrough
116,Walker Buehler
117,Chris Paddack
118,Colton Gordon
119,J.T. Ginn
120,Cade Povich
121,Landon Knack
122,Andrew Heaney
123,Brady Singer
124,Tony Gonsolin
125,Colin Rea
126,Ryan Gusto
127,Nick Martinez
128,Aaron Civale
129,Jack Leiter
130,Kutter Crawford
131,Logan Henderson
132,David Festa
133,Andrew Painter
134,Joe Boyle
135,Mike Soroka
136,Logan Evans
137,Dean Kremer
138,Davis Martin
139,Stephen Kolek
140,Tomoyuki Sugano
141,Jonathan Cannon
142,Richard Fitts
143,Brandon Woodruff
144,Bailey Falter
145,Lucas Giolito
146,Jake Irvin
147,Shane Smith
148,Charlie Morton
149,Jackson Jobe
150,Luis Garcia
151,Roki Sasaki
