Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Scott Effross","NYY",1,120.82,139.52,,,126.59999999999998,,,,,131.3114285714286,240.30285714285714,249.06,"Scott Effross",18384,664123
"Aroldis Chapman","BOS",17.2,85.63291666666667,123.71804878048782,,120.59333333333333,118.49913043478263,,,,,107.50657456828885,133.15166091051805,138.36109890109893,"Aroldis Chapman",10233,547973
"Trevor Megill","MIL",14,119.51496598639456,,,,,,,149.87549019607843,,131.95180722891567,104.93357429718876,135.68465863453812,"Trevor Megill",17722,656730
"Michael Petersen","ATL",1,128.34,,111.9,,,,,,,122.28315789473685,115.86947368421052,133.5821052631579,"Michael Petersen",20827,656848
"Zach Pop","SEA",1.1,,126.7,97.24,,97.12,,,,,118.27428571428572,117.27142857142857,130.86857142857144,"Zach Pop",20185,647315
"Graham Ashcraft","CIN",14.1,,,120.56830769230768,,129.16403846153847,,,,,124.38863247863249,105.2728205128205,129.61299145299145,"Graham Ashcraft",27552,668933
"Grant Taylor","CHW",3,109.56064516129032,,96.00571428571428,,79.22,72.30727272727272,,,,98.17724137931036,128.35103448275862,128.9762068965517,"Grant Taylor",33927,691799
"Justin Bruihl","TOR",1,,98.82,91.34,,107.5,,,,,100.716,135.07333333333332,126.84933333333335,"Justin Bruihl",23779,677865
"Griffin Jax","MIN",13.1,74.3792,101.39619047619048,98.69263157894736,,123.4188,,115.36912280701755,,,111.63009009009008,114.05063063063064,126.53045045045045,"Griffin Jax",20253,643377
"Tanner Scott","LAD",16,120.59060402684564,,,,120.33327586206897,,,,,120.47362803234503,108.01416711590294,126.4562156334232,"Tanner Scott",17586,656945
"Ryan Helsley","STL",11,111.20515463917525,,,,159.69670103092784,147.95000000000002,,,,135.9459405940594,96.52534653465347,125.25564356435643,"Ryan Helsley",18138,664854
"Robert Stephenson","LAA",1,120.54,,134.44,,,,,,,123.43599999999999,120.70933333333333,125.05866666666667,"Robert Stephenson",13594,596112
"Ryne Stanek","NYM",9.1,107.45471074380164,,,122.1568,131.5109090909091,,,,,115.8658706467662,109.17363184079605,123.73781094527365,"Ryne Stanek",15947,592773
"Tarik Skubal","DET",42.2,119.79304347826086,112.63284210526315,,,117.74123076923077,,121.87423076923075,128.5175,,117.99109870298437,108.77938652904251,123.65571914923643,"Tarik Skubal",22267,669373
"Orion Kerkering","PHI",14.1,104.85967741935484,115.7298245614035,,,126.80757281553399,,,,,117.8025160875161,106.85765765765767,123.51321106821108,"Orion Kerkering",31776,689147
"Ben Casparius","LAD",22,95.9875,,105.28131147540982,,137.66050505050507,117.15576923076922,,,,116.49219737123609,109.34254654171727,123.19630990686352,"Ben Casparius",30085,676508
"Yimi García","TOR",4,129.1314285714286,110.63499999999999,,,127.96437499999999,123.58,100.21999999999998,,,122.37357142857142,101.2010201316299,123.19426538908245,"Yimi Garcia",12095,554340
"Zack Wheeler","PHI",37,111.54131687242797,117.41092436974792,97.77714285714285,89.76588235294119,123.16164705882353,121.29236363636362,,,,112.26810631229235,110.38837209302326,123.03621262458472,"Zack Wheeler",10310,554430
"Paul Skenes","PIT",47.1,99.90300813008129,117.49885714285715,,89.6900900900901,127.20301204819278,133.16421052631577,104.81742857142858,,,108.12272727272727,116.99548387096775,122.91539589442813,"Paul Skenes",33677,694973
"Emmanuel Clase","CLE",15.1,,,120.68325000000002,,118.91638554216867,,,,,120.00817558299039,103.27533607681755,122.45673525377228,"Emmanuel Clase",21032,661403
"Luis García","LAD",7,90.62285714285713,109.63550000000001,,102.60416666666667,110.21251612903225,,,,,106.65461538461538,114.06030165912522,122.17960784313725,"Luis Garcia",6984,472610
"Steven Okert","HOU",13.2,102.344776119403,,83.58,,129.46434782608696,,143.48,,,119.27847282608697,106.39271557971016,121.8249791666667,"Steven Okert",13580,595345
"Reid Detmers","LAA",16,113.70774193548387,110.72615384615385,,,126.78184615384615,96.48818181818181,,,,112.57139993086761,111.50577946768061,121.7429312132734,"Reid Detmers",27468,672282
"Abner Uribe","MIL",16.2,122.03999999999999,111.70033057851239,,,130.12,,,,,121.08759529411765,104.66204235294116,120.94428705882353,"Abner Uribe",25327,682842
"Ty Adcock","NYM",2.2,115.45517241379311,,94.40444444444444,154.86,133.2281818181818,,,,,121.06718749999999,110.22874999999999,120.89406249999999,"Ty Adcock",25651,686654
"Logan Gilbert","SEA",5,84.8,103.42,,161.02,97.76,97.58,,,,104.50642857142856,116.02619047619048,119.42071428571428,"Logan Gilbert",22250,669302
"Louis Varland","MIN",14,110.64260869565216,113.55846153846154,,,86.63,,76.94,107.1649438202247,,107.78748170731707,108.80462891986063,119.32268902439026,"Louis Varland",27691,686973
"Gabe Speier","SEA",12,113.93853658536587,107.82,,,112.69423728813561,,,,,111.74686567164179,113.69880597014924,118.78845771144279,"Gabe Speier",17170,642100
"David Bednar","PIT",13,117.46927835051548,,,97.94488888888888,,103.46944444444443,,,,108.5885280373832,113.08052570093459,118.66546728971963,"David Bednar",19569,670280
"Spencer Schwellenbach","ATL",49.1,114.90071942446042,113.88583333333332,98.80780487804878,126.31642105263155,107.5003539823009,101.70482758620689,,,,112.09257943867458,108.95386900346193,118.47082746043523,"Spencer Schwellenbach",31846,680885
"Framber Valdez","HOU",48,81.30250000000001,94.9498916967509,,,113.25,130.48105263157893,101.59203124999999,,,109.44341270958837,108.06890593424059,118.40227433495521,"Framber Valdez",17295,664285
"Anthony Bender","MIA",13.1,,108.9521568627451,,,119.04390096618359,,98.22285714285714,,,115.67288115246097,105.74623049219691,118.34578631452581,"Anthony Bender",19742,669622
"Will Vest","DET",18,100.71977528089889,125.27636363636363,,,114.69377777777778,,112.07677419354839,,,108.19909677419355,113.46399999999998,118.26819354838709,"Will Vest",19769,676684
"Andrew Hoffmann","KCR",2,78.42,,,,92.62,,108,,,93.97521739130435,115.85217391304352,117.88999999999996,"Andrew Hoffmann",29633,694851
"Brock Stewart","MIN",12.2,116.58295652173913,107.70952380952379,105.69909090909091,,158.13699999999997,,94.91172413793103,,,115.50429549114328,102.04344605475042,117.75031803542673,"Brock Stewart",16727,592779
"Carlos Vargas","SEA",17.1,105.2375,118.20309859154929,110.67923076923077,,122.42776119402986,,,,,118.52060705414803,101.42432740756512,117.62035575899509,"Carlos Vargas",22915,672841
"Alex Vesia","LAD",12,121.55854545454545,,,,120.1071875,,96.81750000000001,,,118.95279425837322,100.80482296650719,117.47126315789474,"Alex Vesia",25007,681911
"Corbin Burnes","ARI",24.2,,82.86162162162162,95.58788732394366,,122.67615384615384,133.22140845070422,77.64666666666666,,,102.87044198895028,113.03977900552485,117.42243093922653,"Corbin Burnes",19361,669203
"Devin Williams","NYY",13.2,104.68849056603773,,,,,,124.11344827586207,,,114.82912127512128,102.65278586278585,117.40895218295219,"Devin Williams",15816,642207
"Easton McGee","MIL",4,97.12142857142858,97.84,88.08,,123.76,116.55833333333335,79.62666666666667,,,102.52474576271186,120.79118644067798,116.81152542372882,"Easton McGee",22176,668834
"Garrett Crochet","BOS",46.1,109.44303886925795,105.69342857142857,119.83377777777778,,149.01158878504674,,101.30434782608695,,,118.05347726032701,103.43777324843357,116.78102004021682,"Garrett Crochet",27463,676979
"Craig Kimbrel","ATL",1,110.55999999999999,,,,75.89,,,55.58,,94.48153846153848,99.36769230769231,116.62307692307692,"Craig Kimbrel",6655,518886
