player_name,team,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Aaron Judge,NYY,206.0,94.98974135315534,117.9,0.24757282,0.54368932,0.48872131252003287,0.459
Cal Raleigh,SEA,205.0,92.01589176829269,113.236,0.2,0.49756098,0.437868378541849,0.401
Pete Crow-Armstrong,CHC,232.0,90.0703125,111.475,0.14224138,0.43103448,0.3700269624913809,0.358
Jeremy Peña,HOU,256.0,88.16979835721344,109.915,0.078125,0.4140625,0.38129096374313626,0.348
Shohei Ohtani,LAD,220.0,95.14230291193182,117.904,0.20909091,0.61818182,0.4215462498261895,0.435
Bobby Witt Jr.,KCR,251.0,93.57227346887551,114.76,0.12350598,0.49800797,0.34798031779272215,0.382
Corbin Carroll,ARI,206.0,92.6719420189951,115.769,0.15533981,0.5,0.3875794664302968,0.389
Kyle Tucker,CHC,245.0,91.22010522959184,108.711,0.13061224,0.45714286,0.39215526692678504,0.401
Fernando Tatis Jr.,SDP,238.0,93.48857792721519,112.758,0.12184874,0.5210084,0.35285060637032806,0.39
James Wood,WSN,210.0,94.1488998339372,117.88,0.1952381,0.57619048,0.3991450205871037,0.413
Trea Turner,PHI,264.0,89.24789834838403,111.652,0.06818182,0.40151515,0.3522721949340291,0.337
Jacob Wilson,ATH,277.0,86.00971536075367,108.488,0.02527076,0.26353791,0.3876349390307559,0.329
José Ramírez,CLE,253.0,89.24616322875494,111.646,0.07905138,0.39525692,0.3792241740840041,0.356
Will Smith,LAD,168.0,91.20855422247024,109.826,0.11904762,0.46428571,0.41506972814363147,0.395
Byron Buxton,MIN,167.0,91.78955955276946,112.471,0.15568862,0.54491018,0.3819463684251814,0.355
Ketel Marte,ARI,163.0,91.00050925038343,115.488,0.1595092,0.45398773,0.43748041921191744,0.438
Francisco Lindor,NYM,254.0,90.5609921875,109.675,0.09055118,0.43700787,0.3479212603785775,0.346
Andy Pages,LAD,232.0,89.23828125,110.606,0.09051724,0.39224138,0.36236690546010997,0.352
Alejandro Kirk,TOR,213.0,92.49856279481132,111.997,0.09859155,0.55868545,0.34181112261379465,0.364
Manny Machado,SDP,248.0,92.49173072076613,114.788,0.125,0.50403226,0.3723875148567611,0.387
Riley Greene,DET,202.0,90.84193224009901,114.463,0.18811881,0.47524752,0.38170612882251387,0.368
Isaac Paredes,HOU,221.0,87.42184836647728,107.383,0.06334842,0.3438914,0.3636359115747305,0.339
Elly De La Cruz,CIN,219.0,91.84176987327189,117.423,0.15981735,0.47488584,0.3668154425325647,0.363
Ernie Clement,TOR,224.0,87.06479779411765,108.899,0.02232143,0.26785714,0.33641302789572075,0.297
CJ Abrams,WSN,216.0,89.52818859011627,112.716,0.0787037,0.4212963,0.3693358382663211,0.36
Matt Olson,ATL,216.0,93.86145471643519,113.771,0.17592593,0.54166667,0.36623739007631007,0.399
Julio Rodríguez,SEA,248.0,90.59317276062752,114.712,0.0766129,0.43548387,0.3144959884693025,0.338
Steven Kwan,CLE,261.0,86.59111251230316,104.104,0.01915709,0.22605364,0.3542311965669476,0.328
Maikel Garcia,KCR,244.0,91.22250915271967,110.329,0.06147541,0.44262295,0.3725716943938892,0.344
Alex Bregman,BOS,156.0,91.98247821514423,109.641,0.1025641,0.48076923,0.40267738183339435,0.359
Matt Chapman,SFG,165.0,94.04422348484849,113.466,0.1030303,0.51515152,0.35854821827481775,0.374
