player_name,team,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Garrett Crochet,BOS,117.09470610001851,103.48398580221232,117.5707457023553
Paul Skenes,PIT,106.3569105691057,111.6801219512195,115.43670731707319
Ranger Suárez,PHI,94.08023985164458,112.72845211783265,107.72341432070009
Tarik Skubal,DET,113.31603804373167,99.84647769126767,111.49342486829224
Logan Webb,SFG,101.48592627435137,118.32373985382183,118.14354951565926
Chris Sale,ATL,108.74535643970468,104.5825295324036,107.99038802296964
Clarke Schmidt,NYY,103.20797399209165,105.88136113489054,104.82633728751375
José Soriano,LAA,94.13876879150067,110.6950876641582,107.58390206581083
Framber Valdez,HOU,111.37924974300454,103.54879079898872,115.16938987605215
Cristopher Sánchez,PHI,113.66763341514584,99.84153893384529,115.45792081196893
Charlie Morton,BAL,103.85126780154746,101.08123617821946,104.17095829507609
Jacob deGrom,TEX,106.01740831295847,101.34298288508558,107.8196577017115
Andrew Abbott,CIN,96.8994111721901,108.9211985099612,102.44536361919731
Dylan Cease,SDP,110.2578130954443,97.19891953923437,106.05630391477567
Spencer Schwellenbach,ATL,112.3705754993113,107.6334990530303,117.76464230371903
Aroldis Chapman,BOS,109.5859536275243,128.10302916978307,134.53145100972327
Janson Junk,MIA,95.1743128960986,120.38377129484273,114.06732731554159
Spencer Strider,ATL,98.98092592592592,95.30281481481482,92.99285185185185
Sonny Gray,STL,98.12784826369398,101.18673189509985,101.53452401956852
MacKenzie Gore,WSN,96.02867822128852,105.45772584033612,103.14717524509804
Trevor Williams,WSN,93.69507430997878,105.33583864118896,98.14309978768578
Adrian Houser,CHW,91.86564102564101,97.81192307692307,93.11512820512822
Kris Bubic,KCR,94.77935338640219,105.0773828787681,101.69860107007699
Dean Kremer,BAL,94.84917675095987,106.52700119157952,99.73893764067256
Ryan Pepiot,TBR,110.99266802443991,98.97515274949085,109.04427698574338
Reid Detmers,LAA,115.41182229535171,114.44632661456191,126.2850761003702
Zack Wheeler,PHI,115.63154228855723,109.14283582089554,124.58388059701493
Sean Burke,CHW,93.04738245969443,109.13579077684928,105.53560845221013
Seranthony Domínguez,BAL,117.10996118012424,84.81484083850931,102.70648680124224
Matthew Boyd,CHC,96.27063743365342,105.97306188971275,95.89289163053903
Randy Rodríguez,SFG,127.24302564102565,82.41535042735042,109.98752136752135
José Berríos,TOR,89.7314537444934,108.4662114537445,100.894140969163
Carlos Rodón,NYY,102.54712217152445,97.80459798687502,100.68559661717157
Germán Márquez,COL,90.28472000000001,100.40800000000002,91.58704
David Peterson,NYM,87.38282975311826,101.9698518226061,94.44149988988086
Edwin Díaz,NYM,106.15360544217685,103.02380952380953,112.40952380952382
David Bednar,PIT,104.91999999999999,111.27987577639755,114.08000000000001
Cade Horton,CHC,97.18413625304136,103.69420924574209,102.15026763990268
Dylan Lee,ATL,102.4068156424581,113.1421229050279,116.55094972067039
Max Fried,NYY,115.03279166666668,103.380875,119.43620833333333
Hoby Milner,TEX,102.85314285714286,106.7616761904762,105.66092952380953
Ryan Gusto,HOU,101.17724028188225,109.15981473062058,108.15538872471016
Mitch Keller,PIT,95.49682826043137,98.08111973392461,91.80959987905665
Freddy Peralta,MIL,106.69020487678954,102.28663890128578,108.18553766028445
Hunter Brown,HOU,110.45102515540015,88.42862859362857,99.48573620823619
Drew Rasmussen,TBR,111.7067487684729,100.65162561576354,109.31004926108373
Chris Paddack,MIN,90.58134466953238,112.80636378749375,105.38521480988909
Félix Bautista,BAL,93.6151111111111,115.70524444444445,118.69324444444446
Brady Singer,CIN,97.81774455688948,99.65051740943453,95.2781663474762
Tanner Scott,LAD,120.81710204081632,107.22825850340135,126.47620408163263
Hayden Birdsong,SFG,94.95419213973798,92.15877729257642,89.24414847161572
Adrian Morejon,SDP,120.11618448637317,102.1233822501747,117.9165967854647
Jake Bird,COL,115.61912087912089,110.81593406593407,116.39219780219781
Chris Bassitt,TOR,96.68583518930959,102.98240534521157,97.51973273942093
Joe Ryan,MIN,103.95232468977207,98.64564654544493,99.79798061599722
Will Warren,NYY,104.46295299652638,102.52117398760058,107.30102537044364
Jason Adam,SDP,106.97137856878012,93.94245124212087,99.59230453590409
Noah Cameron,KCR,94.71031953985357,103.55508463425295,101.64555603220924
Erick Fedde,STL,92.10179204322209,103.0351259610221,96.03894509567712
Yusei Kikuchi,LAA,95.78496945010183,101.35853360488797,100.46248472505091
Bennett Sousa,HOU,107.5436090225564,102.09473684210526,106.91624060150376
Merrill Kelly,ARI,89.64494473102432,104.66993183492997,93.06237748710392
Reed Garrett,NYM,116.05015706806282,90.02931937172774,107.59947643979058
Chad Patrick,MIL,110.69173303184763,94.2491802399111,102.1515996627448
Lance McCullers Jr.,HOU,107.5858045112782,96.68196849266023,103.4044081632653
Mitch Spence,ATH,105.20328844239297,107.75876061182008,112.31335077080882
Tanner Bibee,CLE,108.50367014555256,97.33327049775383,105.74816914285714
Simeon Woods Richardson,MIN,84.7251219512195,93.92,83.23983739837396
Patrick Corbin,TEX,94.89596244131455,102.31145539906103,99.94460093896714
Grant Holmes,ATL,92.4298794368809,99.4886467720685,93.20384458595619
Brayan Bello,BOS,102.36896396258015,108.44696365537266,109.16251199100178
Nick Pivetta,SDP,92.94846352703158,112.5302211870557,106.30903170301545
Seth Lugo,KCR,95.98629040935673,103.71548257309944,98.90459539731683
Eduardo Rodriguez,ARI,89.7492560044426,104.65882795363044,93.08537720394281
Sandy Alcantara,MIA,106.99910856504123,102.09207349448093,106.21037585580551
Robbie Ray,SFG,96.06173931642212,94.8922440860675,90.56437823501734
Phil Maton,STL,100.68042207792207,98.80058441558442,106.33804112554112
