player_name,is_drafted,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,Position(s),NFBC_ADP,bp_expert_count,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Chris Sale,,ATL,SP/,32.94569734298024,32.498946477806236,28.63596497940492,18.7617709450313,TWN,32.94569734298024,28.21059493630567,P,29.0,,5.0,,107.46474966170504,102.3355074424898,103.06105548037888,108.137722605625,102.79010633524152,106.05300914876844,0.0,,,,,0.0,
Jose Altuve,,HOU,2B/OF/DH/,21.913276576076395,15.21176192863429,17.377145886439116,16.93777382772165,W <small>(Fri)</small>,21.913276576076395,17.859989554717863,2B,73.0,,,,,,,,,,234.0,85.02256754912663,109.175,0.05555556,0.2991453,0.3308655958510561,0.3
Kodai Senga,,NYM,SP/,7.642051207458449,8.09618032018022,8.967144036328287,21.59088739973024,TWN,21.59088739973024,11.574065740924299,P,149.0,,26.0,,93.85170357751278,96.35994889267464,94.77570698466783,94.95432579710146,97.10515158968528,96.4872466236766,0.0,,,,,0.0,
Drew Rasmussen,,TBR,SP/,10.175961782758325,12.419269656360978,11.485878904513656,18.8513531195794,TWN,18.8513531195794,13.23311586580309,,,,22.0,,111.82314442413164,102.16208409506396,109.94444241316268,112.47900189349728,101.99838611781183,111.46530542370245,0.0,,,,,0.0,
George Springer,,TOR,OF/DH/,12.20469946561914,17.57324458402059,12.789299625478382,12.881791787925438,TWN,17.57324458402059,13.862258865760886,OF,252.0,,,,,,,,,,169.0,90.85515121740798,112.335,0.16568047,0.44970414,0.3495805026014189,0.383
Ian Happ,,CHC,OF/,14.01307476640592,10.74163186515119,9.553695672848535,11.8949109054035,TWN,14.01307476640592,11.550828302452286,OF,135.0,,,,,,,,,,196.0,88.96962139423077,112.044,0.08163265,0.39285714,0.3216882716381669,0.343
Michael Busch,,CHC,1B/,6.480680817749628,8.817423953939898,5.2846316072256005,13.464747593225388,TWN,13.464747593225388,8.511870993035128,1B,262.0,,,,,,,,,,165.0,90.85031797827745,110.425,0.14545455,0.46060606,0.3707669306927779,0.384
Steven Matz,,STL,SP/RP/,3.857021394461333,-0.5915148395405039,-1.0411970568403075,9.277225642432771,FA,9.277225642432771,2.8753837851283235,P,561.0,,,,101.27212550084889,112.80662139219017,108.76167307300511,103.75816593886464,118.13589519650655,115.7150218340611,0.0,,,,,0.0,
Ty France,,MIN,1B/,3.449840138503258,2.5450541006673504,4.745054899329272,8.130532056410622,W <small>(Fri)</small>,8.130532056410622,4.717620298727626,1B,449.0,,,,,,,,,,216.0,89.25564135174419,110.526,0.08796296,0.42592593,0.3096141171037105,0.35
Bo Naylor,,CLE,C/,7.230257501909709,7.540762152907725,5.533636813210995,1.8710387716243089,TWN,7.540762152907725,5.543923809913184,C,279.0,,,,,,,,,,115.0,89.7143509891055,108.783,0.11304348,0.32173913,0.3007924504769154,0.306
Jonathan India,,KCR,2B/3B/OF/DH/,6.5561104517916915,7.210207494791494,7.41113280359698,-0.8606754773332601,TWN,7.41113280359698,5.079193818211727,,,,,,,,,,,,213.0,88.85932915199531,110.616,0.05633803,0.38028169,0.2942904451437164,0.337
Dane Myers,,MIA,OF/,-4.879060052561929,-2.849990270473535,-5.122626172770501,6.318562369551337,FA,6.318562369551337,-1.6332785315636569,,,,,,,,,,,,100.0,92.491852114899,107.481,0.08,0.45,0.3739450632275401,0.366
Eduardo Rodriguez,,ARI,SP/,6.173132103236448,6.133546453974788,0.8253672661679083,-10.08557559600154,TWN,6.173132103236448,0.761617556844401,,,,103.0,,91.62070450097848,100.36465753424656,93.05708414872798,90.40228662443572,99.61864569681084,90.06772367846223,0.0,,,,,0.0,
Luis L. Ortiz,,CLE,SP/,-2.486117078252005,5.314242737494256,1.0,-2.8490929494602963,TWN,5.314242737494256,0.24475817744548867,P,387.0,,91.0,,99.2235582822086,94.3089417177914,93.72407975460122,100.5949786324786,94.73645501270502,94.8636498036498,0.0,,,,,0.0,
Kristian Campbell,,BOS,2B/,-2.536205766729964,1.0,5.213226339140849,-0.1267746234337314,TWN,5.213226339140849,0.8875614872442885,2B,290.0,,,,,,,,,,158.0,88.62349759615384,112.218,0.05063291,0.41772152,0.3011791549708,0.296
Daniel Schneemann,,CLE,2B/3B/SS/OF/,-7.411405085471209,-7.518110809746469,-10.012041620105554,5.00572182707227,W <small>(Fri)</small>,5.00572182707227,-4.98395892206274,,,,,,,,,,,,116.0,87.54856654575893,111.172,0.12068966,0.37931034,0.3386335291181291,0.335
Jorge Soler,,LAA,OF/DH/,2.9505388611738796,4.818577958107929,4.059529524556566,0.3558678561773928,TWN,4.818577958107929,3.046128550003942,OF,195.0,2.0,,,,,,,,,161.0,89.98001708984376,112.741,0.09937888,0.40372671,0.2811587992491144,0.286
Edward Cabrera,,MIA,SP/,3.260291219845771,-1.9995006670503477,4.525912983706996,-1.1146063334220564,TWN,4.525912983706996,1.1680243007700906,P,467.0,,57.0,,104.57289473684207,100.2490789473684,105.80947368421052,103.94192727571205,105.68991299351556,109.2382483788886,0.0,,,,,0.0,
Jeff McNeil,,NYM,2B/OF/,4.494426285043554,-3.381999754520539,1.490814760955914,1.186364850924143,TWN,4.494426285043554,0.9474015356007679,,,,,,,,,,,,120.0,86.5476299894958,105.132,0.05,0.325,0.3704159213047401,0.347
Eric Wagaman,,MIA,1B/,-1.3763002366026122,-1.6343923894516674,-3.993449215360318,4.453445023045521,W <small>(Fri)</small>,4.453445023045521,-0.637674204592269,,,,,,,,,,,,204.0,90.66689644607844,112.236,0.06862745,0.45098039,0.2908399398744541,0.334
Max Kepler,,PHI,OF/,-1.74018951708612,2.161204944804058,-0.2733190300327812,4.178295715316313,FA,4.178295715316313,1.0814980282503674,OF,323.0,,,,,,,,,,169.0,91.34212820870536,109.444,0.13017751,0.49112426,0.3152268965244293,0.335
Roman Anthony,,BOS,OF/,3.3391706257909157,2.4822801725920423,3.852688153941482,-12.437812623532986,TWN,3.852688153941482,-0.6909184178021364,OF,298.0,1.0,,,,,,,,,19.0,91.815185546875,111.168,0.05263158,0.36842105,0.1982438102845222,0.278
Clayton Kershaw,,LAD,SP/,2.163652489157549,0.5963846890478106,3.415866535946959,0.9841491369139472,FA,3.415866535946959,1.7900132127665664,,,,98.0,,95.39776255707764,95.18109589041096,92.84803652968036,95.3977625570776,95.18109589041096,92.84803652968036,0.0,,,,,0.0,
Matt Strahm,,PHI,RP/,3.154022856720983,0.8946375509594708,1.7891622159318328,-5.649217625519857,TWN,3.154022856720983,0.04715124952310723,P,585.0,,,38,107.79209486166008,98.54573122529642,100.4809090909091,105.82141511867906,91.19448297213624,93.09559700722394,0.0,,,,,0.0,
Spencer Horwitz,,PIT,1B/2B/,3.095758616578197,-0.696999099907109,-2.412771169650025,-9.546694513483652,FA,3.095758616578197,-2.3901765416156473,"1B, 2B",463.0,,,,,,,,,,67.0,88.46627160274622,106.839,0.10447761,0.46268657,0.2768642342090606,0.308
Kameron Misner,,TBR,OF/,-9.323553181726943,-8.1855628373124,-5.085828184919619,2.9220167649503304,FA,2.9220167649503304,-4.918231859752158,,,,,,,,,,,,126.0,87.42509608114919,110.343,0.05555556,0.29365079,0.2759658834682061,0.251
Rowdy Tellez,,SEA,1B/,-2.4341720925717163,-5.795861203136252,1.0,2.840285301987309,FA,2.840285301987309,-1.0974369984301648,,,,,,,,,,,,126.0,91.35494946676587,113.117,0.15873016,0.48412698,0.2934660740800806,0.347
Bryan Baker,,BAL,RP/,-2.375303423445792,-1.6994398525334442,-1.3135705998226823,2.6999910859672545,FA,2.6999910859672545,-0.6720806974586659,,,,,40,109.58587268993838,104.34377823408624,112.23429158110886,107.1494262295082,106.417868852459,111.15844262295082,0.0,,,,,0.0,
Alek Thomas,,ARI,OF/,-0.7721558516293077,1.1176539971706547,2.6770890186763023,1.5737252472804273,TWN,2.6770890186763023,1.1490781028745192,,,,,,,,,,,,142.0,91.69946464703236,109.414,0.08450704,0.43661972,0.2988550152518961,0.321
Gabriel Arias,,CLE,2B/3B/SS/,-5.140067572448317,-4.137612770642424,-2.15656725838539,2.654198419115952,FA,2.654198419115952,-2.195012295590045,3B,557.0,,,,,,,,,,157.0,90.10868755139802,112.333,0.10191083,0.40764331,0.295111066503487,0.303
