Rank,Player,Team,Pos,,League,FP,SD,VORP,ADP,Diff,,AB,R,HR,RBI,SB,AVG,OBP,H,1B,2B,3B,BB,SO,SLG,OPS,CS,,IP,ERA,WHIP,K,W,SV,ER,H,BB,HR,G,GS,L,K/9,QS,HOLDS,BS
1,Aaron Judge,NYY,OF,1,AL,0.0,12.6,13.4,,-1.0,,537.0,109.9,49.9,114.6,6.5,0.280,0.405,150.6,73.6,26.5,0.6,105.5,170.1,0.611,1.016,0.0,,,,,,,,,,,,,,,,,,
2,Shohei Ohtani,LAD,UT,1,NL,0.0,12.7,12.5,,-2.0,,561.4,115.6,43.9,105.1,29.1,0.278,0.370,155.9,77.0,30.6,4.3,77.4,144.9,0.582,0.952,0.0,,,,,,,,,,,,,,,,,,
3,Juan Soto,NYM,OF,2,NL,0.0,10.6,11.4,,-3.0,,546.9,109.9,34.5,95.0,8.0,0.280,0.419,153.1,86.0,30.6,2.0,122.4,112.5,0.532,0.951,0.0,,,,,,,,,,,,,,,,,,
4,Bobby Witt,KC,SS,1,AL,0.0,10.4,10.2,,-4.0,,618.4,108.4,32.4,98.4,35.5,0.290,0.347,179.2,101.8,36.8,8.2,51.4,106.8,0.533,0.881,0.0,,,,,,,,,,,,,,,,,,
5,Yordan Alvarez,HOU,OF,3,AL,0.0,8.9,9.7,,-5.0,,526.5,93.0,38.9,102.9,3.0,0.300,0.389,157.8,86.1,31.3,1.6,71.8,101.5,0.587,0.975,0.0,,,,,,,,,,,,,,,,,,
6,Kyle Tucker,CHC,OF,4,NL,0.0,8.9,9.7,,-6.0,,564.7,95.8,30.9,93.0,19.5,0.277,0.375,156.6,90.1,32.5,3.0,83.5,102.2,0.510,0.885,0.0,,,,,,,,,,,,,,,,,,
7,Elly De La Cruz,CIN,SS,2,NL,0.0,9.8,9.6,,-7.0,,591.6,98.0,26.0,82.4,54.4,0.255,0.332,150.7,86.4,32.0,6.4,64.4,196.1,0.462,0.794,0.0,,,,,,,,,,,,,,,,,,
8,Corbin Carroll,ARI,OF,5,NL,0.0,8.7,9.5,,-8.0,,591.7,106.4,24.0,78.4,40.0,0.261,0.342,154.3,89.3,29.8,11.1,69.2,128.4,0.470,0.813,0.0,,,,,,,,,,,,,,,,,,
9,Tarik Skubal,DET,SP,1,AL,0.0,9.2,9.4,,-9.0,,,,,,,,,,,,,,,,,,,191.2,2.89,1.02,227.8,13.5,0.0,61.5,153.1,42.0,19.1,31.0,31.0,7.6,10.7,19.7,0.0,
10,Paul Skenes,PIT,SP,2,NL,0.0,8.8,8.9,,-10.0,,,,,,,,,,,,,,,,,,,182.9,2.86,1.06,229.3,12.9,0.0,58.1,143.1,50.0,16.4,30.0,30.0,7.8,11.3,18.7,0.0,
11,Fernando Tatis,SD,OF,6,NL,0.0,8.1,8.9,,-11.0,,574.5,98.0,35.4,92.0,20.5,0.275,0.342,157.8,89.4,30.9,2.1,55.3,137.5,0.521,0.862,0.0,,,,,,,,,,,,,,,,,,
12,Ronald Acuna,ATL,OF,7,NL,0.0,7.9,8.7,,-12.0,,476.7,92.1,24.0,67.0,33.1,0.282,0.369,134.6,82.7,25.9,2.0,61.5,102.1,0.496,0.865,0.0,,,,,,,,,,,,,,,,,,
13,Jose Ramirez,CLE,3B,1,AL,0.0,8.3,8.2,,-13.0,,600.9,95.5,29.5,95.9,31.4,0.266,0.333,159.8,90.6,36.7,2.9,57.0,80.1,0.484,0.817,0.0,,,,,,,,,,,,,,,,,,
14,Gunnar Henderson,BAL,SS,3,AL,0.0,8.3,8.1,,-14.0,,582.0,104.1,31.9,89.0,18.1,0.276,0.359,160.5,92.7,30.5,5.4,70.7,142.4,0.511,0.870,0.0,,,,,,,,,,,,,,,,,,
15,Mookie Betts,LAD,SS,4,NL,0.0,8.2,8.1,,-15.0,,574.2,105.8,27.5,90.9,15.9,0.280,0.371,160.6,94.4,35.3,3.4,77.9,91.9,0.497,0.868,0.0,,,,,,,,,,,,,,,,,,
16,Ketel Marte,ARI,2B,1,NL,0.0,6.6,7.9,,-16.0,,569.4,94.3,27.5,89.4,8.0,0.283,0.366,161.2,94.9,33.9,4.9,70.4,111.5,0.505,0.871,0.0,,,,,,,,,,,,,,,,,,
17,Wyatt Langford,TEX,OF,8,AL,0.0,7.1,7.9,,-17.0,,591.0,88.3,27.0,89.4,20.9,0.274,0.354,161.8,96.0,34.3,4.5,69.5,132.7,0.484,0.838,0.0,,,,,,,,,,,,,,,,,,
18,Mason Miller,ATH,RP,1,AL,0.0,7.7,7.9,,-18.0,,,,,,,,,,,,,,,,,,,67.1,2.62,1.02,99.6,3.5,30.3,19.6,46.2,22.1,5.8,61.6,0.0,2.1,13.4,0.0,0.0,
19,Vladimir Guerrero,TOR,1B,1,AL,0.0,8.0,7.9,,-19.0,,599.4,95.5,33.4,102.9,4.5,0.300,0.376,179.8,107.9,36.9,1.5,68.5,95.9,0.534,0.910,0.0,,,,,,,,,,,,,,,,,,
20,Logan Gilbert,SEA,SP,3,AL,0.0,7.6,7.8,,-20.0,,,,,,,,,,,,,,,,,,,197.3,3.22,1.04,208.2,12.5,0.0,70.6,164.4,41.4,24.4,30.9,30.9,8.9,9.5,18.9,0.0,
21,Zack Wheeler,PHI,SP,4,NL,0.0,7.6,7.8,,-21.0,,,,,,,,,,,,,,,,,,,194.8,3.14,1.06,210.1,14.0,0.0,67.9,156.6,50.2,20.3,30.8,30.8,8.3,9.7,18.9,0.0,
22,Julio Rodriguez,SEA,OF,9,AL,0.0,6.9,7.7,,-22.0,,606.2,92.9,29.0,87.9,28.5,0.269,0.322,162.9,100.4,31.2,2.4,45.0,150.3,0.471,0.794,0.0,,,,,,,,,,,,,,,,,,
23,Bryce Harper,PHI,1B,2,NL,0.0,7.8,7.6,,-23.0,,561.8,92.5,30.4,94.3,9.5,0.279,0.379,156.9,91.0,33.9,1.5,84.4,137.3,0.507,0.886,0.0,,,,,,,,,,,,,,,,,,
24,Emmanuel Clase,CLE,RP,2,AL,0.0,7.4,7.5,,-24.0,,,,,,,,,,,,,,,,,,,68.0,2.66,1.02,67.9,4.0,34.5,20.1,56.4,13.2,4.6,63.6,0.0,2.4,9.0,0.0,0.0,
25,Jazz Chisholm,NYY,OF,10,AL,0.0,6.2,7.1,,-25.0,,559.9,83.9,27.0,79.4,35.0,0.249,0.314,139.4,84.7,24.5,3.1,50.0,158.9,0.448,0.762,0.0,,,,,,,,,,,,,,,,,,
