Rank,Player,Team,Pos,,League,FP,SD,VORP,ADP,Diff,,AB,R,HR,RBI,SB,AVG,OBP,H,1B,2B,3B,BB,SO,SLG,OPS,CS,,IP,ERA,WHIP,K,W,SV,ER,H,BB,HR,G,GS,L,K/9,QS,HOLDS,BS
1,Shohei Ohtani,LAD,UT,1,NL,0.0,14.5,15.2,,-1.0,,559.0,117.0,42.0,108.0,33.0,0.286,0.380,160.0,83.2,29.9,4.9,79.5,154.3,0.583,0.963,0.0,,,,,,,,,,,,,,,,,,
2,Aaron Judge,NYY,OF,1,AL,0.0,13.3,14.6,,-2.0,,525.0,107.0,48.0,116.0,7.0,0.280,0.409,147.0,72.7,25.7,0.5,107.8,166.7,0.605,1.015,0.0,,,,,,,,,,,,,,,,,,
3,Juan Soto,NYM,OF,2,NL,0.0,11.2,12.5,,-3.0,,530.0,106.0,34.0,94.0,8.0,0.275,0.422,146.0,82.7,27.2,2.1,125.4,113.5,0.527,0.949,0.0,,,,,,,,,,,,,,,,,,
4,Bobby Witt,KC,SS,1,AL,0.0,10.9,11.9,,-4.0,,602.0,105.0,30.0,95.0,35.0,0.294,0.352,177.0,104.1,34.9,7.9,50.5,121.7,0.528,0.880,0.0,,,,,,,,,,,,,,,,,,
5,Elly De La Cruz,CIN,SS,2,NL,0.0,10.1,11.0,,-5.0,,580.0,97.0,25.0,80.0,51.0,0.253,0.326,147.0,83.8,31.4,6.9,58.7,193.5,0.461,0.786,0.0,,,,,,,,,,,,,,,,,,
6,Ronald Acuna,ATL,OF,3,NL,0.0,9.6,10.9,,-6.0,,469.0,95.0,24.0,68.0,35.0,0.290,0.377,136.0,84.4,25.6,2.0,61.6,99.3,0.507,0.884,0.0,,,,,,,,,,,,,,,,,,
7,Jose Ramirez,CLE,3B,1,AL,0.0,9.5,10.9,,-7.0,,584.0,95.0,29.0,94.0,30.0,0.276,0.348,161.0,92.5,36.5,3.0,61.0,78.7,0.497,0.845,0.0,,,,,,,,,,,,,,,,,,
8,Corbin Carroll,ARI,OF,4,NL,0.0,9.4,10.7,,-8.0,,572.0,103.0,23.0,77.0,40.0,0.259,0.344,148.0,87.6,28.7,8.8,70.4,126.0,0.460,0.804,0.0,,,,,,,,,,,,,,,,,,
9,Yordan Alvarez,HOU,OF,5,AL,0.0,9.2,10.4,,-9.0,,514.0,92.0,36.0,101.0,3.0,0.300,0.390,154.0,85.5,30.5,1.9,71.1,111.6,0.577,0.966,0.0,,,,,,,,,,,,,,,,,,
10,Kyle Tucker,CHC,OF,6,NL,0.0,9.1,10.3,,-10.0,,543.0,90.0,29.0,93.0,20.0,0.274,0.371,149.0,87.7,30.0,2.3,78.2,107.8,0.498,0.869,0.0,,,,,,,,,,,,,,,,,,
11,Tarik Skubal,DET,SP,1,AL,0.0,9.7,10.0,,-11.0,,,,,,,,,,,,,,,,,,,187.1,2.87,1.00,218.6,13.1,0.0,59.6,145.5,41.6,17.8,30.9,30.9,7.8,10.5,19.5,0.0,
12,Fernando Tatis,SD,OF,7,NL,0.0,8.6,9.9,,-12.0,,561.0,97.0,33.0,91.0,21.0,0.275,0.342,154.0,87.3,31.3,2.4,54.0,137.5,0.515,0.857,0.0,,,,,,,,,,,,,,,,,,
13,Gunnar Henderson,BAL,SS,3,AL,0.0,8.7,9.7,,-13.0,,574.0,102.0,32.0,90.0,16.0,0.272,0.355,156.0,89.0,30.1,4.9,69.8,152.2,0.509,0.864,0.0,,,,,,,,,,,,,,,,,,
14,Mookie Betts,LAD,SS,4,NL,0.0,8.4,9.4,,-14.0,,566.0,101.0,28.0,89.0,14.0,0.277,0.367,157.0,92.7,33.3,3.0,75.6,93.7,0.495,0.862,0.0,,,,,,,,,,,,,,,,,,
15,Paul Skenes,PIT,SP,2,NL,0.0,8.9,9.3,,-15.0,,,,,,,,,,,,,,,,,,,175.7,2.84,1.05,219.7,12.1,0.0,55.4,135.5,48.2,15.3,30.2,30.2,7.9,11.3,20.0,0.0,
16,Julio Rodriguez,SEA,OF,8,AL,0.0,8.0,9.2,,-16.0,,586.0,90.0,28.0,85.0,28.0,0.276,0.334,162.0,102.8,28.6,2.7,48.0,152.8,0.478,0.812,0.0,,,,,,,,,,,,,,,,,,
17,Vladimir Guerrero,TOR,1B,1,AL,0.0,8.4,9.1,,-17.0,,585.0,96.0,32.0,100.0,5.0,0.297,0.375,174.0,106.4,34.5,1.1,68.3,93.6,0.524,0.899,0.0,,,,,,,,,,,,,,,,,,
18,Bryce Harper,PHI,1B,2,NL,0.0,8.0,8.6,,-18.0,,544.0,92.0,28.0,90.0,10.0,0.278,0.377,151.0,87.7,34.1,1.2,81.4,135.3,0.499,0.876,0.0,,,,,,,,,,,,,,,,,,
19,Ketel Marte,ARI,2B,1,NL,0.0,6.4,8.6,,-19.0,,541.0,89.0,27.0,88.0,7.0,0.275,0.357,149.0,87.5,31.2,3.3,64.5,109.1,0.495,0.852,0.0,,,,,,,,,,,,,,,,,,
20,Garrett Crochet,BOS,SP,3,AL,0.0,8.2,8.5,,-20.0,,,,,,,,,,,,,,,,,,,156.6,2.95,1.03,204.0,11.2,0.0,51.4,117.5,43.8,15.1,29.4,29.4,6.7,11.7,17.5,0.0,
21,Francisco Lindor,NYM,SS,5,NL,0.0,7.4,8.4,,-21.0,,593.0,95.0,28.0,85.0,23.0,0.256,0.330,152.0,91.1,30.3,2.5,61.6,131.2,0.458,0.788,0.0,,,,,,,,,,,,,,,,,,
22,Emmanuel Clase,CLE,RP,1,AL,0.0,7.9,8.3,,-22.0,,,,,,,,,,,,,,,,,,,68.8,2.76,1.03,67.1,4.0,34.3,21.1,55.9,14.8,5.2,64.2,0.0,1.9,8.8,13.3,3.7,
23,Mason Miller,ATH,RP,2,AL,0.0,7.9,8.2,,-23.0,,,,,,,,,,,,,,,,,,,66.5,2.72,1.00,96.5,3.1,28.3,20.1,43.2,23.2,6.0,62.3,0.0,2.1,13.1,12.5,0.3,
24,Jazz Chisholm,NYY,OF,9,AL,0.0,6.9,8.2,,-24.0,,532.0,82.0,26.0,76.0,35.0,0.246,0.314,131.0,78.8,23.2,3.0,50.0,150.6,0.448,0.762,0.0,,,,,,,,,,,,,,,,,,
25,Wyatt Langford,TEX,OF,10,AL,0.0,6.9,8.1,,-25.0,,541.8,85.8,23.1,79.2,19.8,0.276,0.356,149.6,91.2,30.8,4.5,63.1,126.9,0.477,0.833,0.0,,,,,,,,,,,,,,,,,,
26,Jackson Chourio,MIL,OF,11,NL,0.0,6.8,8.1,,-26.0,,583.0,85.0,23.0,82.0,26.0,0.269,0.336,157.0,100.0,30.1,3.9,55.5,131.9,0.453,0.789,0.0,,,,,,,,,,,,,,,,,,
27,Kyle Schwarber,PHI,UT,2,NL,0.0,7.4,8.0,,-27.0,,543.0,93.0,37.0,95.0,5.0,0.223,0.345,121.0,61.9,21.1,1.0,95.6,185.9,0.470,0.815,0.0,,,,,,,,,,,,,,,,,,
28,Zack Wheeler,PHI,SP,4,NL,0.0,7.4,7.8,,-28.0,,,,,,,,,,,,,,,,,,,193.9,3.33,1.10,206.5,14.0,0.0,71.7,162.7,50.0,21.0,31.0,31.0,8.9,9.6,21.6,0.0,
29,Jarren Duran,BOS,OF,12,AL,0.0,6.5,7.8,,-29.0,,588.0,92.0,18.0,71.0,30.0,0.265,0.336,156.0,93.7,36.6,7.7,58.7,151.8,0.446,0.781,0.0,,,,,,,,,,,,,,,,,,
30,Chris Sale,ATL,SP,5,NL,0.0,7.4,7.7,,-30.0,,,,,,,,,,,,,,,,,,,166.2,3.19,1.10,204.1,13.1,0.0,58.9,138.1,45.0,17.1,28.3,28.3,7.1,11.1,20.3,0.0,
31,James Wood,WAS,OF,13,NL,0.0,6.4,7.6,,-31.0,,533.4,81.4,19.8,77.0,19.8,0.272,0.360,145.2,90.1,31.7,3.6,69.2,173.7,0.456,0.817,0.0,,,,,,,,,,,,,,,,,,
32,Rafael Devers,BOS,3B,2,AL,0.0,6.3,7.6,,-32.0,,553.0,87.0,31.0,95.0,3.0,0.269,0.349,149.0,83.8,31.2,3.0,63.4,135.8,0.505,0.854,0.0,,,,,,,,,,,,,,,,,,
33,Freddie Freeman,LAD,1B,3,NL,0.0,7.0,7.6,,-33.0,,554.0,90.0,22.0,86.0,11.0,0.287,0.374,159.0,101.9,33.1,1.9,71.9,111.6,0.473,0.847,0.0,,,,,,,,,,,,,,,,,,
34,Josh Hader,HOU,RP,3,AL,0.0,7.1,7.4,,-34.0,,,,,,,,,,,,,,,,,,,67.9,3.09,1.07,95.3,4.1,32.3,23.3,47.8,24.7,7.4,65.0,0.0,2.9,12.6,9.2,0.0,
35,Austin Riley,ATL,3B,3,NL,0.0,5.9,7.2,,-35.0,,584.0,92.0,32.0,95.0,2.0,0.269,0.334,157.0,91.6,31.4,2.1,54.2,158.4,0.494,0.828,0.0,,,,,,,,,,,,,,,,,,
36,Brent Rooker,ATH,UT,3,AL,0.0,6.5,7.2,,-36.0,,540.0,84.0,36.0,92.0,7.0,0.252,0.335,136.0,73.2,24.8,1.9,63.9,184.3,0.505,0.840,0.0,,,,,,,,,,,,,,,,,,
37,Logan Gilbert,SEA,SP,6,AL,0.0,6.8,7.1,,-37.0,,,,,,,,,,,,,,,,,,,194.0,3.47,1.07,202.0,12.1,0.0,74.8,163.7,43.5,24.3,31.0,31.0,9.8,9.4,17.8,0.0,
38,Edwin Diaz,NYM,RP,4,NL,0.0,6.8,7.1,,-38.0,,,,,,,,,,,,,,,,,,,67.1,3.00,1.13,93.1,4.1,34.1,22.4,48.6,27.2,6.8,63.9,0.0,2.0,12.5,11.7,0.0,
39,Trea Turner,PHI,SS,6,NL,0.0,6.1,7.1,,-39.0,,588.0,89.0,21.0,77.0,23.0,0.279,0.333,164.0,108.3,32.5,2.2,45.1,122.4,0.449,0.782,0.0,,,,,,,,,,,,,,,,,,
40,Matt Olson,ATL,1B,4,NL,0.0,6.4,7.0,,-40.0,,572.0,89.0,33.0,99.0,1.0,0.250,0.345,143.0,78.8,30.1,1.1,77.9,155.4,0.480,0.824,0.0,,,,,,,,,,,,,,,,,,
41,Felix Bautista,BAL,RP,5,AL,0.0,6.6,6.9,,-41.0,,,,,,,,,,,,,,,,,,,59.4,2.75,1.09,85.9,4.0,26.4,18.2,40.6,24.1,5.9,57.0,0.0,2.1,13.0,8.3,1.3,
42,Pete Alonso,NYM,1B,5,NL,0.0,6.2,6.8,,-42.0,,570.0,86.0,36.0,98.0,4.0,0.240,0.327,137.0,74.5,25.5,1.1,68.8,152.5,0.478,0.805,0.0,,,,,,,,,,,,,,,,,,
43,William Contreras,MIL,C,1,NL,0.0,5.0,6.7,,-43.0,,545.0,79.0,23.0,84.0,6.0,0.270,0.353,147.0,93.6,29.3,1.1,66.5,132.0,0.454,0.807,0.0,,,,,,,,,,,,,,,,,,
44,Jacob deGrom,TEX,SP,7,AL,0.0,6.3,6.7,,-44.0,,,,,,,,,,,,,,,,,,,124.2,3.13,0.99,164.0,8.2,0.0,43.2,95.5,27.9,14.8,23.6,23.6,5.3,11.9,15.8,0.0,
45,Oneil Cruz,PIT,SS,7,NL,0.0,5.6,6.6,,-45.0,,547.0,80.0,25.0,81.0,21.0,0.252,0.323,138.0,80.4,29.4,3.2,54.0,175.4,0.455,0.778,0.0,,,,,,,,,,,,,,,,,,
46,Manny Machado,SD,3B,4,NL,0.0,5.3,6.6,,-46.0,,570.0,80.0,29.0,92.0,8.0,0.265,0.328,151.0,93.3,27.7,1.0,50.7,122.7,0.470,0.798,0.0,,,,,,,,,,,,,,,,,,
47,Dylan Cease,SD,SP,8,NL,0.0,6.2,6.6,,-47.0,,,,,,,,,,,,,,,,,,,183.2,3.40,1.15,218.1,12.1,0.0,69.3,145.8,65.8,20.0,30.9,30.9,8.7,10.7,17.7,0.0,
48,Jose Altuve,HOU,2B,2,AL,0.0,4.4,6.6,,-48.0,,567.0,85.0,20.0,68.0,16.0,0.266,0.331,151.0,99.9,29.8,1.3,51.3,109.3,0.429,0.760,0.0,,,,,,,,,,,,,,,,,,
49,Ryan Helsley,STL,RP,6,NL,0.0,6.2,6.5,,-49.0,,,,,,,,,,,,,,,,,,,66.2,3.02,1.13,81.2,4.0,33.1,22.3,50.3,24.6,6.1,62.9,0.0,3.0,11.0,11.7,1.7,
50,Jackson Merrill,SD,OF,14,NL,0.0,5.3,6.5,,-50.0,,585.0,81.0,24.0,85.0,15.0,0.277,0.328,162.0,101.8,31.3,4.9,42.0,107.0,0.470,0.798,0.0,,,,,,,,,,,,,,,,,,
51,Corey Seager,TEX,SS,8,AL,0.0,5.4,6.4,,-51.0,,477.0,78.0,29.0,82.0,2.0,0.283,0.360,135.0,78.6,26.3,1.1,53.6,97.5,0.525,0.885,0.0,,,,,,,,,,,,,,,,,,
52,Andres Munoz,SEA,RP,7,AL,0.0,6.1,6.4,,-52.0,,,,,,,,,,,,,,,,,,,64.8,2.82,1.11,83.5,4.0,26.5,20.3,47.5,24.6,5.2,62.2,0.0,3.0,11.6,10.8,4.7,
