Rank,Player,Tier
1,Josh Hader,1
2,Mason Miller,1
3,Emmanuel Clase,1
4,Devin Williams,1
5,Ryan Helsley,1
6,Edwin Díaz,1
7,Raisel Iglesias,1
8,Jhoan Durán,2
9,Andrés Muñoz,2
10,Ryan Walker,2
11,Jeff Hoffman,2
12,Tanner Scott,2
13,Félix Bautista,2
14,Jordan Romano,3
15,Pete Fairbanks,3
16,Ryan Pressly,3
17,David Bednar,3
18,Kenley Jansen,3
19,Carlos Estévez,3
20,Trevor Megill,3
21,Robert Suarez,3
22,Aroldis Chapman,4
23,Chris Martin,4
24,Kyle Finnegan,4
25,Mike Clevinger,4
26,Justin Martinez,4
27,Griffin Jax,5
28,A.J. Puk,5
29,Alexis Díaz,5
30,Beau Brieske,5
31,Victor Vodnik,5
32,José Alvarado,5
33,Lucas Erceg,5
34,Calvin Faucher,5
35,Jason Adam,5
36,Bryan Abreu,5
37,Blake Treinen,5
38,Alex Vesia,5
39,Edwin Uceta,5
40,Luke Weaver,5
41,Garrett Whitlock,just missed
42,Kevin Ginkel,just missed
43,Jeremiah Estrada,just missed
44,Camilo Doval,just missed
45,Ben Joyce,just missed
46,Yennier Cano,6
47,Scott Barlow,stash
49,Ryne Stanek,stash
50,Anthony Bender,stash
51,Tyler Kinley,stash
