Rank,Player ID,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
1,9810,"Ohtani, Shohei",LAD,"UT, P",1.48,1,3,,29,,
2,10932,"Witt Jr., Bobby",KC,SS,1.55,1,2,,29,,
3,8956,"Judge, Aaron",NYY,OF,3.28,2,6,,29,,
4,11583,"De La Cruz, Elly",CIN,SS,3.97,3,6,,29,,
5,8594,"Ramirez, Jose",CLE,3B,5.62,4,7,,29,,
6,11025,"Carroll, Corbin",ARZ,OF,5.93,3,9,,29,,
7,10030,"Soto, Juan",NYM,OF,7.14,4,11,,29,,
8,9787,"Tucker, Kyle",CHC,OF,9.79,5,13,,29,,
9,11108,"Henderson, Gunnar",BAL,SS,10.17,6,17,,29,,
10,11885,"Skenes, Paul",PIT,P,11.03,7,16,,29,,
11,10711,"Skubal, Tarik",DET,P,12.14,7,17,,29,,
12,11738,"Chourio, Jackson",MLW,OF,12.59,8,18,,29,,
13,10260,"Rodriguez, Julio",SEA,OF,12.59,5,18,,29,,
14,9785,"Guerrero Jr., Vladimir",TOR,1B,12.72,8,17,,29,,
15,9948,"Tatis Jr., Fernando",SD,OF,13.86,5,19,,29,,
16,8226,"Lindor, Francisco",NYM,SS,15.07,10,22,,29,,
17,10367,"Alvarez, Yordan",HOU,OF,17.86,13,22,,29,,
18,8638,"Betts, Mookie",LAD,"SS, OF",18.00,7,23,,29,,
19,10900,"Crochet, Garrett",BOS,P,18.34,12,27,,29,,
20,8235,"Wheeler, Zack",PHI,P,20.97,13,26,,29,,
21,10231,"Chisholm Jr., Jazz",NYY,"3B, OF",22.21,17,33,,29,,
22,10824,"Duran, Jarren",BOS,OF,23.21,18,30,,29,,
23,10712,"Gilbert, Logan",SEA,P,24.34,18,31,,29,,
24,10364,"Contreras, William",MLW,C,25.10,14,40,,29,,
25,9132,"Turner, Trea",PHI,SS,25.69,20,36,,29,,
26,7885,"Harper, Bryce",PHI,1B,26.00,20,34,,29,,
27,11891,"Merrill, Jackson",SD,OF,26.83,20,36,,29,,
28,11881,"Langford, Wyatt",TEX,OF,29.93,17,39,,29,,
29,7887,"Sale, Chris",ATL,P,30.28,23,40,,29,,
30,9821,"Riley, Austin",ATL,3B,32.86,21,51,,29,,
31,10305,"Cruz, Oneil",PIT,"SS, OF",33.28,21,50,,29,,
32,9112,"Marte, Ketel",ARZ,2B,33.52,24,48,,29,,
33,9328,"Snell, Blake",LAD,P,34.17,26,45,,29,,
34,7793,"Freeman, Freddie",LAD,1B,36.07,22,55,,29,,
35,11787,"Miller, Mason",ATH,P,36.31,16,48,,29,,
36,7891,"Machado, Manny",SD,3B,38.03,31,46,,29,,
37,8690,"Olson, Matt",ATL,1B,38.38,19,55,,29,,
38,10661,"Clase, Emmanuel",CLE,P,38.55,24,51,,29,,
39,9800,"Burnes, Corbin",ARZ,P,39.34,30,62,,29,,
40,9492,"Hader, Josh",HOU,P,40.14,31,53,,29,,
41,10665,"Williams, Devin",NYY,P,41.28,32,53,,29,,
42,10166,"Ragans, Cole",KC,P,41.34,31,53,,29,,
43,11065,"Harris II, Michael",ATL,OF,44.17,35,58,,29,,
44,8784,"deGrom, Jacob",TEX,P,44.34,31,63,,29,,
45,9708,"Devers, Rafael",BOS,3B,45.48,25,64,,29,,
46,9376,"Diaz, Edwin",NYM,P,45.59,32,63,,29,,
47,9775,"Acuna Jr., Ronald",ATL,OF,46.14,28,63,,29,,
48,10191,"Cease, Dylan",SD,P,47.24,29,61,,29,,
49,11045,"Abrams, CJ",WAS,SS,49.48,33,68,,29,,
50,8668,"Seager, Corey",TEX,SS,49.76,34,63,,29,,
51,10312,"Alonso, Pete",NYM,1B,50.79,37,67,,29,,
52,8981,"Iglesias, Raisel",ATL,P,51.62,45,63,,29,,
53,10321,"Helsley, Ryan",STL,P,52.14,43,66,,29,,
54,11750,"Wood, James",WAS,OF,52.97,27,70,,29,,
55,11883,"Yamamoto, Yoshinobu",LAD,P,55.07,35,71,,29,,
56,11649,"Butler, Lawrence",ATH,OF,55.59,38,70,,29,,
57,9428,"Hernandez, Teoscar",LAD,OF,56.45,46,69,,29,,
58,10134,"Munoz, Andres",SEA,P,57.03,48,65,,29,,
59,10083,"Valdez, Framber",HOU,P,61.34,53,71,,29,,
60,12096,"Schwellenbach, Spencer",ATL,P,61.55,39,84,,29,,
61,10289,"King, Michael",SD,P,62.14,48,72,,29,,
62,10149,"Rooker, Brent",ATH,UT,63.03,47,80,,29,,
63,11794,"Walker, Ryan",SF,P,65.28,54,82,,29,,
64,10704,"Rutschman, Adley",BAL,C,65.45,47,80,,29,,
65,11300,"Strider, Spencer",ATL,P,66.34,43,105,,29,,
66,11559,"Diaz, Yainer",HOU,C,66.45,44,81,,29,,
67,10239,"Duran, Jhoan",MIN,P,69.24,52,86,,29,,
68,11379,"Bautista, Felix",BAL,P,70.28,46,106,,29,,
69,8700,"Glasnow, Tyler",LAD,P,71.17,52,86,,29,,
70,8478,"Ozuna, Marcell",ATL,UT,71.66,52,86,,29,,
71,9263,"Contreras, Willson",STL,C,71.76,60,85,,29,,
72,11653,"Doyle, Brenton",COL,OF,73.03,58,89,,29,,
73,8116,"Altuve, Jose",HOU,2B,73.10,61,89,,29,,
