Player,Position(s),Team,athletic,NFBC_ADP,Eno,steamer,thebatx,oopsy,closermonkey rank,closermonkey tier,bp_expert_count
Shohei Ohtani,"UT, P",LAD,2.0,1.0,74.0,61.05299843579922,60.03363224044122,59.11761251808283,,,
Shohei Ohtani,"UT, P",LAD,2.0,1.0,74.0,61.05299843579922,60.03363224044122,21.254642158970757,,,
Shohei Ohtani,"UT, P",LAD,2.0,1.0,74.0,61.05299843579922,16.47696219985636,59.11761251808283,,,
Shohei Ohtani,"UT, P",LAD,2.0,1.0,74.0,61.05299843579922,16.47696219985636,21.254642158970757,,,
Aaron Judge,OF,NYY,1.0,3.0,,57.883771125725254,62.80728917182534,66.55135578294893,,,
Juan Soto,OF,NYM,3.0,7.0,,50.81001639254684,50.956848180127,51.14060659520291,,,1.0
Ronald Acuna,OF,ATL,12.0,47.0,,50.687693774519666,44.51014402575952,44.35301673156973,,,
Yordan Alvarez,OF,HOU,5.0,17.0,,49.43368362377346,49.02168497213635,45.68711979686543,,,
Bobby Witt,SS,KC,4.0,2.0,,46.04369095120704,52.75253760752661,47.36940140457331,,,
Vladimir Guerrero,1B,TOR,19.0,14.0,,44.11679926724234,46.55507549083921,41.40172326817825,,,
Gunnar Henderson,SS,BAL,14.0,9.0,,43.98636473674894,39.932023990948835,40.015507848958066,,,
Corbin Carroll,OF,ARZ,8.0,6.0,,41.88711592929179,35.914923723933676,35.923444235326365,,,2.0
Jose Ramirez,3B,CLE,13.0,5.0,,40.810007613493426,38.92295031111457,29.399159924665263,,,
Bryce Harper,1B,PHI,23.0,26.0,,40.11011814941653,35.217007215168614,36.88883967784787,,,
Fernando Tatis,OF,SD,11.0,15.0,,40.05434197745386,41.85981611955049,38.73784985322784,,,
Mookie Betts,"SS, OF",LAD,15.0,18.0,,38.879089963274,38.52729509771483,33.72497508866468,,,1.0
Elly De La Cruz,SS,CIN,7.0,4.0,,38.02534630530749,39.07210038183888,39.56779207177964,,,2.0
