Player,Position(s),Team,NFBC_ADP,steamer,thebatx,oopsy,Eno,closermonkey rank,closermonkey tier,bp_expert_count,athletic
Shohei Ohtani,"UT, P",LAD,1,61.05299843579922,60.03363224044122,59.11761251808283,74.0,,,,1.0
Shohei Ohtani,"UT, P",LAD,1,61.05299843579922,60.03363224044122,21.254642158970757,74.0,,,,1.0
Shohei Ohtani,"UT, P",LAD,1,61.05299843579922,16.47696219985636,59.11761251808283,74.0,,,,1.0
Shohei Ohtani,"UT, P",LAD,1,61.05299843579922,16.47696219985636,21.254642158970757,74.0,,,,1.0
Shohei Ohtani,"UT, P",LAD,1,16.71239427646264,60.03363224044122,59.11761251808283,74.0,,,,1.0
Shohei Ohtani,"UT, P",LAD,1,16.71239427646264,60.03363224044122,21.254642158970757,74.0,,,,1.0
Shohei Ohtani,"UT, P",LAD,1,16.71239427646264,16.47696219985636,59.11761251808283,74.0,,,,1.0
Shohei Ohtani,"UT, P",LAD,1,16.71239427646264,16.47696219985636,21.254642158970757,74.0,,,,1.0
Bobby Witt,SS,KC,2,46.04369095120704,52.75253760752661,47.36940140457331,,,,,4.0
Aaron Judge,OF,NYY,3,57.883771125725254,62.80728917182534,66.55135578294893,,,,,2.0
Elly De La Cruz,SS,CIN,4,38.02534630530749,39.07210038183888,39.56779207177964,,,,2.0,5.0
Jose Ramirez,3B,CLE,5,40.810007613493426,38.92295031111457,29.399159924665263,,,,,7.0
Corbin Carroll,OF,ARZ,6,41.88711592929179,35.914923723933676,35.923444235326365,,,,2.0,8.0
Juan Soto,OF,NYM,7,50.81001639254684,50.956848180127,51.14060659520291,,,,1.0,3.0
Kyle Tucker,OF,CHC,8,35.63858317814462,39.01057791567465,37.165028756594296,,,,,10.0
Gunnar Henderson,SS,BAL,9,43.98636473674894,39.932023990948835,40.015507848958066,,,,,13.0
Paul Skenes,P,PIT,10,45.87524729463742,42.28670514224781,45.017316825525725,1.0,,,,15.0
Tarik Skubal,P,DET,11,43.037826419490266,45.56703621325756,44.31870761867916,2.0,,,1.0,11.0
Jackson Chourio,OF,MLW,12,32.38430422795655,27.407449021386824,21.061313089954304,,,,1.0,26.0
Julio Rodriguez,OF,SEA,13,34.91249889722022,37.083905697802194,38.16543567798334,,,,,16.0
Vladimir Guerrero,1B,TOR,14,44.11679926724234,46.55507549083921,41.40172326817825,,,,,17.0
Fernando Tatis,OF,SD,15,40.05434197745386,41.85981611955049,38.73784985322784,,,,,12.0
Francisco Lindor,SS,NYM,16,30.627403183752985,33.67230724471965,28.1354210365927,,,,,21.0
Yordan Alvarez,OF,HOU,17,49.43368362377346,49.02168497213635,45.68711979686543,,,,,9.0
