"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Type","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*048tn*","C","Carlos Narvaez","BOS","C","Act","27","5","1st","","416","95","53","13","50","2",".326",".380","124"
"*04mrn*","C","Bo Naylor","CLE","C","Act","26","15","3rd","Rookie","363","75","47","14","46","2",".299",".380","119"
"*04t9b*","1B","Michael Busch","CHC","1B","Act","28","17","1st","","530","135","78","31","83","4",".341",".496","149"
"*04yib*","3B","Brett Baty","NYM","2B,3B","Act","26","5","1st","","434","99","55","18","54","8",".304",".389","122"
"*05jp4*","SS","Casey Schmitt","SF","2B,3B","Act","27","5","1st","","83","19","9","3","11","0",".297",".386","25"
"*04ru7*","CI","Miguel Vargas","CHW","1B,3B","Act","26","15","3rd","Rookie","506","116","77","15","61","6",".324",".389","141"
"*03dgq*","OF","Ryan OHearn","PIT","1B,OF","Act","32","1","2nd","","484","128","67","13","67","3",".340",".407","140"
"*05u9z*","OF","Roman Anthony","BOS","OF","Act","21","10","1st","Rookie","535","158","97","17","65","11",".414",".480","141"
"*05ras*","OF","Colton Cowser","BAL","OF","Act","25","10","2nd","Rookie","483","108","73","22","68","23",".311",".412","134"
"*03nmw*","OF","Ian Happ","CHC","OF","Act","31","29","1st","","573","141","86","24","81","7",".348",".433","152"
"*025he*","OF","George Springer","TOR","OF","Act","36","18","1st","","522","138","92","24","71","17",".350",".456","138"
"*03120*","UT","Cody Bellinger","NYY","OF","Act","30","22","2026","","546","143","80","26","85","11",".324",".463","139"
"*02i11*","UT","Jorge Soler","LAA","OF","Act","34","8","2026","","408","93","59","22","54","0",".320",".441","114"
"*01usi*","UT","Marcell Ozuna","PIT","UT","Act","35","5","1st","","509","135","69","24","77","0",".361",".456","139"
"*0637j*","C","Josue Briceno","DET","C,1B","Min","21","10","1st","Rookie","57","13","5","1","5","0",".333",".351","17"
"*06626*","C","Alfredo Duno","CIN","C","Min","20","8","1st","Rookie","0","0","0","0","0","0","0","0","0"
"*05r64*","UT","Thayron Liranzo","DET","C","Min","22","8","1st","Rookie","0","0","0","0","0","0","0","0","0"
"*06f0q*","SS","Kristian Campbell","BOS","2B","Min","23","10","1st","Rookie","390","101","51","9","43","7",".365",".387","114"
"*067xj*","SS","Cooper Pratt","MIL","SS","Min","21","8","1st","Rookie","0","0","0","0","0","0","0","0","0"
"*06dn7*","OF","A.J. Ewing","NYM","OF","Min","21","8","1st","Rookie","0","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Type","IP","W","SV","ERA","WHIP","K/9","GP"
"*04ali*","SP","Edward Cabrera","CHC","SP","Act","27","5","1st","","150","10","0","3.78","1.253","10.20","26"
"*04eee*","SP","Drew Rasmussen","TB","SP","Act","30","12","1st","","163","12","0","3.42","1.129","8.12","30"
"*029si*","SP","Eduardo Rodriguez","ARI","SP","Act","32","3","1st","","150","9","0","4.38","1.393","8.22","28"
"*05y72*","SP","Landen Roupp","SF","SP","Act","27","10","1st","","118","6","0","4.19","1.381","8.54","24"
"*01uca*","SP","Chris Sale","ATL","SP","Act","36","38","1st","","153","13","0","3.12","1.065","11.18","26"
"*04o2w*","RP","Ben Brown","CHC","SP,RP","Act","26","5","1st","","90","5","0","4.30","1.267","9.50","31"
"*06ala*","RP","Osvaldo Bido","NYY","SP,RP","Act","30","1","1st","","59","3","0","4.73","1.424","8.39","28"
"*05yj0*","P","Chase Dollander","COL","SP","Act","24","5","1st","Rookie","124","4","0","5.08","1.605","7.69","26"
"*04a2t*","P","Kodai Senga","NYM","SP","Act","33","25","1st","","120","8","0","3.83","1.317","9.60","22"
"*0514f*","SP","Hayden Wesneski","HOU","SP","IR","28","15","3rd","Rookie","17","1","0","4.24","1.235","8.47","4"
"*03vcw*","RP","Jordan Hicks","CHW","SP,RP","IR","29","8","1st","","62","2","0","4.35","1.452","8.42","67"
"*05ydp*","SP","Kade Anderson","SEA","SP","Min","21","10","1st","Rookie","0","0","0","0","0","0","0"
"*05rb3*","SP","Chase Burns","CIN","SP","Min","23","10","1st","Rookie","121","9","0","3.20","1.041","11.01","22"
"*04ya2*","SP","Daniel Espino","CLE","SP","Min","25","10","1st","Rookie","28","1","0","4.50","1.429","9.00","6"
"*060gd*","SP","Quinn Mathews","STL","SP","Min","25","8","1st","Rookie","82","4","0","4.94","1.756","8.67","16"
"*05y7s*","P","Nolan McLean","NYM","SP","Min","24","8","1st","Rookie","147","10","0","3.92","1.313","8.39","26"
"*0515o*","SP","Brandon Sproat","MIL","SP","Min","25","10","1st","Rookie","49","3","0","4.59","1.429","7.53","10"
"*05js6*","SP","Ricky Tiedemann","TOR","SP","Min","23","10","1st","Rookie","24","1","0","4.88","1.458","8.63","20"
"*041m3*","P","Forrest Whitley","(N/A)","RP","Min","28","10","1st","Rookie","0","0","0","0","0","0","0"

