Rank	player_name
1	Mason Miller
2	Riley O’Brien
3	Jhoan Duran
4	Louis Varland
5	Cade Smith
6	Daniel Palencia
7	Andres Munoz
8	Bryan Baker
9	Aroldis Chapman
10	David Bednar
11	Paul Sewald
12	Tanner Scott
13	Raisel Iglesias
14	Devin Williams
15	Seranthony Dominguez
16	Abner Uribe
17	Jack Perkins
18	Jacob Latz
19	Emilio Pagan
20	Lucas Erceg
21	Gregory Soto
22	Dennis Santana
23	Kenley Jansen
24	Caleb Kilian
25	Rico Garcia
26	Ryan Zeferjahn
27	Calvin Faucher
28	Robert Suarez
29	Kyle Finnegan
30	Enyel De Los Santos
31	Victor Vodnik
32	Bryan King
33	Mark Leiter
34	Gus Varland
35	Ben Brown
36	Aaron Ashby
37	Alex Vesia
38	Luke Weaver
39	Antonio Senzatela
40	Juan Morillo
41	Keaton Winn
42	Daniel Lynch
43	Tyler Phillips
44	Trevor Megill
45	Brad Keller
46	Yennier Cano
47	Grant Taylor
48	JoJo Romero
49	Anthony Bender
50	Sam Bachman
51	Tony Santillan
52	Erik Sabrowski
53	Kody Funderburk
54	Justin Topa
55	Jose Alvarado
56	Orion Kerkering
57	Richard Lovelady
58	Garrett Cleavinger
59	Garrett Whitlock
60	Jeff Hoffman
