Rank	player_name
1	Robert Suarez
2	Aaron Ashby
3	Dylan Lee
4	Adrian Morejon
5	Hunter Gaddis
6	Jeff Hoffman
7	Jason Adam
8	Rico Garcia
9	Jose Ferrer
10	JoJo Romero
11	Kyle Hurt
12	Abner Uribe
13	Tyler Rogers
14	Kevin Kelly
15	Brad Keller
16	Jeremiah Estrada
17	George Soriano
18	Luke Weaver
19	Orion Kerkering
20	Alex Vesia
21	Fernando Cruz
22	Keaton Winn
23	Ian Seymour
24	Daniel Lynch
25	Bryan Hudson
26	Justin Sterner
27	Brad Lord
28	Huascar Brazoban
29	John Schreiber
30	Matt Brash
31	Juan Morillo
32	Will Klein
33	Kevin Ginkel
34	Jaden Hill
35	Brooks Raley
36	Eduard Bazardo
37	Adam Macko
38	Scott Barlow
39	Wilber Dotel
40	Michael Petersen
