Rank	player_name
1	Jhoan Duran
2	Mason Miller
3	Dylan Lee
4	Josh Hader
5	Bryan Baker
6	Jacob Latz
7	Cade Smith
8	Louis Varland
9	Andres Munoz
10	Trevor Megill
11	Luke Weaver
12	Adrian Morejon
13	Tanner Scott
14	David Bednar
15	Kevin Kelly
16	Eduard Bazardo
17	Raisel Iglesias
18	Riley O’Brien
19	Aroldis Chapman
20	Garrett Whitlock
21	Hunter Gaddis
22	Michael Petersen
23	Grant Taylor
24	Abner Uribe
25	JoJo Romero
26	Paul Sewald
27	Tyler Wells
28	Bryan King
29	Fernando Cruz
30	Yoendrys Gomez
31	Devin Williams
32	Jacob Webb
33	Alex Vesia
34	Emilio Pagan
35	Tyler Rogers
36	Kenley Jansen
37	Brandyn Garcia
38	Andrew Morris
39	Aaron Ashby
40	Orion Kerkering
41	Brooks Raley
42	Steve Okert
43	Sean Newcomb
44	Gabe Speier
45	Mason Montgomery
46	Daniel Lynch
47	Andrew Kittredge
48	Garrett Cleavinger
49	Didier Fuentes
50	Pete Fairbanks
51	Trent Thornton
52	Kevin Ginkel
53	Tyron Guerrero
54	Yennier Cano
55	Brock Burke
56	Erik Miller
57	Dylan Smith
58	Tejay Antone
59	Jeff Hoffman
60	Edgardo Henriquez
61	Justin Slaten
62	Taylor Rogers
63	Jonathan Loaisiga
64	Jordan Hicks
65	Hogan Harris
66	Ryan Zeferjahn
67	Jonathan Bowlan
68	Brennan Bernardino
69	Gregory Soto
70	Chad Patrick
71	Clayton Beeter
72	George Soriano
73	Evan Phillips
74	Erik Sabrowski
75	Dylan Dodd
