Rank,Player,May,Apr,Mar,Feb,MLBAM id,Team,LG,Proj STM$,Proj IP,Health,26 K-BB,ppERA,ppK%,ppWHIP,Stuff+,Location+,Pitching+,26 ERA,26 SIERA
1,Jacob Misiorowski,5,25,23,24,694819,MIL,NL,26.6,172,74%,33.13%,2.65,33.30%,1.15,125,100,125,1.34,2.14
2,Paul Skenes,1,2,2,2,694973,PIT,NL,33.6,189,91%,25.46%,2.89,29.20%,1.08,99,113,112,2.85,2.83
3,Tarik Skubal,,1,1,1,669373,DET,AL,34.5,145,87%,22.46%,2.71,29.40%,1,117,105,120,2.81,3.04
4,Cristopher Sanchez,2,3,4,4,650911,PHI,NL,31.1,199,94%,24.25%,2.9,25.80%,1.1,118,98,116,1.82,2.66
5,Chris Sale,3,7,10,10,519242,ATL,NL,29.4,169,63%,22.57%,2.9,29.70%,1.08,116,107,119,2.3,3.09
6,Shohei Ohtani,6,12,20,20,660271,LAD,NL,17.1,137,66%,19.38%,3.04,28.60%,1.1,113,98,111,1.47,3.4
7,Jacob deGrom,4,10,17,17,594798,TEX,AL,25.3,162,53%,24.26%,3.34,27.90%,1.07,109,110,119,3.17,3.09
8,Yoshinobu Yamamoto,7,5,5,5,808967,LAD,NL,18.1,164,85%,20.12%,3.28,26.50%,1.12,103,107,110,2.52,3.32
9,Cam Schlittler,9,20,28,29,693645,NYY,AL,11,168,77%,22.54%,3.43,25.70%,1.22,110,105,113,1.82,3.13
10,Chase Burns,12,26,25,26,695505,CIN,NL,16.1,155,72%,21.63%,3.2,30.20%,1.12,114,101,116,2.01,3.28
11,Zack Wheeler,18,,39,40,554430,PHI,NL,25.3,144,67%,19.92%,3.42,27.20%,1.12,106,108,115,2.01,3.37
12,Logan Gilbert,11,9,8,8,669302,SEA,AL,21.2,169,88%,20.81%,3.12,27.20%,1.05,107,105,111,3.43,3.44
13,Dylan Cease,13,19,22,23,656302,TOR,AL,23.5,163,90%,26.07%,3.31,29.40%,1.19,108,98,106,2.71,2.85
14,Hunter Brown,,,6,6,686613,HOU,AL,17.7,105,93%,23.44%,3.22,27.20%,1.17,103,97,104,1.1,3.23
15,Drew Rasmussen,16,22,30,22,656876,TBR,AL,18.1,158,72%,23.05%,3.26,24.70%,1.13,107,111,116,2.59,2.97
16,Bryan Woo,15,8,9,9,693433,SEA,AL,21.3,181,87%,19.45%,3.17,25.40%,1.04,110,108,113,4.28,3.6
17,Joe Ryan,19,17,19,19,657746,MIN,AL,19.2,168,88%,22.89%,3.54,26.50%,1.11,107,108,111,3.17,3.21
18,Nolan McLean,10,18,26,27,690997,NYM,NL,13.8,164,79%,18.90%,3.56,24.40%,1.28,108,96,107,3.67,3.49
19,Braxton Ashcraft,20,32,44,46,677952,PIT,NL,10.7,151,77%,20.33%,3.51,23.80%,1.23,104,105,107,3.18,3.32
20,Logan Webb,,16,12,12,657277,SFG,NL,18.2,181,97%,14.94%,3.47,22.10%,1.21,101,107,109,3.46,3.62
21,Gavin Williams,24,31,42,44,668909,CLE,AL,11.3,173,83%,19.78%,3.62,25.70%,1.27,105,103,105,3.83,3.41
22,Kevin Gausman,22,23,38,43,592332,TOR,AL,14.7,182,86%,20.06%,3.93,23.00%,1.21,98,108,105,3.41,3.46
23,Gerrit Cole,,,57,55,543037,NYY,AL,11.6,120,#N/A,14.29%,3.91,22.80%,1.19,100,99,97,2.57,4.24
24,George Kirby,14,13,11,11,669923,SEA,AL,20.3,177,86%,15.47%,3.26,23.50%,1.1,102,112,112,4.1,3.75
25,Shane McClanahan,21,61,67,67,663556,TBR,AL,15.7,139,53%,14.63%,3.49,24.80%,1.16,108,95,104,3.33,3.98
26,Jesus Luzardo,27,21,27,28,666200,PHI,NL,21.3,181,78%,19.23%,3.39,26.90%,1.16,109,103,112,4.2,3.39
27,Kyle Harrison,34,47,80,81,690986,MIL,NL,9.9,149,80%,23.22%,3.61,26.20%,1.21,106,114,116,2.47,3.11
28,Payton Tolle,30,,,,801139,BOS,AL,7.3,131,,18.64%,3.71,26.20%,1.22,115,95,107,2.93,3.7
29,Jose Soriano,25,37,74,76,667755,LAA,AL,9,172,83%,13.89%,3.69,22.80%,1.35,100,103,106,2.79,4.01
30,Carlos Rodon,26,,55,53,607074,NYY,AL,11.1,128,77%,13.91%,3.9,24.50%,1.23,108,86,92,3.5,4.19
31,Freddy Peralta,23,24,18,18,642547,NYM,NL,12.6,176,86%,13.45%,3.91,24.50%,1.24,95,105,101,3.9,4.12
32,Bryce Miller,41,,85,93,682243,SEA,AL,8.6,118,81%,24.80%,3.49,24.10%,1.16,111,110,119,1.54,2.89
33,Jared Jones,,,68,69,683003,PIT,NL,8.7,99,#N/A,15.38%,3.69,24.90%,1.25,101,108,113,6.23,3.93
34,Will Warren,33,44,64,64,701542,NYY,AL,6.9,161,89%,16.67%,3.77,23.70%,1.24,106,106,114,3.47,3.76
