Player,Team
Gunnar Henderson,BAL
Yordan Alvarez,HOU
Josh Naylor,SEA
Freddie Freeman,LAD
Carlos Correa,HOU
Luis Garcia,WSH
Gleyber Torres,DET
Matt Chapman,SF
Michael Harris II,ATL
Teoscar Hernandez,LAD
Adolis Garcia,PHI
Ryan Jeffers,MIN
Bryan Reynolds,PIT
Parker Meadows,DET
Jacob Wilson,ATH
Ben Rice,NYY
Ernie Clement,TOR
Bo Naylor,CLE
Davis Schneider,TOR
Starling Marte,KC
James Outman,MIN
Paul Skenes,PIT
Aroldis Chapman,BOS
Framber Valdez,DET
Drew Rasmussen,TB
Robert Suarez,ATL
JoJo Romero,STL
Sean Manaea,NYM
Clay Holmes,NYM
Jose Alvarado,PHI
David Peterson,NYM
Luis Severino,ATH
Gabe Speier,SEA
Jose Soriano,LAA
Luke Weaver,NYM
J.T. Ginn,ATH
Steven Matz,TB
Graham Ashcraft,CIN
Blade Tidwell,SF
Sean Burke,CWS
