"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"11","Paul Skenes",PIT,"SP3","5","14","10.6","2.3","-1"
"15","Gunnar Henderson",BAL,"SS3","12","17","15.0","1.1","+2"
"24","Yordan Alvarez",HOU,"OF8","21","35","24.2","3.7","+6"
"51","Freddie Freeman",LAD,"1B7","33","63","52.6","8.1","+1"
"56","Josh Naylor",SEA,"1B8","50","70","62.8","7.3","+2"
"64","Ben Rice",NYY,"1B10","36","122","68.4","21.4","+2"
"71","Framber Valdez",DET,"SP20","54","84","74.2","11.0","+5"
"89","Michael Harris II",ATL,"OF21","87","116","92.4","5.9","+12"
"100","Matt Chapman",SF,"3B7","63","158","100.2","21.1","+24"
"101","Teoscar Hernandez",LAD,"OF23","52","124","101.2","15.1","+8"
"103","Aroldis Chapman",BOS,"RP8","63","173","104.6","39.1","-19"
"126","Emmet Sheehan",LAD,"SP35","115","187","130.6","17.2","+8"
"140","Drew Rasmussen",TB,"SP43","90","169","141.8","19.2","+21"
"150","Jose Soriano",LAA,"SP46","100","285","152.0","36.7","+149"
"157","Bryan Reynolds",PIT,"OF35","126","209","157.0","20.9","+21"
"176","Jacob Wilson",ATH,"SS19","136","196","172.8","22.8","-11"
"207","Gleyber Torres",DET,"2B13","127","254","209.6","38.6","+4"
"216","David Peterson",NYM,"SP64","152","337","218.4","63.5","+101"
"221","Adolis Garcia",PHI,"OF46","77","272","222.0","26.9","-3"
"222","Carlos Correa",HOU,"SS23","144","267","222.0","43.8","+15"
"229","Luis Garcia",WSH,"2B17","220","261","230.4","11.4","+25"
"236","Andrew Vaughn",MIL,"1B23","144","261","206.0","45.0","+27"
"252","Robert Suarez",ATL,"RP21","202","243","223.8","15.4","-44"
"258","Clay Holmes",NYM,"SP71","183","271","230.3","32.9","+12"
"299","Ernie Clement",TOR,"3B19","243","284","257.7","18.7","-44"
"326","Sean Manaea",NYM,"SP,RP11","243","376","300.3","55.8","-39"
"328","Ryan Jeffers",MIN,"C22","256","356","296.3","43.0","-26"
"337","Luis Severino",ATH,"SP98","216","348","302.3","61.1","+36"
"365","Lars Nootbaar",STL,"OF71","264","475","369.5","105.5","+59"
"368","Jordan Westburg",BAL,"2B31","276","452","370.7","72.5","-144"
"396","JoJo Romero",STL,"RP37","336","358","347.0","11.0","-34"
"397","Bo Naylor",CLE,"C27","336","336","336.0","0.0","-25"
"413","Garrett Cleavinger",TB,"RP42","367","367","367.0","0.0","-11"
"419","Garrett Whitlock",BOS,"RP45","375","378","376.5","1.5","-114"
"444","Steven Matz",TB,"SP,RP19","410","410","410.0","0.0","+709"
"480","Luke Weaver",NYM,"RP56","465","465","465.0","0.0","-100"
"488","Parker Meadows",DET,"OF92","474","474","474.0","0.0","-21"
"503","Sean Burke",CWS,"SP,RP27","490","490","490.0","0.0","+63"
"571","Christian Scott",NYM,"SP146","565","565","565.0","0.0","+657"
"583","Jhostynxon Garcia",PIT,"OF110","577","577","577.0","0.0","+697"
"593","Jose Alvarado",PHI,"RP73","588","588","588.0","0.0","-106"
"611","Davis Schneider",TOR,"2B51","606","606","606.0","0.0","-111"
"648","Gabe Speier",SEA,"RP87","646","646","646.0","0.0","-121"
"657","Griffin Canning",SD,"SP163","655","655","655.0","0.0","+589"
"663","James Outman",MIN,"OF121","661","661","661.0","0.0","-23"
"675","Starling Marte",KC,"OF124","673","673","673.0","0.0","+443"
"700","Graham Ashcraft",CIN,"RP97","698","698","698.0","0.0","+608"
"734","J.T. Ginn",ATH,"SP,RP44","732","732","732.0","0.0","+495"
"906","Blade Tidwell",SF,"SP,RP64","904","904","904.0","0.0","+265"
