Player,Team,Position,Status
Adley Rutschman,BAL,"['C', 'Util']",Redistributed Popehats
Bryce Harper,PHI,"['1B', 'IF', 'Util']",Redistributed Popehats
Jose Altuve,HOU,"['2B', 'IF', 'OF', 'Util']",Redistributed Popehats
Sam Antonacci,CWS,"['2B', '3B', 'IF', 'OF', 'Util']",Redistributed Popehats
CJ Abrams,WSH,"['SS', 'IF', 'Util']",Redistributed Popehats
TJ Rumfield,COL,"['1B', 'IF', 'Util']",Redistributed Popehats
Kyle Tucker,LAD,"['OF', 'Util']",Redistributed Popehats
Corbin Carroll,AZ,"['OF', 'Util']",Redistributed Popehats
James Wood,WSH,"['OF', 'Util']",Redistributed Popehats
Jo Adell,LAA,"['OF', 'Util']",Redistributed Popehats
Kody Clemens,MIN,"['1B', '2B', 'IF', 'OF', 'Util']",Redistributed Popehats
Tyler Soderstrom,ATH,"['1B', 'IF', 'OF', 'Util', 'IL']",Redistributed Popehats
Cole Carrigg,COL,"['OF', 'Util']",Redistributed Popehats
Framber Valdez,DET,"['SP', 'P']",Redistributed Popehats
Joe Ryan,MIN,"['SP', 'P']",Redistributed Popehats
David Bednar,NYY,"['RP', 'P', 'NA']",Redistributed Popehats
Alex Lange,KC,"['RP', 'P']",Redistributed Popehats
Shota Imanaga,CHC,"['SP', 'P']",Redistributed Popehats
Yoendrys Gómez,MIN,"['SP', 'RP', 'P']",Redistributed Popehats
Brandon Woodruff,MIL,"['SP', 'P']",Redistributed Popehats
Joey Cantillo,CLE,"['SP', 'RP', 'P']",Redistributed Popehats
Emerson Hancock,SEA,"['SP', 'RP', 'P']",Redistributed Popehats
Dustin May,STL,"['SP', 'P']",Redistributed Popehats
Robbie Ray,SF,"['SP', 'P']",Redistributed Popehats
Stephen Kolek,KC,"['SP', 'P', 'NA']",Redistributed Popehats
Maikel Garcia,KC,"['2B', '3B', 'SS', 'IF', 'OF', 'Util', 'IL']",Redistributed Popehats
Munetaka Murakami,CWS,"['1B', '3B', 'IF', 'Util', 'IL']",Redistributed Popehats
River Ryan,LAD,"['SP', 'P', 'NA']",Redistributed Popehats
Ivan Herrera,STL,"['C', 'Util']",Strengthen the Matrix
Yandy Díaz,TB,"['1B', 'IF', 'Util']",Strengthen the Matrix
Jazz Chisholm Jr.,NYY,"['2B', '3B', 'IF', 'Util']",Strengthen the Matrix
Junior Caminero,TB,"['3B', 'IF', 'Util']",Strengthen the Matrix
Max Muncy,ATH,"['2B', '3B', 'SS', 'IF', 'Util']",Strengthen the Matrix
Bryce Eldridge,SF,"['1B', 'IF', 'Util']",Strengthen the Matrix
Jordan Walker,STL,"['OF', 'Util']",Strengthen the Matrix
Byron Buxton,MIN,"['OF', 'Util']",Strengthen the Matrix
Randy Arozarena,SEA,"['OF', 'Util']",Strengthen the Matrix
Mickey Moniak,COL,"['OF', 'Util']",Strengthen the Matrix
Jakob Marsee,MIA,"['OF', 'Util']",Strengthen the Matrix
Willy Adames,SF,"['SS', 'IF', 'Util']",Strengthen the Matrix
Dylan Crews,WSH,"['OF', 'Util']",Strengthen the Matrix
Henry Bolte,ATH,"['OF', 'Util']",Strengthen the Matrix
A.J. Ewing,NYM,"['2B', 'IF', 'OF', 'Util']",Strengthen the Matrix
Chase Burns,CIN,"['SP', 'RP', 'P']",Strengthen the Matrix
Tarik Skubal,DET,"['SP', 'P']",Strengthen the Matrix
Mason Miller,SD,"['RP', 'P']",Strengthen the Matrix
Louis Varland,TOR,"['RP', 'P']",Strengthen the Matrix
George Kirby,SEA,"['SP', 'P']",Strengthen the Matrix
Hunter Greene,CIN,"['SP', 'P', 'IL']",Strengthen the Matrix
Ryan Weathers,NYY,"['SP', 'P']",Strengthen the Matrix
Brandon Sproat,MIL,"['SP', 'P']",Strengthen the Matrix
Matthew Boyd,CHC,"['SP', 'P']",Strengthen the Matrix
Paul Sewald,AZ,"['RP', 'P']",Strengthen the Matrix
Gleyber Torres,DET,"['2B', 'IF', 'Util', 'IL']",Strengthen the Matrix
Kade Anderson,SEA,"['SP', 'P', 'NA']",Strengthen the Matrix
Cal Raleigh,SEA,"['C', 'Util']",¯\_(ツ)_/¯
Rafael Devers,SF,"['1B', 'IF', 'Util']",¯\_(ツ)_/¯
Nico Hoerner,CHC,"['2B', 'SS', 'IF', 'Util']",¯\_(ツ)_/¯
Kazuma Okamoto,TOR,"['1B', '3B', 'IF', 'Util']",¯\_(ツ)_/¯
Zach Neto,LAA,"['SS', 'IF', 'Util']",¯\_(ツ)_/¯
Bo Bichette,NYM,"['3B', 'SS', 'IF', 'Util']",¯\_(ツ)_/¯
Pete Crow-Armstrong,CHC,"['OF', 'Util']",¯\_(ツ)_/¯
Cody Bellinger,NYY,"['OF', 'Util']",¯\_(ツ)_/¯
Michael Harris II,ATL,"['OF', 'Util']",¯\_(ツ)_/¯
