player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,closermonkey tier,Stuff+,Location+,Pitching+
Chris Sale,ATL,SP/,31.029004166173127,21.000830045574087,25.990289050396914,-4.274663018730452,TWN,31.029004166173127,18.43636506085342,6.0,,,104.8518568232662,100.6400447427293,98.59467561521254
Trevor Story,BOS,SS/,6.7229054473885235,15.160700864127334,9.041017997358297,24.138834284597195,TWN,24.138834284597195,13.765864648367836,,,,,,
Matt Chapman,SFG,3B/,9.564525928479764,21.800050665628888,13.469337648656149,13.858196806681873,TWN,21.800050665628888,14.673027762361668,,,,,,
Michael Busch,CHC,1B/,5.328238324459655,7.481954538845847,3.9559022987175245,20.84310321645053,TWN,20.84310321645053,9.40229959461839,,,,,,
Kodai Senga,NYM,SP/,8.815842671465997,6.939535132682788,10.888521177521351,20.118777354219137,TWN,20.118777354219137,11.690669083972319,39.0,,,94.30148606811149,99.96037151702788,98.68873065015482
Anthony Santander,TOR,OF/DH/,18.864638842858884,18.177543592763207,15.877784101725766,-2.4302161385204877,TWN,18.864638842858884,12.622437599706844,,,,,,
Ian Happ,CHC,OF/,15.232971857858566,14.423234531782281,11.268262365272475,16.182818205100887,TWN,16.182818205100887,14.276821740003552,,,,,,
Jose Quintana,MIL,SP/,-3.4779232435453338,-3.1543204613736116,-4.290165719198514,14.91505313810643,FA,14.91505313810643,0.9981609284972426,,,,81.54619402985075,112.74880597014923,97.8613432835821
Nico Hoerner,CHC,2B/,12.770891919907227,9.879136281642692,10.049081977207782,14.739501814094881,TWN,14.739501814094881,11.859652998213145,,,,,,
George Springer,TOR,OF/DH/,12.878927816823275,12.251661850315172,10.245035084268707,14.454083856441416,TWN,14.454083856441416,12.457427151962142,,,,,,
Austin Wynns,CIN,C/,-11.375780873070244,-10.503962583953516,-9.24903911128298,14.296371143562888,FA,14.296371143562888,-4.208102856185963,,,,,,
Jorge Soler,LAA,OF/DH/,10.714173349296379,12.719230282462476,9.559443983335074,7.140853019703763,TWN,12.719230282462476,10.033425158699423,,,,,,
Drew Rasmussen,TBR,SP/,9.835783514970146,11.337969222625336,10.978871335094741,,TWN,11.337969222625336,10.717541357563407,63.0,,,113.20717948717947,104.25314102564104,110.79935897435902
Kristian Campbell,BOS,2B/OF/,6.8807437624524255,10.346755163288295,11.060151350038954,10.27737060371691,TWN,11.060151350038954,9.641255219874147,,,,,,
Joey Cantillo,CLE,SP/,5.157630771286084,10.350559628294507,-0.7860680182931914,,FA,10.350559628294507,4.9073741270958005,142.0,,,92.59145728643216,95.26211055276386,88.07306532663317
Jonathan India,KCR,2B/DH/,9.175956705575969,10.128374174789982,10.341664415605862,-8.053866898659313,TWN,10.341664415605862,5.398032099328125,,,,,,
Gavin Sheets,SDP,1B/OF/DH/,-2.257662043397434,-4.444091897135138,-1.8391506127163,9.78242359655356,FA,9.78242359655356,0.310379760826172,,,,,,
Tyler Heineman,TOR,C/DH/,-8.52747440417466,-7.721735194927616,-6.769536772742568,8.41407253958998,FA,8.41407253958998,-3.651168458063716,,,,,,
Eric Wagaman,MIA,1B/3B/OF/DH/,-5.001876102972193,-3.1367316038711532,-8.389740562696872,7.816656863977258,FA,7.816656863977258,-2.17792285139074,,,,,,
Reid Detmers,LAA,SP/,7.6539682857654645,1.0843477225118385,1.8954306734058584,,FA,7.6539682857654645,3.5445822272277208,108.0,,,106.64390532544375,98.68852071005917,102.67562130177517
Logan Allen,CLE,SP/,-4.838828235325486,-3.854140907646137,-3.6822557636317637,6.624064799576792,FA,6.624064799576792,-1.4377900267566488,,,,93.14718662952647,95.91314763231198,86.90116991643453
Landen Roupp,SFG,SP/,6.056802819659495,6.609287329664479,4.551084452473775,,TWN,6.609287329664479,5.73905820059925,81.0,,,101.76885154061624,113.2340056022409,115.07484593837532
Miguel Andujar,ATH,OF/,-4.409360479054417,-7.863226337289452,-7.194819057269672,6.574481671075687,FA,6.574481671075687,-3.223231050634464,,,,,,
Alek Thomas,ARI,OF/,0.8036942430224814,0.7584076718428184,3.1420139596088412,6.52357866570767,FA,6.52357866570767,2.806923635045453,,,,,,
Tim Tawa,ARI,2B/,-19.423696059056187,-18.391978755796117,-17.20188464145455,6.260893177102344,FA,6.260893177102344,-12.189166569801127,,,,,,
Bo Naylor,CLE,C/,6.167398714141582,5.865313904704318,5.1960709198670765,4.004134688155403,TWN,6.167398714141582,5.3082295567170945,,,,,,
