PlayerName,Team,Pos,RANK,AVG,The Athletic,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Six Pack,Fantrax HQ,Just Baseball,MLB Pipeline,NBC Sports,Pitcher List,Prospect361,Prospects Live,Razzball,Rotoballer,Roto- Prospects,Rotowire,The Upside Prospect
"Anthony, Roman",BOS,OF,1,1.842,Paywall,Paywall,Paywall,1,2,1,Paywall,2,Paywall,1,1,1,2,2,1,5,Paywall,3,1,1,2,3
"Jenkins, Walker",MIN,OF,2,7.316,Paywall,Paywall,Paywall,5,7,13,Paywall,17,Paywall,8,9,4,3,4,15,6,Paywall,11,5,4,Paywall,2
"Shaw, Matt",CHC,2B/3B,3,10.737,Paywall,Paywall,Paywall,26,3,6,Paywall,13,Paywall,Paywall,6,12,19,17,2,12,Paywall,6,8,7,Paywall,10
"Painter, Andrew",PHI,RHP,4,14.632,Paywall,Paywall,Paywall,19,8,3,Paywall,6,Paywall,10,7,11,8,44,8,20,Paywall,15,14,12,Paywall,9
"Basallo, Samuel",BAL,C/1B,5,15.105,Paywall,Paywall,Paywall,11,15,5,Paywall,5,Paywall,Paywall,8,13,13,20,20,8,Paywall,18,13,19,Paywall,12
"Walcott, Sebastian",TEX,3B/SS,6,15.474,Paywall,Paywall,Paywall,10,23,9,Paywall,4,Paywall,Paywall,17,5,17,25,13,29,Paywall,4,6,2,1,8
"Crews, Dylan",WAS,OF,7,15.947,Paywall,Paywall,Paywall,2,5,4,Paywall,3,Paywall,2,3,6,4,1,225,1,Paywall,7,4,6,Paywall,5
"Campbell, Kristian",BOS,2B/SS/OF,8,16.263,Paywall,Paywall,Paywall,3,4,7,Paywall,7,Paywall,Paywall,12,36,7,9,14,7,Paywall,1,2,5,4,7
"Bazzana, Travis",CLE,2B,8,16.263,Paywall,Paywall,Paywall,12,13,10,Paywall,36,Paywall,Paywall,11,14,10,15,3,18,Paywall,14,7,14,Paywall,21
"Clark, Max",DET,OF,10,17.316,Paywall,Paywall,Paywall,31,32,11,Paywall,34,Paywall,Paywall,18,44,6,6,11,4,Paywall,22,10,15,Paywall,18
"Rodriguez, Emmanuel",MIN,OF,10,17.316,Paywall,Paywall,Paywall,17,16,12,Paywall,20,Paywall,7,16,19,37,13,26,16,Paywall,19,12,16,Paywall,6
"Chandler, Bubba",PIT,RHP,12,19.158,Paywall,Paywall,Paywall,21,25,17,Paywall,23,Paywall,9,23,20,15,43,6,26,Paywall,16,31,17,Paywall,19
"Dominguez, Jasson",NYY,OF,13,20.316,Paywall,Paywall,Paywall,24,6,2,Paywall,16,Paywall,4,5,18,21,3,225,2,Paywall,5,3,3,3,4
"De Vries, Leodalis",SD,SS,14,20.474,Paywall,Paywall,Paywall,23,19,20,Paywall,37,Paywall,Paywall,25,24,18,7,7,31,Paywall,10,16,10,Paywall,14
"Schultz, Noah",CHW,LHP,15,20.895,Paywall,Paywall,Paywall,30,18,19,Paywall,18,Paywall,Paywall,13,22,16,14,10,14,Paywall,17,27,23,Paywall,22
