Rank,Name
1,Konnor Griffin
2,Kevin McGonigle
3,Jesús Made
4,Colt Emerson
5,Max Clark
6,Aidan Miller
7,JJ Wetherholt
8,Samuel Basallo
9,Eduardo Quintero
10,Carter Jensen
11,Walker Jenkins
12,Franklin Arias
13,Leo De Vries
14,Bubba Chandler
15,Nolan McLean
16,Sebastian Walcott
17,Bryce Rainer
18,Carson Benge
19,Sal Stewart
20,Josue De Paula
21,Ryan Sloan
22,Andrew Painter
23,Bryce Eldridge
24,"George Lombard, Jr."
25,Trey Yesavage
26,Liam Doyle
27,Luis Peña
28,Kade Anderson
29,Rainiel Rodriguez
30,Braden Montgomery
31,Angel Genao
32,Aiva Arquette
33,Thomas White
34,Ryan Waldschmidt
35,Cam Caminiti
36,Zyhir Hope
37,Gage Jump
38,Josuar Gonzalez
39,Ethan Holliday
40,Payton Tolle
41,Kevin Alcántara
42,Edward Florentino
43,Jamie Arnold
44,Caleb Bonemer
45,Jett Williams
46,Charlie Condon
47,Moisés Ballesteros
48,Justin Crawford
49,Michael Arroyo
50,Travis Bazzana
51,Mike Sirota
52,Joe Mack
53,Eli Willits
54,Carson Williams
55,River Ryan
56,Blake Mitchell
57,Emmanuel Rodriguez
58,Hagen Smith
59,Josue Briceño
60,JoJo Parker
61,Kendry Chourio
62,Kyson Witherspoon
63,Robby Snelling
64,Connelly Early
65,Emil Morales
66,Billy Carlson
67,Theo Gillen
68,Tyson Lewis
69,Gavin Kilen
70,Ethan Salas
71,Lazaro Montes
72,Jonah Tong
73,Wehiwa Aloy
74,Jeferson Quero
75,Brandon Sproat
76,Gavin Fien
77,Felnin Celesten
78,Nate George
79,Jefferson Rojas
80,Alfredo Duno
81,Chase DeLauter
82,Kaelen Culpepper
83,Brody Hopkins
84,Joey Oakie
85,Ike Irish
86,Aroon Escobar
87,Alex Freeland
88,Carlos Lagrange
89,Arjun Nimmala
90,Jonny Farmelo
91,Max Anderson
92,Parker Messick
93,Eduardo Tait
94,Seaver King
95,Noah Schultz
96,Daniel Pierce
97,Enrique Bradfield Jr.
98,A.J. Ewing
99,Cooper Pratt
100,Seth Hernandez
