"Rank","Name","Position","Org"
"1","Konnor Griffin","SS/OF","PIT"
"2","Kevin McGonigle","SS","DET"
"3","Jesus Made","SS","MIL"
"4","Nolan McLean","RHP","NYM"
"5","Leo De Vries","SS","SAC"
"6","Max Clark","OF","DET"
"7","Trey Yesavage","RHP","TOR"
"8","JJ Wetherholt","SS/2B","STL"
"9","Samuel Basallo","C/1B","BAL"
"10","Carson Benge","OF","NYM"
"11","Sebastian Walcott","SS","TEX"
"12","Bubba Chandler","RHP","PIT"
"13","Aidan Miller","SS","PHI"
"14","Josue De Paula","OF","LAD"
"15","Colt Emerson","SS","SEA"
"16","Rainiel Rodriguez","C","STL"
"17","Eli Willits","SS","WAS"
"18","Zyhir Hope","OF","LAD"
"19","Walker Jenkins","OF","MIN"
"20","Josuar Gonzalez","SS","SF"
"21","Edward Florentino","OF","PIT"
"22","Payton Tolle","LHP","BOS"
"23","Jonah Tong","RHP","NYM"
"24","Travis Bazzana","2B","CLE"
"25","Franklin Arias","SS","BOS"
"26","Caleb Bonemer","IF","CHW"
"27","Eduardo Quintero","OF","LAD"
"28","Kade Anderson","LHP","SEA"
"29","Thomas White","LHP","MIA"
"30","Luis Pena","IF","MIL"
"31","Liam Doyle","LHP","STL"
"32","Ryan Sloan","RHP","SEA"
"33","Bryce Eldridge","1B","SF"
"34","Mike Sirota","OF","LAD"
"35","Michael Arroyo","SS","SEA"
"36","Bryce Rainer","SS","DET"
"37","Gage Jump","LHP","SAC"
"38","AJ Ewing","OF","NYM"
"39","Ryan Waldschmidt","OF","AZ"
"40","Dax Kilby","SS","NYY"
"41","Jett Williams","SS","MIL"
"42","George Lombard Jr.","IF","NYY"
"43","Connelly Early","LHP","BOS"
"44","Carter Jensen","C","KC"
"45","Carson Williams","SS","TB"
"46","Sal Stewart","3B","CIN"
"47","Jarlin Susana","RHP","WAS"
"48","Emmanuel Rodriguez","OF","MIN"
"49","JoJo Parker","SS","TOR"
"50","Aiva Arquette","SS","MIA"
"51","Andrew Painter","RHP","PHI"
"52","Jurrangelo Cjintje","SHP","STL"
"53","Josue Briceno","C/1B","DET"
"54","Eduardo Tait","C","MIN"
"55","Angel Genao","IF","CLE"
"56","Emil Morales","OF","LAD"
"57","Robby Snelling","LHP","MIA"
"58","Jamie Arnold","LHP","SAC"
"59","Gavin Fien","3B","WAS"
"60","Elmer Rodriguez","RHP","NYY"
"61","Carlos Lagrange","RHP","NYY"
"62","Dylan Beavers","OF","BAL"
"63","Alfredo Duno","C","CIN"
"64","Nate George","OF","BAL"
"65","Cooper Ingle","C","CLE"
"66","Tyson Lewis","SS","CIN"
"67","Jaxon Wiggins","RHP","CHC"
"68","Seth Hernandez","RHP","PIT"
"69","Jhonny Level","SS","SF"
"70","Jacob Reimer","3B","NYM"
"71","Kaelen Culpepper","SS","MIN"
"72","Brody Hopkins","RHP","TB"
"73","Ethan Conrad","OF","CHC"
"74","Kyson Witherspoon","RHP","BOS"
"75","Andrew Fischer","3B","MIL"
"76","Brandon Sproat","RHP","MIL"
"77","Gage Wood","RHP","PHI"
"78","Aroon Escobar","IF","PHI"
"79","Tyler Bremner","RHP","LAA"
"80","Moises Ballesteros","C","CHC"
"81","Theo Gillen","OF","TB"
"82","Justin Gonzales","OF","BOS"
"83","Parker Messick","LHP","CLE"
"84","Joshua Baez","OF","STL"
"85","Johnny King","LHP","TOR"
"86","Ryan Clifford","1B","NYM"
"87","Arjun Nimmala","SS","TOR"
"88","JR Ritchie","RHP","ATL"
"89","Ben Hess","RHP","NYY"
"90","Travis Sykora","RHP","WAS"
"91","Owen Caissie","OF","MIA"
"92","Joe Mack","C","MIA"
"93","Billy Carlson","SS","CHW"
"94","Chase DeLauter ","OF","CLE"
"95","Ty Johnson","RHP","TB"
"96","Will Watson","RHP","NYM"
"97","Lazaro Montes","OF","SEA"
"98","Justin Crawford","OF","PHI"
"99","Braden Montgomery","OF","CHW"
"100","Noah Schultz","LHP","CHW"
"101","Hagen Smith","LHP","CHW"
