"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*05ajh*","Garrett Crochet","BOS","SP","1","LEX","Active","26","8","2nd","100","-","-"
"*03ynj*","Juan Soto","NYM","OF","2","NJ","Active","27","66","1st","100","-","-"
"*04ptt*","Tarik Skubal","DET","SP","3","NJ","Active","29","20","5th","98.22","-","-"
"*02i2j*","Max Fried","NYY","SP","4","SHS","Active","32","16","2025","97.57","-","-"
"*02my5*","Edwin Diaz","NYM","RP","5","LEX","Active","31","1","2027","97.44","-","-"
"*05y62*","Bryan Woo","SEA","SP","6","RUM","Active","25","11","2026","96.88","-","-"
"*01gya*","Aroldis Chapman","BOS","RP","7","RUM","Active","37","14","2nd","96.66","-","-"
"*02c2r*","Carlos Rodon","NYY","SP","8","ISO","Active","33","11","2025","96.64","-","-"
"*03dc4*","Freddy Peralta","MIL","SP","9","LEX","Active","29","30","1st","96.27","-","-"
"*04apj*","Jhoan Duran","MIN/PHI","RP","10","YRK","Active","28","6","2027","95.59","-","-"
"*052c8*","Cristopher Sanchez","PHI","SP","11","SML","Active","29","7","2025","94.66","-","-"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","12","ISO","Active","31","49","2025","94.61","-","-"
"*05144*","Hunter Brown","HOU","SP","13","MCM","Active","27","14","2027","94.54","-","-"
"*05wru*","Paul Skenes","PIT","SP","14","YRK","Active","23","10","2nd","94.45","-","-"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","15","MCM","Active","27","38","2nd","94.01","-","-"
"*05r01*","Robert Suarez","SD","RP","16","KEN","Active","34","34","1st","93.9","-","-"
"*0316j*","Nick Pivetta","SD","SP","17","KEN","Active","32","1","2026","93.86","-","-"
"*01ub6*","Jose Ramirez","CLE","3B","18","YRK","Active","33","57","1st","93.84","-","-"
"*04my4*","Cal Raleigh","SEA","C","19","RUM","Active","29","13","2025","93.72","-","-"
