Name,Team,Pos,mlbam,Age,Draft,Highest Level,B/T,Hgt/Wgt,Rank,Avg,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Six Pack,Imaginary Brick Wall,Just Baseball,MLB Pipeline,NBC Sports,Prospect 361,Prospects Live,Razzball,Roto- Baller,Roto- Prospects,Rotowire,The Athletic,TJStats
"Griffin, Konnor",PIT,SS,804660,19.8,2024 #9,AA,R/R,"6'4"" 225",1,1.05,Paywall,Paywall,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"McGonigle, Kevin",DET,SS,805808,21.5,2023 #37,AA,L/R,"5'10"" 187",2,2.71,Paywall,Paywall,2,2,2,2,5,2,3,2,2,2,4,6,2,6,2,3,2,2,2
"Made, Jesus",MIL,SS,815908,18.8,2024 FA,AA,S/R,"6'1"" 187",3,3.33,Paywall,Paywall,3,3,3,3,2,4,5,4,4,3,3,2,3,1,5,2,3,3,5
"Wetherholt, JJ",STL,SS,802139,23.4,2024 #7,AAA,L/R,"5'10"" 190",4,5.71,Paywall,Paywall,8,4,5,7,12,5,3,7,7,5,6,4,4,3,7,6,Paywall,7,4
"De Vries, Leo",ATH,SS,815888,19.4,2024 FA,AA,S/R,"6'1"" 183",5,7.24,Paywall,Paywall,5,5,8,11,6,3,2,14,9,4,2,12,9,4,6,4,4,13,12
"Basallo, Samuel",BAL,C,694212,21.5,2021 FA,MLB,L/R,"6'4"" 180",6,7.43,Paywall,Paywall,9,7,6,4,4,7,Paywall,3,8,8,11,7,6,7,11,8,Paywall,8,11
"Clark, Max",DET,OF,703601,21.2,2023 #3,AA,L/L,"6'0"" 205",7,9.19,Paywall,Paywall,6,20,7,8,7,8,Paywall,8,10,10,5,3,5,16,9,11,Paywall,5,7
"McLean, Nolan",NYM,P,690997,24.6,2023 #91,MLB,R/R,"6'2"" 214",8,10.00,Paywall,Paywall,4,13,13,13,3,11,Paywall,11,3,6,15,23,8,8,4,10,Paywall,15,6
"Walcott, Sebastian",TEX,SS,806964,19.9,2023 FA,AA,R/R,"6'4"" 190",9,11.29,Paywall,Paywall,11,6,4,5,30,6,Paywall,9,32,7,14,8,11,5,10,7,5,16,20
"Jenkins, Walker",MIN,MIN,805805,21.0,2023 #5,AAA,L/R,"6'3"" 210",10,12.81,Paywall,Paywall,19,15,16,9,31,10,Paywall,5,16,14,7,5,24,9,8,5,Paywall,11,17
"Yesavage, Trey",TOR,P,702056,22.6,2024 #20,MLB,R/R,"6'4"" 225",11,14.10,Paywall,Paywall,7,12,10,14,8,26,Paywall,10,14,12,8,28,7,19,12,13,Paywall,25,10
"Chandler, Bubba",PIT,P,696149,23.4,2021 #72,MLB,S/R,"6'3"" 218",12,14.43,Paywall,Paywall,12,8,14,12,10,14,Paywall,19,12,11,18,10,13,31,19,12,Paywall,14,14
"Emerson, Colt",SEA,SS,806068,20.6,2023 #22,AAA,L/R,"6'0"" 195",13,14.48,Paywall,Paywall,15,10,15,6,11,9,Paywall,13,5,9,12,17,12,29,22,15,Paywall,4,8
"Miller, Aidan",PHI,SS,805795,21.7,2023 #27,AAA,R/R,"6'1"" 205",14,15.05,Paywall,Paywall,13,14,9,10,13,32,Paywall,21,6,23,21,9,29,13,14,14,Paywall,6,9
"Benge, Carson",NYM,OF,701807,23.1,2024 #19,AAA,L/R,"6'1"" 184",15,18.29,Paywall,Paywall,10,9,17,15,21,21,Paywall,20,11,16,28,32,10,14,20,23,Paywall,18,13
"White, Thomas",MIA,P,806258,21.4,2023 #35,AAA,L/L,"6'5"" 240",16,19.67,Paywall,Paywall,29,16,27,18,9,22,Paywall,12,19,17,16,27,15,21,16,16,Paywall,33,25
"De Paula, Josue",LAD,OF,800543,20.7,2022 FA,AA,L/L,"6'3"" 185",17,20.38,Paywall,Paywall,14,19,18,21,17,13,Paywall,22,41,15,9,11,16,18,18,20,Paywall,20,34
"Eldridge, Bryce",SF,1B,805811,21.3,2023 #16,MLB,L/R,"6'7"" 240",18,21.57,Paywall,Paywall,33,11,11,59,16,12,Paywall,17,17,25,23,18,33,11,29,18,Paywall,23,33
"Pena, Luis",MIL,SS,821270,19.3,2024 FA,A+,R/R,"5'11"" 185",19,24.76,Paywall,Paywall,30,24,32,26,24,18,Paywall,34,18,26,22,15,25,25,28,29,Paywall,27,31
"Quintero, Eduardo",LAD,OF,808234,19.4,2023 FA,A+,R/R,"6'1"" 175",20,25.67,Paywall,Paywall,27,18,12,37,43,34,Paywall,36,40,30,24,20,18,30,13,21,Paywall,9,36
"Stewart, Sal",CIN,3B,701398,22.2,2022 #32,AAA,R/R,"6'1"" 224",21,25.90,Paywall,Paywall,46,21,20,17,34,31,Paywall,16,15,22,50,44,17,23,23,9,Paywall,19,16
"Rainer, Bryce",DET,SS,800614,20.6,2024 #11,A,L/R,"6'3"" 195",22,27.76,Paywall,Paywall,36,22,22,35,23,37,Paywall,23,35,35,19,24,21,55,37,25,Paywall,17,30
"Anderson, Kade",SEA,P,807739,21.6,2025 #3,,L/L,"6'2"" 179",23,28.86,Paywall,Paywall,28,27,29,16,50,23,Paywall,Paywall,26,21,13,21,19,32,33,36,Paywall,28,28
"Tolle, Payton",BOS,P,801139,23.3,2024 #50,AAA,L/L,"6'6"" 250",24,29.24,Paywall,Paywall,22,42,30,22,18,28,Paywall,24,28,19,47,41,14,58,35,35,Paywall,40,15
"Jensen, Carter",KC,C,695600,22.6,2021 #78,MLB,L/R,"6'0"" 210",25,31.52,Paywall,Paywall,44,25,35,25,32,39,Paywall,15,13,18,31,59,22,43,39,27,Paywall,10,3
"Painter, Andrew",PHI,P,691725,22.9,2021 #13,AAA,R/R,"6'7"" 215",26,32.76,Paywall,Paywall,51,26,23,27,27,16,Paywall,Paywall,21,28,38,13,27,41,47,38,Paywall,22,38
"Hope, Zyhir",LAD,OF,814307,21.1,2023 #326,AA,L/L,"5'10"" 193",27,33.43,Paywall,Paywall,18,28,19,40,41,20,Paywall,37,27,27,27,16,52,33,26,58,Paywall,36,35
"Rodriguez, Rainiel",STL,C,823787,19.1,2024 FA,A+,R/R,"5'10"" 197",28,33.71,Paywall,Paywall,16,40,21,19,25,55,Paywall,39,24,37,34,Paywall,23,36,27,28,Paywall,29,19
