Rank,Name,Pos,Team,Level,ETA,Age,Height / Weight,Bats,Throws
1,Konnor Griffin,SS/OF,Pittsburgh Pirates,AA,2026,19,6' 4" / 225 lbs,R,R
2,Kevin McGonigle,SS,Detroit Tigers,AA,2026,21,5' 10" / 187 lbs,L,R
3,Jesús Made,SS/2B,Milwaukee Brewers,AA,2027,18,6' 1" / 187 lbs,S,R
4,Leo De Vries,SS,Athletics,AA,2026,19,6' 1" / 183 lbs,S,R
5,JJ Wetherholt,INF,St. Louis Cardinals,AAA,2026,23,5' 10" / 190 lbs,L,R
6,Nolan McLean,RHP,New York Mets,MLB,2026,24,6' 2" / 214 lbs,R,R
7,Sebastian Walcott,SS/3B,Texas Rangers,AA,2026,19,6' 4" / 190 lbs,R,R
8,Samuel Basallo,C/1B,Baltimore Orioles,MLB,2026,21,6' 4" / 180 lbs,L,R
9,Colt Emerson,SS,Seattle Mariners,AAA,2026,20,6' 0" / 195 lbs,L,R
10,Max Clark,OF,Detroit Tigers,AA,2026,21,6' 0" / 205 lbs,L,L
11,Bubba Chandler,RHP,Pittsburgh Pirates,MLB,2026,23,6' 3" / 218 lbs,S,R
12,Trey Yesavage,RHP,Toronto Blue Jays,MLB,2026,22,6' 4" / 225 lbs,R,R
13,Eli Willits,SS,Washington Nationals,A,2028,18,6' 1" / 180 lbs,S,R
14,Walker Jenkins,OF,Minnesota Twins,AAA,2026,20,6' 3" / 210 lbs,L,R
15,Josue De Paula,OF,Los Angeles Dodgers,AA,2027,20,6' 3" / 185 lbs,L,L
16,Carson Benge,OF,New York Mets,AAA,2026,23,6' 1" / 184 lbs,L,R
17,Thomas White,LHP,Miami Marlins,AAA,2026,21,6' 5" / 240 lbs,L,L
18,Carter Jensen,C,Kansas City Royals,MLB,2026,22,6' 0" / 210 lbs,L,R
19,Payton Tolle,LHP,Boston Red Sox,MLB,2026,23,6' 6" / 250 lbs,L,L
20,Travis Bazzana,2B,Cleveland Guardians,AAA,2026,23,6' 0" / 199 lbs,L,R
21,Kade Anderson,LHP,Seattle Mariners,ROK,2027,21,6' 2" / 179 lbs,L,L
22,Sal Stewart,INF,Cincinnati Reds,MLB,2026,22,6' 1" / 224 lbs,R,R
23,Aidan Miller,SS,Philadelphia Phillies,AAA,2026,21,6' 1" / 205 lbs,R,R
24,Ethan Holliday,SS,Colorado Rockies,A,2029,18,6' 4" / 210 lbs,L,R
25,Bryce Eldridge,1B,San Francisco Giants,MLB,2026,21,6' 7" / 240 lbs,L,R
26,Luis Peña,INF,Milwaukee Brewers,A+,2028,19,5' 11" / 185 lbs,R,R
27,Zyhir Hope,OF,Los Angeles Dodgers,AA,2027,21,5' 10" / 193 lbs,L,L
28,Andrew Painter,RHP,Philadelphia Phillies,MLB,2026,22,6' 7" / 215 lbs,R,R
29,Seth Hernandez,RHP,Pittsburgh Pirates,ROK,2028,19,6' 4" / 190 lbs,R,R
30,Eduardo Quintero,OF,Los Angeles Dodgers,A+,2028,20,6' 1" / 175 lbs,R,R
31,Franklin Arias,SS,Boston Red Sox,AA,2027,20,5' 11" / 170 lbs,R,R
32,George Lombard Jr.,INF,New York Yankees,AA,2027,20,6' 2" / 190 lbs,R,R
33,Ryan Sloan,RHP,Seattle Mariners,A+,2028,20,6' 5" / 220 lbs,R,R
34,Liam Doyle,LHP,St. Louis Cardinals,AA,2027,21,6' 2" / 220 lbs,R,L
35,Bryce Rainer,SS,Detroit Tigers,A,2028,20,6' 3" / 195 lbs,L,R
36,Braden Montgomery,OF,Chicago White Sox,AA,2026,22,6' 2" / 220 lbs,S,R
