Rank	Name	Team	Age	Level	Position	WAR	FanGraphs Rank	ZiPS Rank
1	Konnor Griffin	PIT	20	AA	SS	5	1	1
2	Samuel Basallo	BAL	21	MLB	C	4.9	4	6
3	Rainiel Rodriguez	STL	19	A+	C	4.8	25	26
4	Kevin McGonigle	DET	21	AA	3B	4.5	5	2
5	Trey Yesavage	TOR	22	MLB	RHP	4.3	8	9
6	Jonah Tong	NYM	23	MLB	RHP	4.1	58	20
7	Emmanuel Rodriguez	MIN	23	AAA	CF	4.1	Unranked	34
8	Travis Sykora	WSN	22	AA	RHP	4	109	42
9	Leo De Vries	ATH	19	AA	SS	3.9	6	5
10	Colt Emerson	SEA	20	AAA	SS	3.9	11	3
11	Sebastian Walcott	TEX	20	AA	SS	3.9	30	22
12	Josue Briceño	DET	21	AA	1B	3.9	63	31
13	Max Clark	DET	21	AA	CF	3.9	7	4
14	Eduardo Quintero	LAD	20	A+	CF	3.8	43	41
15	Jesús Made	MIL	19	AA	SS	3.8	2	8
16	Payton Tolle	BOS	23	MLB	LHP	3.8	18	72
17	Alfredo Duno	CIN	20	A	C	3.7	22	18
18	Connelly Early	BOS	24	MLB	LHP	3.7	38	46
19	Nolan McLean	NYM	24	MLB	RHP	3.6	3	13
20	Carter Jensen	KCR	22	MLB	C	3.6	32	15
21	Moisés Ballesteros	CHC	22	MLB	C	3.6	84	35
22	Franklin Arias	BOS	20	AA	SS	3.6	14	11
23	Jett Williams	MIL	22	AAA	CF	3.5	75	29
24	Alejandro Rosario	WSN	23	A+	RHP	3.5	Unranked	Unranked
25	JJ Wetherholt	STL	23	AAA	2B	3.5	12	14
26	Sal Stewart	CIN	22	MLB	3B	3.5	34	7
27	Cooper Pratt	MIL	21	AA	SS	3.4	Unranked	39
28	Nelson Rada	LAA	20	AAA	CF	3.4	Unranked	Unranked
29	Carson Benge	NYM	23	AAA	CF	3.4	21	61
30	Luis Peña	MIL	19	A+	SS	3.4	24	51
31	Aron Estrada	BAL	21	AA	2B	3.3	Unranked	Unranked
32	Michael Arroyo	SEA	21	AA	2B	3.3	78	12
33	Aidan Miller	PHI	22	AAA	SS	3.3	13	36
34	Jarlin Susana	WSN	22	AA	RHP	3.3	29	69
35	Luis Lara	MIL	21	AA	CF	3.3	Unranked	Unranked
36	A.J. Ewing	NYM	21	AA	CF	3.3	Unranked	Unranked
37	Justin Crawford	PHI	22	AAA	CF	3.3	Unranked	Unranked
38	Thomas White	MIA	21	AAA	LHP	3.3	9	27
39	Robby Snelling	MIA	22	AAA	LHP	3.2	80	25
40	Bubba Chandler	PIT	23	MLB	RHP	3.2	10	16
41	Ricky Tiedemann	TOR	22	AAA	LHP	3.1	Unranked	Unranked
42	Ryan Clifford	NYM	22	AAA	RF	3.1	Unranked	52
43	Dauri Fernandez	CLE	19	A	SS	3.1	Unranked	Unranked
44	Caleb Bonemer	CHW	20	A+	3B	3	33	Unranked
45	Harry Ford	WSN	23	MLB	C	3	74	50
