Rank,Name
1,Roman Anthony
2,Max Clark
3,Sebastian Walcott
4,Samuel Basallo
5,Andrew Painter
6,Colt Emerson
7,Bubba Chandler
8,Franklin Arias
9,Aidan Miller
10,Leodalis De Vries
11,Walker Jenkins
12,JJ Wetherholt
13,Jac Caglianone
14,Charlie Condon
15,Jeferson Quero
16,Kevin McGonigle
17,Ethan Salas
18,Coby Mayo
19,Emmanuel Rodriguez
20,Braden Montgomery
21,Felnin Celesten
22,Bryce Eldridge
23,Josue De Paula
24,Kyle Teel
25,Travis Bazzana
26,Chase Burns
27,George Lombard Jr.
28,Jesús Made
29,Carson Williams
30,Noah Schultz
31,Kevin Alcantara
32,Tink Hence
33,Jett Williams
34,Ryan Waldschmidt
35,Moises Ballesteros
36,Cole Young
37,Arjun Nimmala
38,Cooper Pratt
39,Zyhir Hope
40,Aroon Escobar
41,Ryan Sloan
42,Justin Crawford
43,Angel Genao
44,Bryce Rainer
45,Kaelen Culpepper
46,Jhostynxon Garcia
47,Trey Yesavage
48,Luke Dickerson
49,Jonny Farmelo
50,Jonah Tong
