Name,
Roman Anthony
Max Clark
Sebastian Walcott
Samuel Basallo
Andrew Painter
Colt Emerson
Bubba Chandler
Franklin Arias
Aidan Miller
Leodalis De Vries
Walker Jenkins
JJ Wetherholt
Jac Caglianone
Charlie Condon
Jeferson Quero
Kevin McGonigle
Ethan Salas
Coby Mayo
Emmanuel Rodriguez
Braden Montgomery
Felnin Celesten
Bryce Eldridge
Josue De Paula
Kyle Teel
Travis Bazzana
Chase Burns
George Lombard, Jr.
Jesús Made
Carson Williams
Noah Schultz
Kevin Alcantara
Tink Hence
Jett Williams
Ryan Waldschmidt
Moises Ballesteros
Cole Young
Arjun Nimmala
Cooper Pratt
Zyhir Hope
Aroon Escobar
Ryan Sloan
Justin Crawford
Angel Genao
Bryce Rainer
Kaelen Culpepper
Jhostynxon Garcia
Trey Yesavage
Luke Dickerson
Jonny Farmelo
Jonah Tong
