"ID","Player","Team","Position","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*051wv*","Pete Crow-Armstrong","CHC","OF","LIL","Active","23","10","2nd","100","99%","0%"
"*02n96*","Josh Hader","HOU","RP","ROX","Active","31","53","2nd","100","99%","0%"
"*05144*","Hunter Brown","HOU","SP","MCM","Active","26","14","2027","99.65","100%","0%"
"*02yc4*","Shohei Ohtani","LAD","UT","ECH","Active","30","49","2025","99.64","100%","0%"
"*02z0s*","Aaron Judge","NYY","OF","LEX","Active","33","72","2nd","99.54","100%","0%"
"*0403o*","Andres Munoz","SEA","RP","MCM","Active","26","8","2028","98.01","99%","0%"
"*04my4*","Cal Raleigh","SEA","C","RUM","Active","28","13","2025","97.78","100%","0%"
"*04ptt*","Tarik Skubal","DET","SP","NJ","Active","28","20","5th","97.66","100%","0%"
"*02c2r*","Carlos Rodon","NYY","SP","ECH","Active","32","11","2025","97.64","100%","0%"
"*02i2j*","Max Fried","NYY","SP","SHS","Active","31","16","2025","95.14","100%","0%"
"*025j1*","Robbie Ray","SF","SP","MFR","Active","33","11","2025","94.89","99%","0%"
"*02my5*","Edwin Diaz","NYM","RP","LEX","Active","31","1","2027","94.31","99%","0%"
"*05r01*","Robert Suarez","SD","RP","KEN","Active","34","34","1st","94.07","99%","+0.1%"
"*03pir*","Kyle Tucker","CHC","OF","RR","Active","28","30","6th","93.86","100%","0%"
"*05ajh*","Garrett Crochet","BOS","SP","LEX","Active","25","8","2nd","93.5","100%","0%"
"*04em6*","Will Vest","DET","RP","ISO","Active","30","5","1st","93.15","73%","+6.6%"
"*04apj*","Jhoan Duran","MIN","RP","YRK","Active","27","6","2027","92.76","97%","-0.1%"
"*01gya*","Aroldis Chapman","BOS","RP","RUM","Active","37","14","2nd","92.62","85%","+0.5%"
"*01sb3*","Zack Wheeler","PHI","SP","YRK","Active","35","46","2nd","92.25","100%","0%"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","MCM","Active","26","38","2nd","92.08","100%","0%"
"*04y4e*","Corbin Carroll","ARI","OF","LEX","Active","24","10","3rd","92.04","100%","0%"
"*04ps7*","Joe Ryan","MIN","SP","LEX","Active","29","34","1st","92","99%","0%"
"*03cag*","Kyle Schwarber","PHI","OF","RR","Active","32","29","2025","91.91","100%","0%"
"*01ub6*","Jose Ramirez","CLE","3B","YRK","Active","32","57","1st","91.84","100%","0%"
"*05udp*","Elly De La Cruz","CIN","SS","NJ","Active","23","10","3rd","90.66","100%","0%"
"*02hjp*","Jacob deGrom","TEX","SP","SML","Active","36","1","2nd","90.17","99%","0%"
"*05rat*","James Wood","WSH","OF","MCM","Active","22","10","2nd","89.72","100%","0%"
"*04pmb*","Kris Bubic","KC","SP,RP","ISO","Active","27","1","1st","89.72","93%","+0.1%"
"*041pz*","Pete Alonso","NYM","1B","RR","Active","30","30","6th","88.87","100%","0%"
"*01ut7*","Nathan Eovaldi","TEX","SP","ISO","Inj Res","35","2","2026","88.43","99%","0%"
"*05wru*","Paul Skenes","PIT","SP","YRK","Active","23","10","2nd","88.31","100%","0%"
"*02611*","Francisco Lindor","NYM","SS","ISO","Active","31","50","1st","88.25","100%","0%"
"*05w9g*","Randy Rodriguez","SF","RP","SHS","Active","25","11","1st","87.89","53%","+8.1%"
"*030uc*","Rafael Devers","BOS","3B","YRK","Active","28","50","1st","86.67","100%","0%"
"*03dbm*","Logan Webb","SF","SP","SML","Active","28","12","2026","86.62","100%","0%"
"*04k0w*","Camilo Doval","SF","RP","FLA","Active","27","4","1st","85.81","81%","+1%"
"*0260v*","Sonny Gray","STL","SP","RUM","Active","35","22","2025","85.81","99%","+0.1%"
"*03ann*","Jeff Hoffman","TOR","RP","RUM","Active","32","5","2026","85.64","93%","+0.1%"
"*0316j*","Nick Pivetta","SD","SP","KEN","Active","32","1","2026","85.64","99%","0%"
"*04lgp*","Bobby Witt Jr.","KC","SS","KEN","Active","24","37","2027","85.63","100%","0%"
"*03zlh*","Oneil Cruz","PIT","SS,OF","RUM","Active","26","15","4th","85.55","100%","0%"
"*04auj*","Framber Valdez","HOU","SP","SML","Active","31","11","2025","85.16","100%","0%"
"*03mnq*","Carlos Estevez","KC","RP","SML","Active","32","1","2025","84.53","92%","+0.8%"
"*05jq2*","Andrew Abbott","CIN","SP","RUM","Active","26","6","1st","83.89","92%","+1.3%"
"*04a2t*","Kodai Senga","NYM","SP","TWN","Active","32","25","1st","83.74","99%","0%"
"*04aea*","Hunter Greene","CIN","SP","YRK","Inj Res","25","15","4th","83.67","100%","-0.1%"
"*03d6w*","Jack Flaherty","DET","SP","LRB","Active","29","24","1st","83.61","99%","+0.2%"
"*04cd5*","MacKenzie Gore","WSH","SP","ISO","Active","26","3","2026","83.44","99%","+0.1%"
"*02hj7*","Merrill Kelly","ARI","SP","LRB","Active","36","10","1st","82.45","97%","+0.5%"
"*01svq*","Manny Machado","SD","3B","ISO","Active","32","36","1st","82.1","100%","0%"
"*03dc4*","Freddy Peralta","MIL","SP","LEX","Active","29","30","1st","82.05","99%","0%"
"*041wv*","Michael King","SD","SP","ISO","Inj Res","30","10","2025","82.03","99%","-0.1%"
"*04eee*","Drew Rasmussen","TB","SP,RP","TWN","Active","29","12","1st","81.96","95%","+2.1%"
"*031cy*","Emilio Pagan","CIN","RP","LRB","Active","34","10","1st","81.52","72%","+0.3%"
"*02c68*","Trea Turner","PHI","SS","MCM","Active","31","36","1st","81.25","100%","0%"
"*05y62*","Bryan Woo","SEA","SP","RUM","Active","25","11","2026","80.63","99%","0%"
"*04b02*","Seiya Suzuki","CHC","OF","ISO","Active","30","26","2nd","80.37","99%","0%"
"*02bx4*","Clay Holmes","NYM","SP,RP","LEX","Active","32","26","1st","80.25","97%","-0.1%"
"*03qo0*","Pete Fairbanks","TB","RP","ECH","Active","31","7","2027","80.12","90%","+0.3%"
"*04ppj*","Jeremy Pena","HOU","SS","SHS","Active","27","20","4th","80.07","98%","+0.6%"
"*025it*","Jason Adam","SD","RP","RR","Active","33","1","1st","79.58","73%","-0.4%"
"*03zbh*","Fernando Tatis Jr.","SD","OF","YRK","Active","26","20","6th","79.57","100%","0%"
"*01uca*","Chris Sale","ATL","SP","TWN","Active","36","38","1st","79.44","99%","0%"
"*052c8*","Cristopher Sanchez","PHI","SP","SML","Active","28","7","2025","79.03","99%","+0.1%"
"*04afl*","Brendon Little","TOR","RP","WEQ","Active","28","5","1st","78.85","34%","+1%"
"*060ml*","Huascar Brazoban","NYM","SP,RP","TSN","Active","35","9","1st","78.71","36%","+0.3%"
"*04ug5*","Emmanuel Clase","CLE","RP","SHS","Active","27","44","2nd","78.57","99%","0%"
"*02jh6*","Eugenio Suarez","ARI","3B","ISO","Active","33","7","2nd","78.52","99%","0%"
"*03ynj*","Juan Soto","NYM","OF","NJ","Active","26","66","1st","78.48","100%","0%"
"*02c5l*","Luke Weaver","NYY","RP","ISO","Inj Res","31","5","2nd","78.21","87%","-3.8%"
"*01sbv*","Shelby Miller","ARI","RP","YRK","Active","34","6","1st","78.14","45%","+0.7%"
"*04eor*","Cade Smith","CLE","RP","LEX","Active","26","2","1st","78","70%","-0.6%"
"*04yk2*","Spencer Torkelson","DET","1B","MFR","Active","25","7","1st","77.83","97%","+0.1%"
"*04n0m*","Logan Gilbert","SEA","SP","SHS","Inj Res","28","13","2026","77.81","99%","0%"
"*0622t*","Jacob Wilson","ATH","SS","LRB","Active","23","13","2nd","77.79","93%","+0.3%"
"*02hi7*","Kevin Gausman","TOR","SP","ECH","Active","34","18","1st","77.75","99%","-0.1%"
"*02n4s*","Matthew Boyd","CHC","SP","SHS","Active","34","6","1st","77.7","94%","+1.2%"
"*05y4k*","Ben Casparius","LAD","SP,RP","LRB","Active","26","6","1st","77.63","53%","+2.4%"
"*04ehz*","Jeremiah Estrada","SD","RP","LIL","Active","26","5","2nd","77.55","48%","+0.7%"
"*05tq1*","Spencer Schwellenbach","ATL","SP","SML","Active","25","14","2nd","77.4","99%","+0.1%"
"*05nso*","Abner Uribe","MIL","RP","FLA","Active","24","3","1st","77.35","55%","+1.7%"
"*05uo2*","Logan Henderson","MIL","SP","SML","Minors","23","14","1st","77.23","64%","-3.5%"
"*04ee8*","Heliot Ramos","SF","OF","ROX","Active","25","19","2nd","77.06","98%","+0.3%"
"*031fj*","Gabe Speier","SEA","RP","LEX","Active","30","5","1st","76.97","18%","+1.3%"
"*03btm*","Jose Alvarado","PHI","RP","FLA","Inj Res","30","5","2025","76.9","29%","-2%"
"*05gtn*","Tyler Soderstrom","ATH","1B,OF","FLA","Active","23","8","2nd","76.79","97%","0%"
"*0312g*","Tyler Mahle","TEX","SP","MCM","Active","30","5","1st","76.75","92%","+0.1%"
"*02myt*","Steven Okert","HOU","RP","MFR","Active","33","5","1st","76.56","13%","-0.3%"
"*04ywk*","Tylor Megill","NYM","SP","NJ","Active","29","5","2nd","76.4","86%","+0.5%"
"*05g3x*","Maikel Garcia","KC","2B,3B,SS,OF","LRB","Active","25","6","2027","76.13","99%","0%"
"*04tzu*","Ronny Henriquez","MIA","RP","FLA","Active","24","5","1st","75.97","30%","+3.6%"
"*01srb*","Jameson Taillon","CHC","SP","ROX","Active","33","1","1st","75.96","90%","+2.3%"
"*02c2h*","Chris Bassitt","TOR","SP","SHS","Active","36","7","1st","75.71","96%","-0.6%"
"*0374m*","Tyler Rogers","SF","RP","WEQ","Active","34","7","1st","75.69","42%","+1.9%"
"*04prt*","Lawrence Butler","ATH","OF","WEQ","Active","24","1","2nd","75.3","99%","+0.4%"
"*01cgo*","Freddie Freeman","LAD","1B","SHS","Active","35","44","2025","75.25","100%","0%"
"*02i2k*","Byron Buxton","MIN","OF","LEX","Active","31","16","2nd","75.13","98%","+0.2%"
"*02ccf*","Tommy Kahnle","DET","RP","RR","Active","35","18","1st","74.93","57%","+3.1%"
"*04pbq*","Geraldo Perdomo","ARI","SS","SHS","Active","25","6","1st","74.8","90%","-0.2%"
"*04e2u*","Brent Rooker","ATH","OF","MCM","Active","30","5","2028","74.61","99%","+0.1%"
