Name,Team,Pos
Roman Anthony,BOS,OF
Walker Jenkins,MIN,OF
Matt Shaw,CHC,2B/3B
Andrew Painter,PHI,RHP
Samuel Basallo,BAL,C/1B
Sebastian Walcott,TEX,3B/SS
Dylan Crews,WAS,OF
Kristian Campbell,BOS,2B/SS/OF
Travis Bazzana,CLE,2B
Max Clark,DET,OF
Emmanuel Rodriguez,MIN,OF
Bubba Chandler,PIT,RHP
Jasson Dominguez,NYY,OF
Leodalis De Vries,SD,SS
Noah Schultz,CHW,LHP
Jackson Jobe,DET,RHP
Bryce Eldridge,SF,1B/OF
JJ Wetherholt,STL,2B/SS
Coby Mayo,BAL,1B/3B
Dalton Rushing,LAD,C/OF
Jordan Lawlar,ARI,3B/SS
Marcelo Mayer,BOS,SS
Colt Emerson,SEA,SS
Nick Kurtz,ATH,1B
Aidan Miller,PHI,3B/SS
Josue De Paula,LAD,OF
Kevin McGonigle,DET,2B/SS
Chase DeLauter,CLE,OF
Chase Burns,CIN,RHP
Jac Caglianone,KC,1B/LHP
Carson Williams,TB,SS
Kumar Rocker,TEX,RHP
Charlie Condon,COL,3B/OF
Hagen Smith,CHW,LHP
Cam Smith,HOU,3B
Brandon Sproat,NYM,RHP
Kyle Teel,CHW,C
Jett Williams,NYM,SS/OF
Thomas White,MIA,LHP
Lazaro Montes,SEA,OF
Jesus Made,MIL,3B/SS
Chase Dollander,COL,RHP
Konnor Griffin,PIT,SS/OF
Quinn Mathews,STL,LHP
Zyhir Hope,LAD,OF
Luke Keaschall,MIN,2B/SS
Tink Hence,STL,RHP
Cole Young,SEA,2B/SS
Braden Montgomery,CHW,OF
Colson Montgomery,CHW,SS
Xavier Isaac,TB,1B/OF
Jarlin Susana,WAS,RHP
Ethan Salas,SD,C
Owen Caissie,CHC,OF
Cade Horton,CHC,RHP
Christian Moore,LAA,2B
Rhett Lowder,CIN,RHP
Bryce Rainer,DET,SS
Jacob Wilson,ATH,SS
Jaison Chourio,CLE,OF
Felnin Celesten,SEA,SS
Travis Sykora,WAS,RHP
Jacob Misiorowski,MIL,RHP
Moises Ballesteros,CHC,C/1B
Michael Arroyo,SEA,2B/SS/OF
Alejandro Rosario,TEX,RHP
Brayden Taylor,TB,2B/3B/SS
Termarr Johnson,PIT,2B/SS
Kevin Alcantara,CHC,OF
Jeferson Quero,MIL,C
Cam Collier,CIN,3B
Jonny Farmelo,SEA,OF
Agustin Ramirez,MIA,C/1B
Edgar Quero,CHW,C
Jackson Ferris,LAD,LHP
Justin Crawford,PHI,OF
Arjun Nimmala,TOR,SS
Brady House,WAS,3B/SS
Caden Dana,LAA,RHP
Ronny Mauricio,NYM,2B/SS/OF
Sal Stewart,CIN,2B/3B
Harry Ford,SEA,C
Thayron Liranzo,DET,C/1B
James Triantos,CHC,2B/3B
Drake Baldwin,ATL,C
Noble Meyer,MIA,RHP
Adael Amador,COL,2B
Cole Carrigg,COL,C/SS/OF
Orelvis Martinez,TOR,2B/3B
Alex Freeland,LAD,SS
Thomas Harrington,PIT,RHP
Robert Calaz,COL,OF
Blake Mitchell,KC,C
Enrique Jr. Bradfield,BAL,OF
AJ Smith-Shawver,ATL,RHP
Spencer Jones,NYY,OF
Drew Gilbert,NYM,OF
Emil Morales,LAD,3B/SS
Jacob Melton,HOU,OF
Zac Veen,COL,OF
Roki Sasaki,LAD,RHP
Deyvison De Los Santos,MIA,1B/3B
Tre' Morgan,TB,1B/OF
Colby Thomas,ATH,OF
George Jr. Lombard,NYY,SS
Ricky Tiedemann,TOR,LHP
Hurston Waldrep,ATL,RHP
Robby Snelling,MIA,LHP
Ralphy Velazquez,CLE,C/1B/OF
Carson Benge,NYM,OF
Cooper Pratt,MIL,SS
Aidan Smith,TB,OF
Jefferson Rojas,CHC,2B/SS
Emiliano Teodo,TEX,RHP
Luisangel Acuna,NYM,SS
Angel Genao,CLE,2B/SS
Nick Yorke,PIT,2B/OF
Edwin Arroyo,CIN,SS
Jaden Hamm,DET,RHP
River Ryan,LAD,RHP
Theo Gillen,TB,SS/OF
Juan Brito,CLE,1B/2B/3B/OF
Trey Yesavage,TOR,RHP
Joendry Vargas,LAD,SS
Brice Matthews,HOU,3B/SS
Luis Morales,ATH,RHP
Tommy Troy,ARI,2B/SS
Ryan Waldschmidt,ARI,OF
Santiago Suarez,TB,RHP
Chase Petty,CIN,RHP
Gary Gill Hill,TB,RHP
Tyler Black,MIL,1B
Chandler Simpson,TB,OF
Seaver King,WAS,3B/SS/OF
Jonah Tong,NYM,RHP
Franklin Arias,BOS,2B/SS
Jack Leiter,TEX,RHP
Adrian Del Castillo,ARI,C
Druw Jones,ARI,OF
Brailer Guerrero,TB,OF
Cam Caminiti,ATL,LHP
Demetrio Crisantes,ARI,1B/2B/3B
Yanquiel Fernandez,COL,OF
Carson Whisenhunt,SF,LHP
Zach Dezenzo,HOU,1B/3B
Josue Briceno,DET,C/1B
Welbyn Francisca,CLE,2B/SS
George Klassen,LAA,RHP
Jurrangelo Cijntje,SEA,LHP/RHP
Winston Santos,TEX,RHP
Ryan Clifford,NYM,1B/OF
James III Tibbs,SF,OF
Yilber Diaz,ARI,RHP
Braxton Ashcraft,PIT,RHP
Thomas Saggese,STL,2B
Dylan Beavers,BAL,OF
Luis Perales,BOS,RHP
Brock Wilken,MIL,3B
C.J. Kayfus,CLE,1B/OF
Slade Caldwell,ARI,OF
Ryan Sloan,SEA,RHP
Cade Cavalli,WAS,RHP
Carter Jensen,KC,C
Luis Baez,HOU,OF
Moises Chace,PHI,RHP
Kellon Lindsey,LAD,SS
Chase Meidroth,CHW,2B/3B/SS
Jace Jung,DET,2B/3B
Miguel Bleis,BOS,OF
Charlee Soto,MIN,RHP
Chayce McDermott,BAL,RHP
Vance Honeycutt,BAL,OF
Adam Mazur,MIA,RHP
Justin Wrobleski,LAD,LHP
Starlyn Caba,MIA,SS
Roderick Arias,NYY,2B/SS
Eduardo Quintero,LAD,OF
Denzel Clarke,ATH,OF
Owen Murphy,ATL,RHP
Logan Evans,SEA,RHP
Drue Hackenberg,ATL,RHP
Alan Roden,TOR,OF
Brody Hopkins,TB,RHP
Jairo Iriarte,CHW,RHP
Logan Henderson,MIL,RHP
Tyler Locklear,SEA,1B
Braylon Payne,MIL,OF
Chase Davis,STL,OF
Bryan Ramos,CHW,3B
Gino Groover,ARI,3B
Yoeilin Cespedes,BOS,2B/SS
Tai Peete,SEA,SS/OF
Jared Serna,MIA,2B/SS
J.R. Ritchie,ATL,RHP
Kash Mayfield,SD,LHP
Yoniel Curet,TB,RHP
Josuar De Jesus Gonzalez,SF,SS
Eric Bitonti,MIL,3B/SS
PJ Morlando,MIA,OF
Chase Hampton,NYY,RHP
