Rank,Name
1,Roman Anthony
2,Bubba Chandler
3,Leodalis De Vries
4,Sebastian Walcott
5,Jesus Made
6,Marcelo Mayer
7,Jordan Lawlar
8,Max Clark
9,Walker Jenkins
10,Colt Emerson
11,Kevin McGonigle
12,Chase Burns
13,Samuel Basallo
14,Dalton Rushing
15,Travis Bazzana
16,Aidan Miller
17,Josue De Paula
18,Jac Caglianone
19,Konnor Griffin
20,Jett Williams
21,Zyhir Hope
22,Bryce Rainer
23,Andrew Painter
24,Nick Kurtz
25,Ethan Salas
26,Chase Dollander
27,Carson Williams
28,Noah Schultz
29,Arjun Nimmala
30,Jacob Misiorowski
31,Cole Young
32,JJ Wetherholt
33,Kyle Teel
34,George Lombard Jr.
35,Thomas White
36,Moises Ballesteros
37,Emmanuel Rodriguez
38,Matt Shaw
39,Luke Keaschall
40,Angel Genao
41,Coby Mayo
42,Jonny Farmelo
43,Alfredo Duno
44,Cade Horton
45,Bryce Eldridge
46,Brady House
47,Agustin Ramirez
48,Rhett Lowder
49,Chase Petty
50,Jonah Tong
