Rank,Name,Team,Age,Level,Position,ETA,FV
1,Kevin McGonigle,Detroit Tigers,20,AA,SS,2026,60+
2,Konnor Griffin,Pittsburgh Pirates,19,A+,OF,2028,60+
3,Jacob Misiorowski,Milwaukee Brewers,23,MLB,RHP,2025,60
4,JJ Wetherholt,St. Louis Cardinals,22,AAA,SS,2026,60
5,Colt Emerson,Seattle Mariners,20,A+,SS,2027,60
6,Samuel Basallo,Baltimore Orioles,20,AAA,"C, 1B",2025,60
7,Leodalis De Vries,San Diego Padres,18,A+,SS,2028,60
8,Sebastian Walcott,Texas Rangers,19,AA,"SS, 3B",2026,60
9,Chase Burns,Cincinnati Reds,22,MLB,RHP,2025,60
10,Max Clark,Detroit Tigers,20,AA,OF,2027,60
11,Bubba Chandler,Pittsburgh Pirates,22,AAA,RHP,2025,55+
12,Jesus Made,Milwaukee Brewers,18,A,SS,2028,60
13,Zyhir Hope,Los Angeles Dodgers,20,A+,OF,2027,60
14,Luis Pena,Milwaukee Brewers,18,A,SS,2028,60
15,Ethan Holliday,Colorado Rockies,18,CPX,SS,2028,60
16,Bryce Eldridge,San Francisco Giants,20,AAA,1B,2025,55+
17,Andrew Painter,Philadelphia Phillies,22,AAA,RHP,2025,55+
18,Josue De Paula,Los Angeles Dodgers,20,A+,OF,2027,55+
19,Carson Benge,New York Mets,22,AA,OF,2027,50+
20,Walker Jenkins,Minnesota Twins,20,AA,OF,2026,55+
21,Luke Keaschall,Minnesota Twins,22,MLB,"2B, OF",2025,55+
22,Eli Willits,Washington Nationals,17,CPX,SS,2028,55+
23,George Lombard Jr.,New York Yankees,20,AA,SS,2026,55+
24,Kade Anderson,Seattle Mariners,,CPX,LHP,2026,55+
25,Thomas White,Miami Marlins,20,AA,LHP,2026,50+
26,Jordan Lawlar,Arizona Diamondbacks,23,AAA,SS,2023,55
27,Carson Williams,Tampa Bay Rays,22,AAA,SS,2025,55
28,Jett Williams,New York Mets,21,AA,SS,2025,55
29,Bryce Rainer,Detroit Tigers,20,A,SS,2028,55
30,Kyle Teel,Chicago White Sox,23,MLB,C,2025,55
31,Edward Florentino,Pittsburgh Pirates,18,A,OF,2028,55
32,Aiva Arquette,Miami Marlins,21,CPX,SS,2027,55
33,Franklin Arias,Boston Red Sox,19,A+,SS,2027,55
34,Alejandro Rosario,Texas Rangers,23,A+,RHP,2027,55
35,Carter Jensen,Kansas City Royals,22,AAA,C,2027,55
36,Emmanuel Rodriguez,Minnesota Twins,22,AAA,OF,2025,55
37,Jarlin Susana,Washington Nationals,21,AA,RHP,2026,55
38,Payton Tolle,Boston Red Sox,22,AA,LHP,2026,55
39,Travis Bazzana,Cleveland Guardians,22,AA,2B,2025,50+
40,Ryan Sloan,Seattle Mariners,19,A,RHP,2028,50+
41,Owen Caissie,Chicago Cubs,23,AAA,OF,2025,50+
42,Nolan McLean,New York Mets,24,AAA,RHP,2025,50+
43,Angel Genao,Cleveland Guardians,21,AA,SS,2026,50+
44,Jonny Farmelo,Seattle Mariners,20,A+,OF,2026,50+
45,Josue Briceño,Detroit Tigers,20,AA,"C, 1B",2026,50+
46,Jeferson Quero,Milwaukee Brewers,22,AAA,C,2025,50+
47,Jonah Tong,New York Mets,22,AA,RHP,2026,50+
48,Joe Mack,Miami Marlins,22,AAA,C,2025,50+
49,Chase DeLauter,Cleveland Guardians,23,AAA,OF,2025,50+
50,Noah Schultz,Chicago White Sox,21,AAA,LHP,2026,50+
51,Seth Hernandez,Pittsburgh Pirates,19,CPX,RHP,2028,50+
52,Aidan Miller,Philadelphia Phillies,21,AA,SS,2026,50+
53,Jhostynxon Garcia,Boston Red Sox,22,AAA,OF,2026,50+
54,Gage Jump,Athletics,22,AA,LHP,2026,50+
55,Travis Sykora,Washington Nationals,21,AA,RHP,2027,50+
56,Alex Freeland,Los Angeles Dodgers,23,MLB,SS,2025,50+
57,Moises Ballesteros,Chicago Cubs,21,AAA,C,2025,50+
58,Lazaro Montes,Seattle Mariners,20,AA,OF,2027,50+
59,Sal Stewart,Cincinnati Reds,21,AAA,"3B, 2B",2025,50+
60,Cooper Ingle,Cleveland Guardians,23,AA,C,2026,50+
61,Arjun Nimmala,Toronto Blue Jays,19,A+,SS,2027,50+
62,Harry Ford,Seattle Mariners,22,AAA,C,2025,50+
