Rank,Name
1,Roman Anthony
2,Bubba Chandler
3,Leo De Vries
4,Jordan Lawlar
5,Andrew Painter
6,Walker Jenkins
7,Max Clark
8,Marcelo Mayer
9,Sebastian Walcott
10,Jac Caglianone
11,Chase Burns
12,Travis Bazzana
13,Noah Schultz
14,Nick Kurtz
15,Dalton Rushing
16,Samuel Basallo
17,Colt Emerson
18,JJ Wetherholt
19,Bryce Eldridge
20,Jesús Made
21,Carson Williams
22,Aidan Miller
23,Kevin McGonigle
24,Charlie Condon
25,Kyle Teel
26,Ethan Salas
27,Hagen Smith
28,Rhett Lowder
29,Emmanuel Rodriguez
30,Josue De Paula
31,Thomas White
32,Cade Horton
33,Lazaro Montes
34,Konnor Griffin
35,Braden Montgomery
36,Kumar Rocker
37,Quinn Mathews
38,Jeferson Quero
39,Blake Mitchell
40,Cole Young
41,George Lombard Jr.
42,Zyhir Hope
43,Xavier Isaac
44,Bryce Rainer
45,Alex Freeland
46,Owen Caissie
47,Cooper Pratt
48,Jett Williams
49,Chase DeLauter
50,Jaison Chourio
51,Luke Keaschall
52,Angel Genao
53,Justin Crawford
54,Franklin Arias
55,Arjun Nimmala
56,Christian Moore
57,Moisés Ballesteros
58,Travis Sykora
59,Jackson Ferris
60,Felnin Celesten
61,Caden Dana
62,Jarlin Susana
63,Harry Ford
64,Brandon Sproat
65,Starlyn Caba
66,Sal Stewart
67,Trey Yesavage
68,Jacob Misiorowski
69,Cam Caminiti
70,Kevin Alcántara
71,Cam Collier
72,Edwin Arroyo
73,Eduardo Tait
74,Jefferson Rojas
75,Brayden Taylor
76,Tre' Morgan
77,Josue Briceño
78,Jonny Farmelo
79,Michael Arroyo
80,Thomas Harrington
81,Theo Gillen
82,Thayron Liranzo
83,Termarr Johnson
84,Carter Jensen
85,Carson Benge
86,Chase Petty
87,Aidan Smith
88,Jurrangelo Cijntje
89,Hunter Barco
90,Robby Snelling
91,Brady House
92,Ryan Sloan
93,Noble Meyer
94,Slade Caldwell
95,Ryan Waldschmidt
96,Jonah Tong
97,C.J. Kayfus
98,Joe Mack
99,Luis Peña
100,Gage Jump
