Name,taken,Team,Pos,Age,ETA,Draft,Highest Level,Fangraphs,Baseball Prospectus,ESPN,MLB Pipeline,The Athletic,Oopsy,avg,top_projection,num_places_ranked
Konnor Griffin,X,PIT,SS,19.8,2026.0,2024 #9,AA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
Kevin McGonigle,X,DET,SS,21.5,2026.0,2023 #37,AA,5.0,2.0,2.0,2.0,2.0,4.0,2.6,2.0,5
Jesus Made,X,MIL,SS,18.8,2027.0,2024 FA,AA,2.0,3.0,3.0,3.0,3.0,15.0,2.8,2.0,5
Samuel Basallo,X,BAL,C,21.5,2026.0,2021 FA,MLB,4.0,9.0,4.0,8.0,8.0,2.0,6.6,4.0,5
Max Clark,X,DET,OF,21.2,2026.0,2023 #3,AA,7.0,6.0,8.0,10.0,5.0,13.0,7.2,5.0,5
Leo De Vries,,ATH,SS,19.4,2026.0,2024 FA,AA,6.0,5.0,11.0,4.0,13.0,9.0,7.8,4.0,5
JJ Wetherholt,X,STL,SS,23.4,2026.0,2024 #7,AAA,12.0,8.0,7.0,5.0,7.0,25.0,7.8,5.0,5
Nolan McLean,X,NYM,P,24.6,2026.0,2023 #91,MLB,3.0,4.0,13.0,6.0,15.0,19.0,8.2,3.0,5
Colt Emerson,X,SEA,SS,20.6,2026.0,2023 #22,AAA,11.0,15.0,6.0,9.0,4.0,10.0,9.0,4.0,5
Bubba Chandler,X,PIT,P,23.4,2026.0,2021 #72,MLB,10.0,12.0,12.0,11.0,14.0,40.0,11.8,10.0,5
Aidan Miller,X,PHI,SS,21.7,2026.0,2023 #27,AAA,13.0,13.0,10.0,23.0,6.0,33.0,13.0,6.0,5
Trey Yesavage,X,TOR,P,22.6,2026.0,2024 #20,MLB,8.0,7.0,14.0,12.0,25.0,5.0,13.2,7.0,5
Sebastian Walcott,X,TEX,SS,19.9,2026.0,2023 FA,AA,30.0,11.0,5.0,7.0,16.0,11.0,13.8,5.0,5
Carson Benge,X,NYM,OF,23.1,2026.0,2024 #19,AAA,21.0,10.0,15.0,16.0,18.0,29.0,16.0,10.0,5
Walker Jenkins,X,MIN,MIN,21.0,2026.0,2023 #5,AAA,31.0,19.0,9.0,14.0,11.0,46.0,16.8,9.0,5
Josue De Paula,X,LAD,OF,20.7,2027.0,2022 FA,AA,17.0,14.0,21.0,15.0,20.0,103.0,17.4,14.0,5
Thomas White,X,MIA,P,21.4,2026.0,2023 #35,AAA,9.0,29.0,18.0,17.0,33.0,38.0,21.2,9.0,5
Franklin Arias,,BOS,SS,20.3,2027.0,2023 FA,AA,14.0,25.0,36.0,31.0,12.0,22.0,23.6,12.0,5
Payton Tolle,X,BOS,P,23.3,2026.0,2024 #50,AAA,18.0,22.0,22.0,19.0,40.0,16.0,24.2,18.0,5
Rainiel Rodriguez,,STL,C,19.1,2028.0,2024 FA,A+,25.0,16.0,19.0,37.0,29.0,3.0,25.2,16.0,5
Carter Jensen,X,KC,C,22.6,2026.0,2021 #78,MLB,32.0,44.0,25.0,18.0,10.0,20.0,25.8,10.0,5
Ryan Sloan,,SEA,P,20.1,2028.0,2024 #55,A+,20.0,32.0,24.0,33.0,21.0,,26.0,20.0,5
Luis Pena,,MIL,SS,19.3,2028.0,2024 FA,A+,24.0,30.0,26.0,26.0,27.0,30.0,26.6,24.0,5
Sal Stewart,X,CIN,3B,22.2,2026.0,2022 #32,AAA,34.0,46.0,17.0,22.0,19.0,26.0,27.6,17.0,5
Eli Willits,,WAS,SS,18.2,2028.0,2025 #1,A,15.0,17.0,41.0,13.0,53.0,59.0,27.8,13.0,5
Kade Anderson,,SEA,P,21.6,2027.0,2025 #3,,50.0,28.0,16.0,21.0,28.0,,28.6,16.0,5
Bryce Rainer,X,DET,SS,20.6,2028.0,2024 #11,A,23.0,36.0,35.0,35.0,17.0,66.0,29.2,17.0,5
Eduardo Quintero,,LAD,OF,19.4,2028.0,2023 FA,A+,43.0,27.0,37.0,30.0,9.0,14.0,29.2,9.0,5
Andrew Painter,X,PHI,P,22.9,2026.0,2021 #13,AAA,27.0,51.0,27.0,28.0,22.0,,31.0,22.0,5
Bryce Eldridge,X,SF,1B,21.3,2026.0,2023 #16,MLB,16.0,33.0,59.0,25.0,23.0,,31.2,16.0,5
Liam Doyle,,STL,P,21.7,2027.0,2025 #5,AA,19.0,31.0,50.0,34.0,26.0,,32.0,19.0,5
Zyhir Hope,X,LAD,OF,21.1,2027.0,2023 #326,AA,41.0,18.0,40.0,27.0,36.0,,32.4,18.0,5
George Jr Lombard,,NYY,SS,20.7,,2023 #26,AA,49.0,42.0,20.0,32.0,24.0,,33.4,20.0,5
Travis Bazzana,X,CLE,2B,23.5,2026.0,2024 #1,AAA,54.0,24.0,23.0,20.0,50.0,,34.2,20.0,5
Josuar Gonzalez,,SF,SS,18.3,2029.0,2025 FA,R,44.0,20.0,30.0,44.0,38.0,,35.2,20.0,5
Caleb Bonemer,,CHW,SS,20.4,2028.0,2024 #43,A+,33.0,26.0,34.0,61.0,44.0,44.0,39.6,26.0,5
Ethan Holliday,,COL,SS,19.0,2029.0,2025 #4,A,47.0,,66.0,24.0,39.0,,44.0,24.0,4
Carson Williams,X,TB,SS,22.7,2026.0,2021 #28,MLB,28.0,45.0,39.0,63.0,54.0,51.0,45.8,28.0,5
Ryan Waldschmidt,,ARI,OF,23.4,2026.0,2024 #31,AA,35.0,39.0,63.0,59.0,34.0,94.0,46.0,34.0,5
Alfredo Duno,X,CIN,C,20.1,2028.0,2023 FA,A,22.0,63.0,29.0,38.0,80.0,17.0,46.4,22.0,5
Jonah Tong,X,NYM,P,22.7,2026.0,2022 #209,MLB,58.0,23.0,31.0,48.0,72.0,6.0,46.4,23.0,5
Jett Williams,X,MIL,SS,22.3,2026.0,2022 #14,AAA,75.0,41.0,32.0,51.0,45.0,23.0,48.8,32.0,5
Connelly Early,X,BOS,P,23.9,2026.0,2023 #151,MLB,38.0,43.0,48.0,56.0,64.0,18.0,49.8,38.0,5
Mike Sirota,,LAD,OF,22.7,2027.0,2024 #87,A+,,34.0,55.0,60.0,51.0,,50.0,34.0,4
Jamie Arnold,,ATH,P,21.9,2027.0,2025 #11,,,58.0,60.0,41.0,43.0,,50.5,41.0,4
Kevin Alcantara,X,CHC,OF,23.6,,2018 FA,MLB,60.0,,,,41.0,106.0,50.5,41.0,2
Gage Jump,,ATH,P,22.9,2026.0,2024 #73,AA,81.0,37.0,42.0,57.0,37.0,107.0,50.8,37.0,5
JoJo Parker,,TOR,SS,19.5,2029.0,2025 #8,,,49.0,52.0,45.0,60.0,,51.5,45.0,4
Josue Briceno,,DET,C,21.4,2027.0,2022 FA,AA,63.0,53.0,44.0,40.0,59.0,12.0,51.8,40.0,5
Cam Caminiti,X,ATL,P,19.5,2027.0,2024 #24,A,,,53.0,68.0,35.0,,52.0,35.0,3
Connor Prielipp,,MIN,P,25.1,,2022 #48,AAA,,,54.0,,,,54.0,54.0,1
Angel Genao,X,CLE,3B,21.8,2026.0,2021 FA,AA,42.0,55.0,80.0,66.0,31.0,88.0,54.8,31.0,5
Robby Snelling,X,MIA,P,22.2,2026.0,2022 #39,AAA,80.0,57.0,47.0,39.0,63.0,39.0,57.2,39.0,5
