Name,Rank,AVG
Roman Anthony,1,1.842
Walker Jenkins,2,7.316
Matt Shaw,3,10.737
Andrew Painter,4,14.632
Samuel Basallo,5,15.105
Sebastian Walcott,6,15.474
Dylan Crews,7,15.947
Kristian Campbell,8,16.263
Travis Bazzana,8,16.263
Max Clark,10,17.316
Emmanuel Rodriguez,10,17.316
Bubba Chandler,12,19.158
Jasson Dominguez,13,20.316
Leodalis De Vries,14,20.474
Noah Schultz,15,20.895
Jackson Jobe,16,21.579
Bryce Eldridge,17,25.000
JJ Wetherholt,18,25.895
Coby Mayo,19,26.579
Dalton Rushing,20,26.789
Jordan Lawlar,21,28.263
Marcelo Mayer,22,28.842
Colt Emerson,23,29.579
Nick Kurtz,24,29.632
Aidan Miller,25,30.842
Josue De Paula,26,32.000
Kevin McGonigle,27,35.789
Chase DeLauter,28,36.842
Chase Burns,29,39.105
Jac Caglianone,30,41.526
Carson Williams,31,42.368
Kumar Rocker,32,44.684
Charlie Condon,33,45.684
Hagen Smith,34,46.211
Cam Smith,35,50.842
Brandon Sproat,36,51.737
Kyle Teel,37,54.211
Jett Williams,38,54.526
Thomas White,39,55.000
Lazaro Montes,40,56.474
Jesus Made,41,57.105
Chase Dollander,42,58.000
Konnor Griffin,43,58.789
Quinn Mathews,43,58.789
Zyhir Hope,45,59.053
Luke Keaschall,46,60.053
Tink Hence,47,62.105
Cole Young,48,62.947
Braden Montgomery,49,64.105
Colson Montgomery,50,64.263
Xavier Isaac,51,65.526
Jarlin Susana,52,67.053
Ethan Salas,53,67.579
Owen Caissie,54,68.263
Cade Horton,55,68.684
Christian Moore,56,69.053
Rhett Lowder,57,70.895
Bryce Rainer,58,72.000
Jacob Wilson,59,73.737
Jaison Chourio,60,73.789
Felnin Celesten,61,74.000
Travis Sykora,62,75.684
Jacob Misiorowski,63,76.842
Moises Ballesteros,64,78.895
Michael Arroyo,65,84.368
Alejandro Rosario,66,85.947
Brayden Taylor,67,90.632
Termarr Johnson,68,93.421
Kevin Alcantara,69,94.421
Jeferson Quero,70,95.579
Cam Collier,71,95.947
Jonny Farmelo,72,96.421
Agustin Ramirez,73,96.579
Edgar Quero,74,102.684
Jackson Ferris,75,104.211
Justin Crawford,76,104.684
Arjun Nimmala,77,104.789
Brady House,78,105.947
Caden Dana,79,107.368
Ronny Mauricio,80,107.632
Sal Stewart,81,108.053
Harry Ford,82,108.105
Thayron Liranzo,83,109.105
James Triantos,84,109.579
Drake Baldwin,85,112.526
Noble Meyer,86,113.263
Adael Amador,87,115.316
Cole Carrigg,88,115.579
Orelvis Martinez,89,116.684
Alex Freeland,90,118.526
Thomas Harrington,91,118.789
Robert Calaz,92,119.263
Blake Mitchell,93,120.895
Enrique Jr. Bradfield,94,124.053
AJ Smith-Shawver,95,125.158
Spencer Jones,96,126.895
Drew Gilbert,97,127.316
Emil Morales,98,128.474
Jacob Melton,99,128.632
Zac Veen,100,130.526
Roki Sasaki,101,131.105
Deyvison De Los Santos,102,131.368
Tre' Morgan,103,133.895
Colby Thomas,104,134.000
George Jr. Lombard,104,134.000
Ricky Tiedemann,106,134.632
Hurston Waldrep,107,134.842
Robby Snelling,108,135.263
Ralphy Velazquez,109,137.632
Carson Benge,110,137.789
Cooper Pratt,111,138.421
Aidan Smith,112,139.053
Jefferson Rojas,113,139.579
Emiliano Teodo,114,140.000
Luisangel Acuna,114,140.000
Angel Genao,114,140.000
Nick Yorke,117,141.316
Edwin Arroyo,118,141.579
Jaden Hamm,119,142.105
River Ryan,120,142.579
Theo Gillen,121,142.632
Juan Brito,122,143.895
Trey Yesavage,123,144.421
Joendry Vargas,124,144.895
Brice Matthews,125,145.947
Luis Morales,126,147.105
Tommy Troy,127,147.211
Ryan Waldschmidt,128,147.737
Santiago Suarez,129,149.263
Chase Petty,130,149.947
Gary Gill Hill,131,150.316
Tyler Black,132,150.947
Chandler Simpson,133,151.105
Seaver King,134,151.158
Jonah Tong,135,151.789
Franklin Arias,136,152.368
Jack Leiter,137,152.579
Adrian Del Castillo,138,153.368
Druw Jones,139,153.842
Brailer Guerrero,140,154.368
Cam Caminiti,141,154.684
Demetrio Crisantes,142,154.737
Yanquiel Fernandez,143,155.053
Carson Whisenhunt,144,155.737
Zach Dezenzo,145,157.421
Josue Briceno,146,157.737
Welbyn Francisca,147,157.842
George Klassen,148,158.579
Jurrangelo Cijntje,149,158.947
Winston Santos,150,160.947
