"ID","Player","Team","Position","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*02jh6*","Eugenio Suarez","ARI","3B","ISO","Active","33","7","2nd","100","98%","+0.6%"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","MCM","Active","26","38","2nd","100","100%","0%"
"*05ge9*","Shota Imanaga","CHC","SP","MFR","Active","31","32","1st","98.14","100%","-0.1%"
"*02z0s*","Aaron Judge","NYY","OF","LEX","Active","32","72","2nd","94.66","100%","+0.1%"
"*03deg*","Justin Steele","CHC","SP","MFR","Active","29","6","2027","91.49","99%","0%"
"*05y0j*","Spencer Arrighetti","HOU","SP","NJ","Active","25","13","1st","91.23","95%","-0.4%"
"*04n0m*","Logan Gilbert","SEA","SP","SHS","Active","27","13","2026","91.2","100%","0%"
"*02c2r*","Carlos Rodon","NYY","SP","ECH","Active","32","11","2025","89.34","99%","+0.1%"
"*01ut7*","Nathan Eovaldi","TEX","SP","ISO","Active","35","2","2026","89.2","97%","+0.4%"
"*04ywk*","Tylor Megill","NYM","SP","NJ","Active","29","5","2nd","89.05","55%","+6.6%"
"*01sb3*","Zack Wheeler","PHI","SP","WEQ","Active","34","46","2nd","89.02","100%","0%"
"*02yc4*","Shohei Ohtani","LAD","UT","ECH","Active","30","49","2025","88.24","100%","0%"
"*041r1*","Jesus Luzardo","PHI","SP","FLA","Active","27","20","5th","87.78","94%","-0.1%"
"*02hi7*","Kevin Gausman","TOR","SP","ECH","Active","34","18","1st","87.74","99%","+0.1%"
"*03d7h*","Mitch Keller","PIT","SP","NJ","Active","28","6","2027","87.59","97%","+0.5%"
"*031d4*","Zack Littell","TB","SP","ROX","Active","29","1","1st","87.33","55%","-1.5%"
"*0512m*","Ryan Pepiot","TB","SP","YRK","Active","27","11","2026","86.89","98%","+0.2%"
"*03qr0*","Cedric Mullins","BAL","OF","ISO","Active","30","16","2026","85.81","90%","+2.8%"
"*0260v*","Sonny Gray","STL","SP","RUM","Active","35","22","2025","85.43","99%","-0.1%"
"*041sq*","Tommy Edman","LAD","2B,OF","SML","Active","29","19","1st","84.81","95%","+0.4%"
"*05gsc*","Jordan Westburg","BAL","2B,3B","WEQ","Active","26","12","2nd","84.76","99%","+0.1%"
"*060x1*","Wilyer Abreu","BOS","OF","ECH","Active","25","10","1st","84.61","85%","+8.5%"
"*05144*","Hunter Brown","HOU","SP","MCM","Active","26","14","2027","84.11","99%","-0.1%"
"*04aea*","Hunter Greene","CIN","SP","YRK","Active","25","15","4th","83.98","100%","0%"
"*04q2n*","Adley Rutschman","BAL","C","ROX","Active","27","20","4th","83.63","100%","0%"
"*03d6n*","Erick Fedde","STL","SP","WEQ","Active","32","6","1st","83.03","86%","-1.1%"
"*04y9o*","Jack Leiter","TEX","SP","LEX","Active","24","10","1st","82.79","72%","+5.8%"
"*03dc4*","Freddy Peralta","MIL","SP","LEX","Active","28","30","1st","82.56","99%","0%"
