Rank,Name
1,Roki Sasaki
2,Roman Anthony
3,Walker Jenkins
4,Marcelo Mayer
5,Carson Williams
6,Dylan Crews
7,Jackson Jobe
8,Coby Mayo
9,Max Clark
10,Kevin McGonigle
11,Bubba Chandler
12,Colt Emerson
13,Aidan Miller
14,Chase Dollander
15,Leodalis De Vries
16,Dalton Rushing
17,Samuel Basallo
18,Noah Schultz
19,Sebastian Walcott
20,Josue De Paula
21,Andrew Painter
22,Ethan Salas
23,Matt Shaw
24,Jasson Dominguez
25,Travis Bazzana
26,Kristian Campbell
27,Emmanuel Rodriguez
28,Jordan Lawlar
29,Jac Caglianone
30,JJ Wetherholt
31,Jacob Wilson
32,Chase DeLauter
33,Colson Montgomery
34,Jett Williams
35,Kumar Rocker
36,Chase Burns
37,Alex Freeland
38,Kyle Teel
39,Rhett Lowder
40,Charlie Condon
41,Hagen Smith
42,Blake Mitchell
43,Luke Keaschall
44,Drake Baldwin
45,Jonny Farmelo
46,Jesus Made
47,Brady House
48,Cooper Pratt
49,Jeferson Quero
50,Moises Ballesteros
51,Bryce Eldridge
52,Nick Kurtz
53,Jarlin Susana
54,Edgar Quero
55,Thomas White
56,Alejandro Rosario
57,Cole Young
58,Quinn Mathews
59,Harry Ford
60,George Lombard Jr.
61,Caden Dana
62,Brandon Sproat
63,Brayden Taylor
64,Kevin Alcantara
65,Tink Hence
66,Starlyn Caba
67,Ronny Mauricio
68,Jacob Misiorowski
69,Arjun Nimmala
70,Zyhir Hope
71,Xavier Isaac
72,Termarr Johnson
73,Cam Smith
74,Jaison Chourio
75,Christian Moore
76,Chase Petty
77,Felnin Celesten
78,Travis Sykora
79,Bryce Rainer
80,Emil Morales
81,Konnor Griffin
82,Enrique Bradfield Jr.
83,Alfredo Duno
84,Drew Gilbert
85,Nacho Alvarez Jr.
86,Owen Caissie
87,Aidan Smith
88,George Klassen
89,Ricky Tiedemann
90,Moises Chace
91,Chandler Simpson
92,Braden Montgomery
93,Jackson Ferris
94,River Ryan
95,Jacob Melton
96,Agustin Ramirez
97,Cade Horton
98,Orelvis Martinez
99,Braxton Ashcraft
100,Charlee Soto
