Name,Rank
Roki Sasaki,1
Roman Anthony,2
Walker Jenkins,3
Dylan Crews,4
Jackson Jobe,5
Max Clark,6
Kristian Campbell,7
Andrew Painter,8
Carson Williams,9
Travis Bazzana,10
Jordan Lawlar,11
Marcelo Mayer,12
Samuel Basallo,13
Coby Mayo,14
Bubba Chandler,15
Noah Schultz,16
Sebastian Walcott,17
Leodalis De Vries,18
Matt Shaw,19
Jasson Dominguez,21
Jac Caglianone,22
JJ Wetherholt,23
Bryce Eldridge,24
Chase Dollander,25
Chase Burns,26
Aidan Miller,27
Kevin McGonigle,28
Charlie Condon,29
Dalton Rushing,30
Colt Emerson,30
Jacob Wilson,31
Kyle Teel,32
Ethan Salas,33
Hagen Smith,34
Rhett Lowder,35
Chase DeLauter,36
Emmanuel Rodriguez,37
Nick Kurtz,38
Colson Montgomery,39
Josue De Paula,40
Thomas White,41
Lazaro Montes,42
Konnor Griffin,43
Kumar Rocker,44
Quinn Mathews,45
Brandon Sproat,46
Jeferson Quero,47
Blake Mitchell,48
Cole Young,49
Alejandro Rosario,50
Xavier Isaac,51
Cade Horton,52
Bryce Rainer,53
Owen Caissie,54
Braden Montgomery,55
Jesus Made,56
Cooper Pratt,57
Jett Williams,58
Cam Smith,59
Jaison Chourio,60
Luke Keaschall,61
Angel Genao,62
Drake Baldwin,63
Justin Crawford,64
Harry Ford,65
Edgar Quero,66
Brayden Taylor,67
Christian Moore,68
Moises Ballesteros,69
Travis Sykora,70
Jackson Ferris,71
Alex Freeland,72
James Triantos,73
Felnin Celesten,74
Zyhir Hope,75
Franklin Arias,76
Tink Hence,77
Caden Dana,78
Jarlin Susana,79
Thomas Harrington,80
Thayron Liranzo,82
Termarr Johnson,83
Sal Stewart,84
Noble Meyer,85
Arjun Nimmala,87
Trey Yesavage,88
Cam Caminiti,89
Kevin Alcantara,90
Cam Collier,91
Edwin Arroyo,92
Tre' Morgan,94
Josue Briceno,95
Jonny Farmelo,96
Jefferson Rojas,97
Michael Arroyo,98
Theo Gillen,99
Jacob Misiorowski,100
