Name,fangraphs,baseball_prospectus,composite
Kristian Campbell,7.0,3.0,16.263
Travis Bazzana,36.0,12.0,16.263
JJ Wetherholt,63.0,13.0,25.895
Nick Kurtz,31.0,33.0,29.632
Kevin McGonigle,54.0,6.0,35.789
Chase Burns,28.0,16.0,39.105
Jac Caglianone,47.0,34.0,41.526
Charlie Condon,,42.0,45.684
Hagen Smith,22.0,36.0,46.211
Cam Smith,70.0,20.0,50.842
Brandon Sproat,24.0,39.0,51.737
Thomas White,83.0,51.0,55.0
Jesus Made,38.0,35.0,57.105
Quinn Mathews,32.0,27.0,58.789
Konnor Griffin,,86.0,58.789
Zyhir Hope,,8.0,59.053
Luke Keaschall,56.0,44.0,60.053
Braden Montgomery,,99.0,64.105
Jarlin Susana,19.0,47.0,67.053
Christian Moore,,80.0,69.053
Bryce Rainer,,56.0,72.0
Jaison Chourio,,83.0,73.789
Felnin Celesten,85.0,,74.0
Travis Sykora,84.0,59.0,75.684
Moises Ballesteros,,73.0,78.895
Michael Arroyo,,95.0,84.368
Alejandro Rosario,39.0,72.0,85.947
Brayden Taylor,,70.0,90.632
Jonny Farmelo,100.0,98.0,96.421
Agustin Ramirez,43.0,55.0,96.579
Edgar Quero,90.0,76.0,102.684
Jackson Ferris,,52.0,104.211
Sal Stewart,,,108.053
Drake Baldwin,11.0,37.0,112.526
Cole Carrigg,,,115.579
Alex Freeland,35.0,82.0,118.526
Thomas Harrington,,81.0,118.789
Robert Calaz,,49.0,119.263
Blake Mitchell,,,120.895
Emil Morales,,,128.474
Jacob Melton,,,128.632
Roki Sasaki,1.0,,131.105
Deyvison De Los Santos,,,131.368
Tre' Morgan,,,133.895
Colby Thomas,,,134.0
Ralphy Velazquez,,,137.632
Carson Benge,,71.0,137.789
Cooper Pratt,,63.0,138.421
Aidan Smith,,,139.053
Jefferson Rojas,81.0,,139.579
Angel Genao,33.0,78.0,140.0
Emiliano Teodo,,,140.0
Jaden Hamm,,,142.105
Theo Gillen,,87.0,142.632
Juan Brito,78.0,,143.895
Trey Yesavage,,,144.421
Joendry Vargas,,,144.895
Brice Matthews,,68.0,145.947
Ryan Waldschmidt,,,147.737
Santiago Suarez,,,149.263
Chase Petty,42.0,,149.947
Gary Gill Hill,,,150.316
Chandler Simpson,72.0,,151.105
Seaver King,,,151.158
Jonah Tong,,75.0,151.789
Franklin Arias,,,152.368
Brailer Guerrero,,,154.368
Cam Caminiti,,,154.684
Demetrio Crisantes,,,154.737
Carson Whisenhunt,95.0,,155.737
Zach Dezenzo,,,157.421
Josue Briceno,,64.0,157.737
Welbyn Francisca,88.0,,157.842
George Klassen,93.0,,158.579
Jurrangelo Cijntje,,,158.947
Winston Santos,,,160.947
Alfredo Duno,29.0,,
Cooper Ingle,53.0,,
Braxton Ashcraft,60.0,,
Yoniel Curet,61.0,,
Will Warren,65.0,,
Jake Bloss,66.0,,
Parker Messick,67.0,,
Carter Jensen,68.0,,
Joe Mack,69.0,,
Chayce McDermott,71.0,,
Brody Hopkins,75.0,57.0,
Jimmy Crooks,77.0,88.0,
Troy Melton,80.0,,
Starlyn Caba,87.0,,
Jedixson Paez,89.0,,
Edgardo Henriquez,91.0,,
Tai Peete,92.0,,
Grant Taylor,94.0,90.0,
Jackson Baumeister,,60.0,
Dominic Keegan,,69.0,
Nolan McLean,,74.0,
Trevor Harrison,,89.0,
Ty Johnson,,94.0,
