Name,composite,mlb_pipeline,baseball_prospectus,fangraphs,Team,ETA,taken
Roman Anthony,1.842,2,1.0,2.0,BOS,2026.0,X
Walker Jenkins,7.316,3,5.0,17.0,MIN,2026.0,X
Matt Shaw,10.737,19,26.0,13.0,CHC,2025.0,X
Andrew Painter,14.632,8,19.0,6.0,PHI,2025.0,X
Samuel Basallo,15.105,13,11.0,5.0,BAL,2026.0,X
Sebastian Walcott,15.474,17,10.0,4.0,TEX,2027.0,X
Dylan Crews,15.947,4,,3.0,WSN,2025.0,X
Travis Bazzana,16.263,10,12.0,36.0,CLE,2025.0,X
Kristian Campbell,16.263,7,3.0,7.0,BOS,2026.0,X
Max Clark,17.316,6,31.0,34.0,DET,2027.0,X
Emmanuel Rodriguez,17.316,37,17.0,20.0,MIN,2025.0,X
Bubba Chandler,19.158,15,21.0,23.0,PIT,2025.0,X
Jasson Dominguez,20.316,21,24.0,,,,X
Leodalis De Vries,20.474,18,,37.0,SDP,2028.0,X
Noah Schultz,20.895,16,30.0,18.0,CHW,2026.0,X
Jackson Jobe,21.579,5,4.0,9.0,DET,2025.0,X
Bryce Eldridge,25.0,24,15.0,26.0,SFG,2026.0,X
JJ Wetherholt,25.895,23,13.0,63.0,STL,2026.0,X
Coby Mayo,26.579,14,14.0,45.0,BAL,2025.0,X
Dalton Rushing,26.789,30,,8.0,LAD,2025.0,X
Jordan Lawlar,28.263,11,29.0,14.0,ARI,2025.0,X
Marcelo Mayer,28.842,12,25.0,57.0,BOS,2026.0,X
Colt Emerson,29.579,30,32.0,41.0,SEA,2027.0,X
Nick Kurtz,29.632,38,33.0,31.0,ATH,2026.0,X
Aidan Miller,30.842,27,28.0,15.0,PHI,2026.0,X
Josue De Paula,32.0,40,9.0,48.0,LAD,2027.0,X
Kevin McGonigle,35.789,28,6.0,54.0,DET,2026.0,X
Chase DeLauter,36.842,36,,55.0,CLE,2025.0,X
Chase Burns,39.105,26,16.0,28.0,CIN,2025.0,X
Jac Caglianone,41.526,22,34.0,47.0,KCR,2026.0,X
Carson Williams,42.368,9,7.0,10.0,TBR,2026.0,X
Kumar Rocker,44.684,44,41.0,59.0,TEX,2025.0,X
Charlie Condon,45.684,29,42.0,,,,X
Hagen Smith,46.211,34,36.0,22.0,CHW,2025.0,X
Cam Smith,50.842,59,20.0,70.0,HOU,2027.0,X
Brandon Sproat,51.737,46,39.0,24.0,NYM,2025.0,
Kyle Teel,54.211,32,45.0,49.0,CHW,2026.0,X
Jett Williams,54.526,58,48.0,62.0,NYM,2026.0,X
Thomas White,55.0,41,51.0,83.0,MIA,2027.0,
Lazaro Montes,56.474,42,53.0,,,,X
Jesus Made,57.105,56,35.0,38.0,MIL,2029.0,X
Chase Dollander,58.0,25,18.0,12.0,COL,2026.0,X
Konnor Griffin,58.789,43,86.0,,,,
Quinn Mathews,58.789,45,27.0,32.0,STL,2025.0,
