Name,fangraphs,Team,ETA,baseball_prospectus,composite,mlb_pipeline
Brandon Sproat,24,NYM,2025,39.0,51.737,46.0
Alfredo Duno,29,CIN,2028,,,
Quinn Mathews,32,STL,2025,27.0,58.789,45.0
Angel Genao,33,CLE,2027,78.0,140.0,62.0
Alex Freeland,35,LAD,2025,82.0,118.526,72.0
Alejandro Rosario,39,TEX,2026,72.0,85.947,50.0
Chase Petty,42,CIN,2025,,149.947,150.0
Agustin Ramirez,43,MIA,2025,55.0,96.579,150.0
Cooper Ingle,53,CLE,2027,,,
Braxton Ashcraft,60,PIT,2025,,,
Yoniel Curet,61,TBR,2025,,,
Will Warren,65,NYY,2025,,,
Jake Bloss,66,TOR,2026,,,
Parker Messick,67,CLE,2026,,,
Carter Jensen,68,KCR,2027,,,
Joe Mack,69,MIA,2026,,,
Chayce McDermott,71,BAL,2025,,,
Brody Hopkins,75,TBR,2026,57.0,,
Jimmy Crooks,77,STL,2026,88.0,,
Juan Brito,78,CLE,2025,,143.895,150.0
Troy Melton,80,DET,2026,,,
Jefferson Rojas,81,CHC,2027,,139.579,97.0
Thomas White,83,MIA,2027,51.0,55.0,41.0
Travis Sykora,84,WSN,2027,59.0,75.684,70.0
Felnin Celesten,85,SEA,2029,,74.0,74.0
Starlyn Caba,87,MIA,2028,,,
Welbyn Francisca,88,CLE,2029,,157.842,150.0
Jedixson Paez,89,BOS,2026,,,
Edgar Quero,90,CHW,2025,76.0,102.684,66.0
Edgardo Henriquez,91,LAD,2025,,,
Tai Peete,92,SEA,2028,,,
George Klassen,93,LAA,2025,,158.579,150.0
Grant Taylor,94,CHW,2026,90.0,,
Carson Whisenhunt,95,SFG,2025,,155.737,150.0
Jonny Farmelo,100,SEA,2028,98.0,96.421,96.0
